Question	A shallow container of salt water is placed in sunlight for a day. Which is the most likely result?	question
Answer	Only the water will evaporate and the salt will remain in the container.	answer
0	heating salt water causes the water to evaporate while the salt remains	nongold
1	result means outcome	nongold
2	salt water is made of salt and water	nongold
3	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
4	saltwater is a kind of substance	nongold
5	to cause means to result in	nongold
6	sunlight produces heat	nongold
7	to produce means to result in	nongold
8	salt is a kind of pure substance	nongold
9	shallow means low  in  depth	nongold
10	sunlight means solar energy	nongold
11	the sun causes water to evaporate more quickly by adding heat	nongold
12	temperature is a measure of heat energy	nongold
13	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
14	the sunlight occurs during the day	nongold
15	sunlight is a kind of solar energy	nongold
16	being  on something; placed in something; placed over something means touching  that something	nongold
17	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
18	the sun is a source of light; light energy called sunlight	nongold
19	a container contains objects; material; substances	nongold
20	sunlight is a kind of light	nongold
21	adding heat means increasing temperature	gold
22	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
23	salt is soluble in water	nongold
24	to receive sunlight means to absorb sunlight	nongold
25	daylight means sunlight	nongold
26	heat means heat energy	gold
27	the sun is the source of solar energy called sunlight	nongold
28	heating means adding heat	nongold
29	water is a kind of liquid at room temperature	gold
30	receiving sunlight  is synonymous with absorbing sunlight	nongold
31	solar energy is a kind of heat energy	nongold
32	absorbing sunlight causes objects to heat	nongold
33	to be formed by is to be the result of	nongold
34	water is a kind of substance	nongold
35	sunshine means sunlight	nongold
36	heat means temperature increases	nongold
37	salt is a kind of solid	gold
38	a liquid is a kind of substance	nongold
39	product means result	nongold
40	to be in the sun means to be in the sunlight	nongold
41	to add means to increase	nongold
42	an increase is the opposite of a decrease	nongold
43	high is similar to increase	nongold
44	In the solution salt water , the solute is salt	nongold
45	intensity of sunlight is similar to amount of sunlight	nongold
46	being in the sun is synonymous with being in the sunlight	nongold
47	a container is a kind of object	nongold
48	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
49	evaporation is a kind of process	nongold
50	evaporation causes amount of water to decrease	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	if something is outside during the day then that something will receive sunlight	nongold
53	the sun is a source of radiation; heat called sunlight	nongold
54	to remain means to stay where it is	nongold
55	salt water is a kind of solution	nongold
56	heat energy is synonymous with thermal energy	nongold
57	to lower means to decrease	nongold
58	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
59	contents means the substance in a container	nongold
60	to remain means to not change	nongold
61	salt water is an electrical; electrical energy conductor	nongold
62	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
63	solar energy is a kind of light	nongold
64	low is similar to decrease	nongold
65	when sunlight strikes something , that something receives sunlight	nongold
66	to slow; to slow down decreases speed	nongold
67	desirable result means positive impact	nongold
68	the ocean contains large amounts of salt water	nongold
69	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
70	table salt is a kind of salt	nongold
71	to reduce means to decrease	nongold
72	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
73	if heat is added to a substance then that substance absorbs that heat	nongold
74	In the solution salt water , the solvent is water	nongold
75	a sunny day has  lots of sunlight	nongold
76	less is similar to decrease	nongold
77	a negative impact is a kind of consequence; risk	nongold
78	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
79	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
80	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
81	an increase is a kind of change	nongold
82	hot means high in heat energy; temperature	nongold
83	adding salt to a liquid decreases the melting point of that liquid	nongold
84	to give off means to be the source of	nongold
85	evaporation is when water is drawn back up into the air in the water cycle	nongold
86	water is an thermal; thermal energy conductor	nongold
87	left in the sun means exposed to the sun	nongold
88	salt is made of salt crystals	nongold
89	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
90	a hot; warm something is a source of heat	nongold
91	evaporation is a stage in the water cycle process	nongold
92	absorbing energy causes objects; materials; substances to heat	nongold
93	heat is a kind of energy	nongold
94	a process is a kind of event	nongold
95	best means most positive	nongold
96	placing is a kind of action	nongold
97	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
98	solar power means solar energy	nongold
99	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
