Question	Wind changes the surface of Earth. Which of these land formations is a result of transportation and deposition by wind?	question
Answer	a sand dune	answer
0	a sand dune is a kind of land formation	gold
1	a sand dune is a kind of hill	nongold
2	sand dunes; arches are formed by the wind transporting and depositing sand	gold
3	to cause means to result in	gold
4	erosion causes deposition	nongold
5	to be formed by is to be the result of	nongold
6	sand dunes are made of sand	gold
7	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
8	sand  is a kind of substance	nongold
9	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
10	deposition is a kind of natural process	nongold
11	sand is made of very small rocks; minerals	nongold
12	wind causes erosion	nongold
13	sand is similar to soil	nongold
14	transport means to move; to make travel	nongold
15	sediment is formed by weathering	nongold
16	wind carries; transports sand; dirt from one place to another place	gold
17	sedimentary rocks are formed by deposition; cementation	nongold
18	sand  is a kind of material	nongold
19	erosion is a kind of change	nongold
20	sand  is a kind of solid	nongold
21	soil erosion means soil loss through wind;water; animals	nongold
22	to cause the formation of means to form	gold
23	to produce means to result in	nongold
24	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
25	weathering is a kind of erosion	nongold
26	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
27	erosion is a kind of process	nongold
28	soil is found on the surface of the Earth	nongold
29	deposition means to move an object from one location to a  different location	nongold
30	sand is made of small particles	nongold
31	sediment is formed from rock	nongold
32	Earth is made of rock	nongold
33	forming something is a kind of change	nongold
34	result means outcome	nongold
35	Earth's surface is made of rock	nongold
36	the ground means Earth's surface	nongold
37	a landform is a kind of natural formation	nongold
38	movement is a kind of change	nongold
39	wind and rain; storms cause erosion	nongold
40	a result of something is evidence of that something	nongold
41	weathering occurs at the surface of the Earth	nongold
42	soil is formed by weathering	nongold
43	sand is insoluble in water	nongold
44	sand is insoluble in water	nongold
45	to change means to cause a change	nongold
46	a terrain contains a surface	nongold
47	weathering; erosion usually occurs over a period of many years	nongold
48	sand has a rough surface	nongold
49	an ocean contains waves	nongold
50	the ground is part of the Earth	nongold
51	landform means surface feature; physical feature; land feature	nongold
52	sediment is similar to soil	nongold
53	soil is formed by rocks eroding	nongold
54	the formation of rock is a kind of process	nongold
55	a delta is a kind of geologic structure; landform	nongold
56	an increase is a kind of change	nongold
57	a vehicle is used for transportation	nongold
58	a shore is the land found at the edge of a body of water	nongold
59	change is a kind of process	nongold
60	deposition is a kind of constructive force	nongold
61	land is a kind of landform	nongold
62	an ocean is a kind of body of water	nongold
63	topography means the physical features of a planet's surface	nongold
64	the surface of a beach is formed by mechanical weathering	nongold
65	stalactites are formed by deposition	nongold
66	breaking down is a kind of forming	nongold
67	bodies of water are located on Earth's surface	nongold
68	sand in water settles to the bottom of water	nongold
69	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
70	rock is a kind of material	nongold
71	sediment is a kind of matter	nongold
72	sedimentary is a kind of rock	nongold
73	weathering is a kind of process	nongold
74	affected means changed	nongold
75	the surface of the Earth is made of 70% ocean	nongold
76	to be made of something means to be formed of that something	nongold
77	alteration means change	nongold
78	product means result	nongold
79	waves are made of moving water	nongold
80	the formation of something is a kind of process	nongold
81	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
82	flowing is a kind of motion	nongold
83	change is a kind of impact	nongold
84	weather is a source of wind and water for the weathering process	nongold
85	land area means land mass	nongold
86	a floodplain is a kind of land; landform	nongold
87	natural events usually cause changes to Earth's surface	nongold
88	accumulation means increase	nongold
89	a decrease is a kind of change	nongold
90	wind direction is a property of weather	nongold
91	if something exists on a surface then that surface contains that something	nongold
92	sand is denser than water	nongold
93	bedrock is a kind of rock	nongold
94	soil is a kind of material	nongold
95	the mantle is a layer of the Earth	nongold
96	a continent is a kind of large land mass	nongold
97	mechanical weathering is when rocks are broken down by mechanical means	nongold
98	a delta is formed by sediment depositing at the mouth of a river by water fanning out	nongold
99	soil erosion is a kind of slow; natural process	nongold
