Question	A simple machine that helps move a flag up a flagpole is	question
Answer	a pulley	answer
0	a pulley is used to lift a flag on a flagpole	gold
1	a pulley is used for lifting; lowering objects	nongold
2	a pulley is a kind of simple machine	gold
3	a flagpole is a kind of object	nongold
4	a lever is a kind of simple machine	nongold
5	a lever is used for lifting;moving heavy objects	nongold
6	a simple machine is a kind of tool	nongold
7	pulling is a kind of motion	nongold
8	helping something has a  positive impact on that something	nongold
9	a lever can be used to hit an object	nongold
10	motion; movement means moving; to move	nongold
11	a complex machine is made of more than one simple machine	nongold
12	to help; to benefit means to be of use	nongold
13	as more pulleys are used together ,  less force is required	nongold
14	to be used  for something means to help to do that something	nongold
15	to lift means to move up	gold
16	a machine is a kind of object	nongold
17	up means upward	nongold
18	a button is similar to a switch	nongold
19	instrument means tool	nongold
20	a machine is a kind of  device	nongold
21	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
22	to enable is to help	nongold
23	requiring is similar to needing help	nongold
24	a pull is a kind of force	nongold
25	a simple machine requires mechanical energy to function	nongold
26	a rod is a kind of object	nongold
27	a tool is a kind of object	nongold
28	a screw is a kind of simple machine	nongold
29	a metal rod is a kind of object	nongold
30	low means down	nongold
31	a pedal is a kind of lever	nongold
32	a handle is used for holding an object	nongold
33	instrument means device	nongold
34	a device is a kind of object	nongold
35	an instrument is a piece of equipment	nongold
36	lowering is a kind of motion	nongold
37	helping means to assist in a change	nongold
38	a wheel and axle is a kind of simple machine	nongold
39	raising is a kind of motion	nongold
40	an inclined plane is a kind of simple machine	nongold
41	to help means to aid	nongold
42	a ramp is a kind of object	nongold
43	to travel up means to rise	nongold
44	a human is a kind of animal	nongold
45	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
46	device means tool	nongold
47	a handle is a kind of object	nongold
48	an inclined plane is used for raising; lowering objects	nongold
49	a handle is a part of an object for holding that object	nongold
50	the principle of a lever is used for increasing gripping force by pliers	nongold
51	helping means something can be done; completed more easily; better	nongold
52	downward means down	nongold
53	to make something easier means to help	nongold
54	motion is when moves an object; something to a direction	nongold
55	pliers are made of two levers for gripping	nongold
56	flipping; pushing a switch means using; activating that switch	nongold
57	person is synonymous with human	nongold
58	distance moved; distance travelled is a measure of how far an object moves	nongold
59	an animal is a kind of living thing	nongold
60	a vehicle is a kind of object	nongold
61	an electric motor is a kind of electrical device	nongold
62	jumping off is a kind of  moving down	nongold
63	if one is holding an object then one is touching that object	nongold
64	inventing a tool allows; enables that tool to be used	nongold
65	travel means to move	nongold
66	a living thing is a kind of object	nongold
67	objects are made of materials; substances; matter	nongold
68	a spring is a kind of object	nongold
69	the function of something is what that something  is used to do	nongold
70	a balloon is a kind of object	nongold
71	a stick is a kind of object	nongold
72	rotating is similar to moving	nongold
73	a balloon is made of rubber	nongold
74	a computer controls a robot	nongold
75	pull is similar to attract	nongold
76	to slow; to slow down decreases speed	nongold
77	to be helpful means to help to do	nongold
78	help means advantage	nongold
79	operating a remote-control toy causes that toy to move	nongold
80	rising means moving upward	nongold
81	speed is a measure of how fast an object is moving	nongold
82	a motion is a kind of event; action	nongold
83	can be means able to be	nongold
84	a bar is a kind of object	nongold
85	tool is similar to appliance	nongold
86	a vehicle is a kind of tool for travel; transport	nongold
87	to carry means to move something	nongold
88	to raise means to add	nongold
89	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
90	if an object is made of a material then that object has the properties of that material	nongold
91	pushing a button sometimes completes a circuit	nongold
92	a balloon is highly flexible	nongold
93	form means kind	nongold
94	an animal is a kind of organism	nongold
95	a wheel is a kind of object	nongold
96	a gear is a kind of object	nongold
97	a person is a kind of animal	nongold
98	if two things perform the same function then those two things are similar	nongold
99	An example of exerting force on an object is lifting an object	nongold
