Question	The features below are all present on Earth. Which feature could also be found on the Moon?	question
Answer	crater	answer
0	usually craters on planets; craters on moons are formed by asteroids;meteoroids impacting that planet or moon's surface	nongold
1	a moon is a kind of celestial object; body	nongold
2	a crater is a kind of land feature	gold
3	the lunar; moon's surface contains many craters	gold
4	a structure is a kind of feature	nongold
5	to be found in means to be contained in	gold
6	the Moon is Earth's moon	nongold
7	if something is located in some place , then the presence of that something can be found in that location	nongold
8	Earth is a kind of planet	nongold
9	moons are large; solid; spherical	nongold
10	the Earth's surface contains many craters	nongold
11	landform means surface feature; physical feature; land feature	nongold
12	a planet is a kind of celestial object; body	nongold
13	found in means existing in	nongold
14	a part of something is present in that something	nongold
15	a moon is located in space	nongold
16	a planet is a kind of place	nongold
17	contains means located in	nongold
18	beneath means below	nongold
19	celestial bodies; celestial objects are found in space	nongold
20	if something is a part of something then that something can be found in that something	nongold
21	if something required by something else is in a place then that something else may be in that place	nongold
22	bowl-shaped craters are a kind of crater	nongold
23	a planet is a kind of location	nongold
24	the moon is the celestial object that is closest to the  Earth	nongold
25	a property of something is a feature of that something	nongold
26	a planet's  moon is smaller than that planet	nongold
27	the moon orbits the Earth	nongold
28	to show means to present	nongold
29	if something is located  in somewhere , then something can be found in somewhere	nongold
30	the Moon is closer to the Earth than the Sun	nongold
31	if something exists on a surface then that surface contains that something	nongold
32	below means lower down	nongold
33	feature is synonymous with characteristic	nongold
34	below is the opposite of above	nongold
35	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
36	the surface of the Moon contains mountains	nongold
37	including means containing	nongold
38	the moon rotates on its axis	nongold
39	type of moon; kind of moon means moon phase	nongold
40	composed of means made of	nongold
41	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
42	the  moon's surface contains flat areas	nongold
43	Mars is a kind of planet	nongold
44	a surface is a part of an object	nongold
45	a structure of something is synonymous with a part of that something	nongold
46	place means space	nongold
47	can be means able to be	nongold
48	the  moon's surface contains highlands	nongold
49	if something does not move then that something can be found in the same location	nongold
50	a type is synonymous with a kind	nongold
51	made of is similar to contains	nongold
52	classifying means grouping objects; materials by their properties	nongold
53	a moon is a kind of satellite	nongold
54	no longer means used to be	nongold
55	located means situated	nongold
56	planets are found in space	nongold
57	the new moon is when the dark half of the moon faces the Earth	nongold
58	form means kind	nongold
59	the ground means Earth's surface	nongold
60	the solar system contains the moon	nongold
61	place is synonymous with location	nongold
62	the moon does not contain air; water	nongold
63	all the other means the rest of	nongold
64	an object is made of its parts	nongold
65	moons orbit planets	nongold
66	a planet contains environments	nongold
67	to be made of something means to be formed of that something	nongold
68	to contain means to have inside	nongold
69	a component means a part of	nongold
70	ground means floor	nongold
71	a living thing is a kind of object	nongold
72	organisms are located on Earth's surface	nongold
73	a cloud of dust and gas is a kind of feature	nongold
74	greatest means largest; highest; most amount of something	nongold
75	Venus is a kind of planet	nongold
76	made up of means contains; made of	nongold
77	the ground is part of the Earth	nongold
78	impact means effect	nongold
79	to be made of means to consist of	nongold
80	Earth's surface is made of rock	nongold
81	approximately means about	nongold
82	place; location is synonymous with position	nongold
83	a new moon is a kind of phase of the moon	nongold
84	Jupiter is a kind of planet	nongold
85	a hemisphere is a kind of place	nongold
86	to be formed by is similar to being produced by	nongold
87	a landform is a kind of place	nongold
88	a landform is a kind of place	nongold
89	Mars is a kind of inner planet	nongold
90	preserved means from the past; from long ago	nongold
91	answering questions requires information	nongold
92	the location of an object can be used to describe that object	nongold
93	highest means largest; greatest; most in height	nongold
94	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
95	massive means giant	nongold
96	to give is similar to to cause	nongold
97	an object has properties	nongold
98	affected means changed	nongold
99	the dark half of the moon is not visible	nongold
