Question	Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?	question
Answer	climate	answer
0	a desert is a kind of environment	nongold
1	a desert environment is low in availability of water; availability of food	nongold
2	a plant requires a specific climate to grow and survive	gold
3	a desert environment is dry	nongold
4	if something requires something else then that something else is important to that something	nongold
5	a climate is synonymous with an environment	gold
6	a desert environment usually has a lot of sunlight	nongold
7	a plants; living things require water for survival; to grow	nongold
8	a desert environment receives low rainfall	nongold
9	a plant requires soil for survival; to grow	nongold
10	a plant; living thing requires nutrients to grow	nongold
11	if something has a positive impact on something else then that something is important to that something else	nongold
12	a cactus lives in the desert	nongold
13	determining often requires measuring; observing	nongold
14	a cactus is a kind of plant	nongold
15	a desert environment usually is hot in temperature	nongold
16	an environment is a kind of place	gold
17	a plant; living thing requires food for survival	nongold
18	all living things grow	nongold
19	a plant requires photosynthesis to grow; survive	nongold
20	a plant is a kind of organism	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	an environment means an area	nongold
23	climate is the usual kind of weather in a location over a period of time	nongold
24	a plant requires a habitat for survival	nongold
25	a plant is a kind of living thing	nongold
26	place is synonymous with location	nongold
27	survival means to survive	nongold
28	if something required by something else is in a place then that something else may be in that place	nongold
29	survive means live	nongold
30	survive means live	nongold
31	place means area	nongold
32	if a plant is planted; growing somewhere then that plant is located there	nongold
33	if a living thing requires something then that something has a positive impact on that living thing	nongold
34	plants are a part of the environment	nongold
35	temperature is a property of weather	nongold
36	An example of an environment is a forest; a river; a grassland; an ocean	nongold
37	changes in an environment cause animals; plants to adapt to survive	nongold
38	harming something has a  negative impact on; effect on that something	nongold
39	green plants are a kind of producer	nongold
40	Antarctica is a kind of desert	nongold
41	requiring is similar to needing help	nongold
42	a forest environment receives more rainfall than a desert	nongold
43	a grassland environment receives more rainfall than a desert	nongold
44	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
45	a region is similar to an environment	nongold
46	a desert is a kind of land feature	nongold
47	a  plant requires sunlight to  grow	nongold
48	helping something has a  positive impact on that something	nongold
49	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
50	negative impact is the opposite of positive impact	nongold
51	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
52	a plant is a member of a plant species	nongold
53	change is a kind of impact	nongold
54	role is similar to importance	nongold
55	a region is a kind of location	nongold
56	an environment is similar to an ecosystem	nongold
57	requiring something means needing that something	nongold
58	low is similar to decrease	nongold
59	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
60	growing is a kind of process	nongold
61	if something causes a process then that something is required for that process	nongold
62	high is similar to increase	nongold
63	an organism is a living thing	nongold
64	a  plant requires sunlight for photosynthesis	nongold
65	life means living things	nongold
66	harming an environment causes harm to the living things; to the organisms in that environment	nongold
67	if something is required for a process then that something positively impacts that process	nongold
68	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
69	organisms are a part of an environment	nongold
70	to depend on; to rely on; to need means to require	nongold
71	an increase is the opposite of a decrease	nongold
72	a native; indigenous plant lives in a place because of nature, not human change	nongold
73	nonliving; non-living; die is the opposite of living; alive; live	nongold
74	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
75	growth means size;number;value;strength increases	nongold
76	vegetation means plants	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	to lower means to decrease	nongold
79	an animal is a kind of living thing	nongold
80	identifying is similar to determining	nongold
81	a plant requires water to grow	nongold
82	region means place	nongold
83	an animal requires a habitat for survival	nongold
84	animals; living things require water for survival	nongold
85	temperature is a measure of heat energy	nongold
86	summer has hot temperatures; weather	nongold
87	to be required means to be necessary	nongold
88	determining is similar to controlling	nongold
89	dying is the opposite of living; surviving	nongold
90	heat has a great impact on weather	nongold
91	the Earth contains many ecosystems	nongold
92	animals; living things live and feed in their habitats; near their habitats	nongold
93	many desert animals want the water stored inside a cactus	nongold
94	affected means changed	nongold
95	winter has cold temperatures;weather	nongold
96	answering questions requires information	nongold
97	determine is similar to cause	nongold
98	impact means effect	nongold
99	organisms; living things live in their habitat; their home	nongold
