Question	Some birds fly south before winter each year. This is an example of	question
Answer	migration	answer
0	An example of migration is birds flying south in the winter	gold
1	migration is when animals move to different locations in an annual cycle	gold
2	flying is a kind of motion through air; space	gold
3	motion is when moves an object; something to a direction	gold
4	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	gold
5	An example of migration is moving to a warmer climate in the winter	nongold
6	winter is a kind of season	gold
7	migration is a kind of behavior	nongold
8	summer is a kind of season	nongold
9	winter is a part of the year	nongold
10	south; southward is a kind of direction	gold
11	north; northward is a kind of direction	nongold
12	winter is when a hemisphere is tilted away from the sun	nongold
13	summer is when a hemisphere is tilted towards the sun	nongold
14	every summer  is a kind of period of time	nongold
15	a kind of something is an example of that something	nongold
16	travel means to move	nongold
17	a bird is a kind of animal	nongold
18	a bird is a kind of living thing	nongold
19	winter means environmental; outdoor temperature decreases	nongold
20	migration is a kind of adaptation	nongold
21	winter is the opposite of summer	nongold
22	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
23	north is the opposite of south	nongold
24	distance moved; distance travelled is a measure of how far an object moves	nongold
25	away is a kind of direction	nongold
26	moving is similar to travelling	nongold
27	winter follows fall	nongold
28	flying is a kind of locomotion	nongold
29	toward is a kind of direction	nongold
30	arrival is a kind of movement	nongold
31	far means great in distance	nongold
32	each season occurs once per year	gold
33	to pass means to travel	nongold
34	South America is a kind of continent	nongold
35	spring follows winter	nongold
36	returning is a kind of movement	nongold
37	spring is a kind of season	nongold
38	adult birds usually fly	nongold
39	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
40	summer follows spring	nongold
41	furthest; farthest means greatest; most; highest in distance	nongold
42	migration is an instinctive behavior	nongold
43	a velocity is a measure of a speed in a direction	nongold
44	returning is similar to bringing	nongold
45	annual means once per year	gold
46	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
47	Autumn is a kind of season	nongold
48	winter has cold temperatures;weather	nongold
49	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
50	motion; movement means moving; to move	nongold
51	near; close is the opposite of far; away	nongold
52	fall follows summer	nongold
53	summer has hot temperatures; weather	nongold
54	events occur at a specific place; at a specific time; with a specific frequency	nongold
55	yearly means every year	nongold
56	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
57	an animal is a kind of living thing	nongold
58	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
59	the Earth being tilted on its rotating axis causes seasons	nongold
60	a living thing is a kind of object	nongold
61	distant means great in distance	nongold
62	to pass means to occur	nongold
63	navigation requires knowing direction	nongold
64	fall is a kind of season	nongold
65	distance is a property of space and includes ordered values of close; far	nongold
66	to cross means to pass	nongold
67	down is a kind of direction	nongold
68	upward is a kind of direction	nongold
69	revolving is a kind of motion	nongold
70	high is similar to increase	nongold
71	an animal with radial symmetry can sense predators; food from all directions	nongold
72	distant means far away	nongold
73	to reach somewhere requires traveling	nongold
74	spring has warm temperatures; weather	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	flight is similar to a movement in the air made by an airplane	nongold
77	transport means to move; to make travel	nongold
78	fall means autumn	nongold
79	downward is a kind of direction	nongold
80	an eagle is a kind of bird	nongold
81	travelling requires  navigation	nongold
82	throughout means over	nongold
83	months are a kind of unit for measuring time	nongold
84	years are a kind of unit for measuring time	nongold
85	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
86	a continent is a kind of large land mass	nongold
87	a motion is a kind of event; action	nongold
88	locomotion means movement	nongold
89	a type is synonymous with a kind	nongold
90	answering questions requires information	nongold
91	causing means influencing	nongold
92	toward is the opposite of away	nongold
93	wind direction is a property of weather	nongold
94	to cause is similar to bring	nongold
95	setting is a kind of motion	nongold
96	to add means to increase	nongold
97	a continent is a kind of location	nongold
98	colder; cooler means lower in temperature	nongold
99	towards means closer to something	nongold
