Question	The cows in a rancher's herd of cattle have been selectively bred to produce milk. Which of the following will cause the next generation of cows to receive the trait for producing large quantities of milk?	question
Answer	information in the cows' chromosomes	answer
0	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	gold
1	selective breeding is when an organism receives selective genetic traits from its parents by human design	gold
2	obtain is similar to receive	nongold
3	receiving the recessive gene for a trait from each parent causes the offspring to have; to express that recessive trait	nongold
4	data means information	nongold
5	receive means get	nongold
6	trait is a kind of genetic information	nongold
7	a lot means large in amount; quantity	nongold
8	a chromosome is a part of a cell	nongold
9	a cow is a kind of animal	gold
10	selective breeding decreases genetic diversity	nongold
11	a  chromosome contains genes	nongold
12	trait is synonymous with characteristic	nongold
13	if something is passed down to something else then that something else receives that something	gold
14	offspring are a part of a generation	gold
15	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
16	cattle is a kind of animal	nongold
17	quantity means amount	nongold
18	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
19	offspring receives half of the genes from each parent	nongold
20	a chromosomes of a human contains thousands of genes	nongold
21	a producer is a kind of living thing	nongold
22	reproduction produces; produce offspring	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	genetic information is encoded in genetic code	nongold
25	answering questions requires information	nongold
26	chromosome is made of DNA	nongold
27	reproduction is when an organism passes genetic information from itself to its offspring	nongold
28	parents produce offspring	nongold
29	inherited characteristics are a kind of hereditary information	nongold
30	if an organism passes on its traits then future generations will have those traits	nongold
31	an animal is a kind of living thing	nongold
32	genes are located on chromosomes	nongold
33	parents are a part of a generation	gold
34	selective means of selection	nongold
35	genetic segregation is when each sex cell receives one copy of each chromosome	nongold
36	to produce means to provide	nongold
37	inherited characteristics can change over several generations	nongold
38	an animal is a kind of organism	gold
39	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
40	alleles are found at the same place on a chromosome	nongold
41	to give is similar to to cause	nongold
42	knowing the properties of something means knowing information about that something	nongold
43	milk is a kind of food	nongold
44	milk is a kind of food	nongold
45	producing is similar to causing	nongold
46	to be used for something means to be required by that something	nongold
47	converting is similar to producing	nongold
48	learning; studying information causes one to know that information	nongold
49	if something causes an increase in something else then that something produces that something else	nongold
50	an inherited characteristic is a kind of characteristic	nongold
51	to reproduce means to have; to produce offspring	nongold
52	a producer produces its own food	nongold
53	dairy is a kind of food	nongold
54	genes is a vehicle for passing genetic information from one generation to  the next	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	if an offspring has a recessive trait , then each parent has at least one recessive gene	nongold
57	genetic information can be used for making proteins	nongold
58	provide is similar to give; make	nongold
59	classifying means grouping objects; materials by their properties	nongold
60	Natural selection is when organisms with beneficial traits survive competition to  reproduce and pass their beneficial traits onto their offispring; the successive generation	nongold
61	genes contains genetic information	nongold
62	an allele is a kind of gene	nongold
63	an animal; living thing requires nutrients for survival	nongold
64	if something is transported to something else then that something else receives that something	nongold
65	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
66	if a sex cell receives more than one copy of a chromosome then then the zygote will receive more than two copies of that chromosme	nongold
67	taking in something means receiving; absorbing; getting something	nongold
68	genes are able to determine the inherited characteristics of a living thing	nongold
69	to breed is similar to to reproduce	nongold
70	getting information sometimes requires observing; observation	nongold
71	an allele can be a recessive gene	nongold
72	development is similar to production	nongold
73	a mother births offspring	nongold
74	new cells with a full set of chromosomes are formed by fertilization	nongold
75	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
76	to provide something means to be the source of that something	nongold
77	trait means property	nongold
78	a baby is the offspring of a parent	nongold
79	a baby is the offspring of a parent	nongold
80	products are formed; are produced; are created	nongold
81	a structure of something is synonymous with a part of that something	nongold
82	requiring something means needing that something	nongold
83	traits can be determined by one pair; many pairs of genes in an organism	nongold
84	a property is a kind of information	nongold
85	genetic variation is similar to trait variation	nongold
86	if something causes a process then that something is required for that process	nongold
87	increase means more	nongold
88	the nucleus contains genetic material for reproduction	nongold
89	a human is a kind of animal	nongold
90	a part of something means a characteristic of something	nongold
91	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
92	reproduction increases the number; population of a living thing	nongold
93	an increase is a kind of change	nongold
94	a sex cell of a human contains 23 chromosomes	nongold
95	an allele is formed by mutation	nongold
96	generate means produce	nongold
97	transcription is when genetic information flows from DNA to RNA	nongold
98	to contribute is similar to produce	nongold
99	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
