Question	Which of the following statements best describes one way that the Moon is different from Earth?	question
Answer	The Moon has almost no atmosphere.	answer
0	the Moon has less water; air than Earth	nongold
1	if a planet does not have an atmosphere then that planet will not hold heat	nongold
2	the moon does not contain air; water	gold
3	different is the opposite of the same	nongold
4	Earth is a kind of planet	nongold
5	to lack means to not have	nongold
6	atmosphere means  air	gold
7	to change means to become different	nongold
8	a moon is a kind of celestial object; body	nongold
9	Earth has air	nongold
10	less is similar to decrease	nongold
11	atmospheric means of the atmosphere	nongold
12	a planet is a kind of celestial object; body	nongold
13	the Moon is Earth's moon	nongold
14	an increase is the opposite of a decrease	nongold
15	if there is none of a thing then that thing does not exist	nongold
16	the atmosphere is similar to the sky	nongold
17	the atmosphere contains gases; liquids; solids	nongold
18	different celestial body has different gravity	nongold
19	low is similar to decrease	nongold
20	opposite is a kind of different	nongold
21	to lower means to decrease	nongold
22	the moon orbits the Earth	nongold
23	if something has no impact on something else then that something else stays the same	nongold
24	if something changes , then that something is not the same	nongold
25	if something is not the same as something else then that something is different from that something else	gold
26	less is the opposite of more	nongold
27	the atmosphere of a planet holds heat	nongold
28	Earth's atmosphere has different layers	nongold
29	the moon is the celestial object that is closest to the  Earth	nongold
30	best means most positive	nongold
31	identical is the opposite of different	nongold
32	same means identical; equal in value; amount; number; quantity	nongold
33	another means different	nongold
34	the Sun is a kind of star	nongold
35	the Earth's atmosphere is made of 23.133 percent oxygen by mass	gold
36	high is similar to increase	nongold
37	a decrease is a kind of change	nongold
38	oxygen is a kind of gas at room temperature	nongold
39	little is similar to decrease	nongold
40	a planet's  moon is smaller than that planet	nongold
41	Earth is a planet that is closer to the  Sun than Jupiter	nongold
42	gas is a kind of substance	nongold
43	the  property of something is the same for the things of same kind	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	gaseous means of gas	nongold
46	heat means heat energy	nongold
47	an animal is a kind of living thing	nongold
48	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	gold
49	the Moon is closer to the Earth than the Sun	nongold
50	not is similar to the opposite of	nongold
51	changed is the opposite of unchanged	nongold
52	stay the same means not changing	nongold
53	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
54	an increase is a kind of change	nongold
55	lower means less	nongold
56	air is a kind of gas	nongold
57	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
58	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
59	Earth is the planet that is third closest to the  Sun	nongold
60	a  gas is a kind of  element	nongold
61	Mars is a kind of planet	nongold
62	an organism is a living thing	nongold
63	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
64	a star is made of gases	nongold
65	an animal; bacterium requires oxygen for survival; to breathe	nongold
66	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
67	if something is insoluble in something , then they will remain separated	nongold
68	the atmosphere is a part of nature; the environment	nongold
69	carbon dioxide is a kind of gas	nongold
70	new means different from the former one	nongold
71	affected means changed	nongold
72	temperature is a measure of heat energy	nongold
73	to distinguish means to tell the difference between	nongold
74	water vapor is found in the atmosphere	nongold
75	to remain means to stay the same	nongold
76	a source of something increases the amount of that something	nongold
77	thermosphere is a  layer of Earth's atmosphere	nongold
78	greenhouse gases are a part of the atmosphere	nongold
79	if something emits something else then that something increases the amount of that something else	nongold
80	the emission of something is when something is added into the atmosphere	nongold
81	Earth contains water; ice; (steam, water vapor)	nongold
82	if something does not contain something else then that something lacks that something else	nongold
83	absorbing something from the air decreases the  amount of  that something in the air	nongold
84	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
85	a human is a kind of animal	nongold
86	an event is a kind of action	nongold
87	Saturn is a kind of planet	nongold
88	can be means able to be	nongold
89	a planet is exposed to the heat of the star around which it revolves	nongold
90	the Earth revolves around the sun	nongold
91	as the cause of something decreases , that something will decrease	nongold
92	increase means more	nongold
93	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
94	the sun is the source of solar energy called sunlight	nongold
95	lack is similar to low; little	nongold
96	the properties of something are used for describing that something	nongold
97	to reduce means to decrease	nongold
98	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
99	to add means to increase	nongold
