Question	The ice cubes in a freezer are melting. Which change most likely is causing the ice cubes to melt?	question
Answer	an increase in the temperature inside the freezer	answer
0	a freezer; refrigerator is cool; cold in temperature	nongold
1	a freezer is used for cooling things	nongold
2	an ice cube is a kind of solid	gold
3	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
4	ice cube is made of ice	nongold
5	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
6	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
7	liquid water cooling causes that liquid water to freeze	nongold
8	an ice cube is a kind of object	nongold
9	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
10	freezing is a kind of phase change	nongold
11	to add means to increase	gold
12	an increase is a kind of change	gold
13	melting is when solids are heated above their melting point	nongold
14	a decrease is a kind of change	nongold
15	cooling means temperature decreases	nongold
16	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
17	temperature changing can cause phase changes	nongold
18	melting is a kind of phase change	nongold
19	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
20	a cube is a kind of object	nongold
21	heating means adding heat	nongold
22	an increase is the opposite of a decrease	nongold
23	ice is a kind of solid	nongold
24	water is a kind of liquid at room temperature	gold
25	freezing means cold temperatures	nongold
26	temperature is a measure of heat energy	gold
27	frozen means solid	nongold
28	cold means low in temperature	nongold
29	heat means temperature increases	nongold
30	a container contains objects; material; substances	nongold
31	solid is a kind of state of matter	nongold
32	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
33	ice is a kind of food	nongold
34	ice is cold in temperature	nongold
35	a solid is a kind of substance	nongold
36	liquid is a kind of state of matter	nongold
37	heat means heat energy	nongold
38	a liquid is a kind of substance	nongold
39	water is a kind of substance	nongold
40	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
41	to reduce means to decrease	nongold
42	adding heat means increasing temperature	nongold
43	cool means cold	nongold
44	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
45	heat energy can change the state of matter	nongold
46	to change means to cause a change	nongold
47	ice is colder than water in temperature	nongold
48	ice cream is a kind of solid	nongold
49	something in a cold place becomes cold	nongold
50	icy means made of ice	nongold
51	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
52	ice is a kind of water phase	nongold
53	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
54	if one surface; one substance; one object touches something then one is exposed to that something	nongold
55	water is a kind of matter	nongold
56	the heat energy in the cooler object increases in thermal conduction	nongold
57	phase means state	nongold
58	hot means high in heat energy; temperature	nongold
59	to lower means to decrease	nongold
60	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
61	evaporating is a kind of phase change	nongold
62	if a container contains something then that container touches that something	nongold
63	high is similar to increase	nongold
64	colder; cooler means lower in temperature	nongold
65	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
66	ice is a kind of object	nongold
67	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
68	freezing causes a solid to form	nongold
69	gas is a kind of state of matter	nongold
70	heating is the opposite of cooling	nongold
71	heat energy is synonymous with thermal energy	nongold
72	if an object is made of a material then that object has the properties of that material	nongold
73	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
74	often is similar to likely	nongold
75	warm means warm temperature	nongold
76	materials are made of matter	nongold
77	a container is a kind of object	nongold
78	warm means medium heat energy; temperature	nongold
79	substances are made of matter	nongold
80	material means substance	nongold
81	objects are made of materials; substances; matter	nongold
82	evaporation causes amount of water to decrease	nongold
83	low is similar to decrease	nongold
84	person is synonymous with human	nongold
85	absorbing energy causes objects; materials; substances to heat	nongold
86	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
87	increase means more	nongold
88	if heat is added to a substance then that substance absorbs that heat	nongold
89	ice crystals means  ice	nongold
90	affected means changed	nongold
91	when water freezes , that water expands	nongold
92	a source of something increases the amount of that something	nongold
93	increasing heat causes thermal expansion	nongold
94	variable means able to change	nongold
95	warmer means greater; higher in temperature; warmth	nongold
96	out is synonymous with outside	nongold
97	being  on something; placed in something; placed over something means touching  that something	nongold
98	as the amount of a source of something decreases , the amount of that something will decrease	nongold
99	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
