Question	The freezing and thawing action of water affects a rock by	question
Answer	gradually breaking down the rock into smaller pieces.	answer
0	cycles of freezing and thawing water cause ice wedging	gold
1	to break down means to break into smaller pieces	nongold
2	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
3	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
4	freezing is a kind of phase change	nongold
5	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
6	freezing causes a solid to form	nongold
7	freezing means cold temperatures	nongold
8	frozen means solid	nongold
9	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
10	break down means change from a whole into pieces	nongold
11	smaller means less; lower in size	nongold
12	water is a kind of liquid at room temperature	nongold
13	gradual means slow; over time	nongold
14	to impact means to affect	nongold
15	larger means greater; higher; more; increase in size	nongold
16	affected means changed	nongold
17	ice is a kind of solid	nongold
18	liquid water cooling causes that liquid water to freeze	nongold
19	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
20	ice is a kind of object	nongold
21	thawing is similar to melting	nongold
22	action can cause change	nongold
23	a piece of an object is smaller in size than the whole object	nongold
24	if something affects a part of something else then that something affects that something else	nongold
25	water is a kind of substance	nongold
26	larger; bigger is the opposite of smaller	nongold
27	causing is a kind of affecting	gold
28	a rock is a kind of object	nongold
29	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
30	to act on means to affect	nongold
31	temperature is a measure of heat energy	nongold
32	to reduce means to decrease	nongold
33	ice wedging is a kind of mechanical weathering	gold
34	cooling means temperature decreases	nongold
35	impact means effect	nongold
36	cold means low in temperature	nongold
37	small is the opposite of large	nongold
38	to add means to increase	nongold
39	change is a kind of impact	nongold
40	a piece of something is a kind of object	nongold
41	a rock is usually a solid	nongold
42	ice is cold in temperature	nongold
43	an part of an object is smaller than the entire object	nongold
44	cool means cold	nongold
45	dissolving is a kind of action	nongold
46	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
47	a phase change is a kind of physical change	nongold
48	a motion is a kind of event; action	nongold
49	colder; cooler means lower in temperature	nongold
50	water is a kind of object	nongold
51	icy means made of ice	nongold
52	mass has no impact on boiling; melting; freezing point	nongold
53	decreasing is similar to becoming smaller	nongold
54	a liquid is a kind of substance	nongold
55	to lower means to decrease	nongold
56	rock is a kind of material	nongold
57	ice is colder than water in temperature	nongold
58	a solid is a kind of substance	nongold
59	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
60	forming is a kind of action	nongold
61	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
62	an event is a kind of action	nongold
63	sleet is a kind of ice	nongold
64	an increase is a kind of change	nongold
65	when things erode , those things may become smaller	nongold
66	water is a kind of matter	nongold
67	liquid is a kind of state of matter	nongold
68	increase means more	nongold
69	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
70	boiling is a kind of phase change	nongold
71	a decrease is a kind of change	nongold
72	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
73	to change means to have an effect	nongold
74	solid is a kind of state of matter	nongold
75	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
76	heat means heat energy	nongold
77	heat means temperature increases	nongold
78	largest means greatest in size	nongold
79	sleet is made of ice	nongold
80	mechanical weathering is when rocks are broken down by mechanical means	nongold
81	to cause means to have an effect	nongold
82	a piece is a part of a whole	nongold
83	freezing is a kind of  exothermic process	nongold
84	revolving is a kind of action	nongold
85	breaking down is a kind of forming	nongold
86	extreme means very high in value	nongold
87	when water freezes , that water expands	nongold
88	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
89	water expanding when it freezes is a physical property of water	nongold
90	to change means to cause a change	nongold
91	rock means stone	nongold
92	a human is a kind of animal	nongold
93	cooling is a kind of process	nongold
94	adding heat means increasing temperature	nongold
95	dissolving is similar to breaking down	nongold
96	the effects of something is a property of that something	nongold
97	if something is made of something else then that something can be broken down into that something else	nongold
98	temperature changing can cause phase changes	nongold
99	to limit means to decrease	nongold
