Question	Which unit of measurement can be used to describe the length of a desk?	question
Answer	centimeters	answer
0	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	gold
1	a meter is a kind of unit for measuring distance; measuring length	nongold
2	meters;centimeters;kilometers are used to describe distance; describe length	gold
3	a desk usually has a length with values between 50.0 and 250 cm	gold
4	a desk is usually short in height; in width	gold
5	measuring is used for describing an object	nongold
6	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
7	a desk is a kind of table	nongold
8	a table is a kind of object	nongold
9	length is a part of size	nongold
10	a chair is a kind of object	nongold
11	a table is a kind of furniture	nongold
12	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
13	inch ( in ) is a imperial unit used for measuring length; distance	nongold
14	height is a measure of length from the top of an object to the bottom of an object	nongold
15	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
16	square meter ( m^2 ) is a metric unit used for measuring area	nongold
17	a wooden bench is a kind of object	nongold
18	width is a property of size; shape and includes ordered values of narrow; wide	nongold
19	long means great in length	nongold
20	a meter stick is used to measure distance; height; length	nongold
21	height is a property of the size of an object	nongold
22	length is a measure of distance from one end of an object to the other end of that object	nongold
23	a meter stick is a kind of tool for measuring length; measuring distance	nongold
24	unit is similar to part	nongold
25	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
26	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
27	a tool is a kind of object	nongold
28	a ruler is used for measuring the length of an object	nongold
29	thickness is  a measure of how thick an object  is	nongold
30	objects are made of materials; substances; matter	nongold
31	the properties of something are used for describing that something	nongold
32	longest means greatest in length	nongold
33	a surface is a part of a material	nongold
34	a living thing is a kind of object	nongold
35	instrument means tool	nongold
36	diameter is a measure of length through the center of a circle	nongold
37	height is a kind of position	nongold
38	an animal is a kind of living thing	nongold
39	a centimeter is a kind of unit of measurement	gold
40	size; amount of space means volume	nongold
41	shorter means smaller; less in  height	nongold
42	a surface is a part of an object	nongold
43	a description sometimes provides information	nongold
44	length is a property of the shape of an object	nongold
45	an instrument is a piece of equipment	nongold
46	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
47	a centimeter is used for measuring short lengths; short distances	gold
48	the volume of an object can be used to describe  the size of that object	nongold
49	measuring requires reading a measurement	nongold
50	a measure of time is a length of time	nongold
51	a human is a kind of animal	nongold
52	cubic centimeter ( cm^3 ) is a metric unit used for measuring volume	nongold
53	thin means small in width	nongold
54	a ruler is a kind of tool for measuring length	nongold
55	length of time means period of time	nongold
56	an object is an item	nongold
57	wider means greater in width	nongold
58	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
59	a surface is a kind of object	nongold
60	a tape measure is a kind of tool for measuring distance; measuring length	nongold
61	the location of an object can be used to describe that object	nongold
62	thickness is a property of an object and includes ordered  values of thin; thick	nongold
63	shortest means least; smallest in length	nongold
64	a  tape measure is used to measure length; distance	nongold
65	round means circular in shape	nongold
66	property is similar to measurement	nongold
67	a kilogram is a kind of unit for measuring mass	nongold
68	to shorten means to make shorter	nongold
69	a table is hard	nongold
70	an object is made of its parts	nongold
71	a balance is used for measuring mass;weight of an object; of a substance	nongold
72	shorter means decreased length	nongold
73	a gram  is a kind of unit for measuring mass	nongold
74	an part of an object is smaller than the entire object	nongold
75	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
76	nanometers ( nm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
77	liters are a kind of unit for measuring volume of liquids	nongold
78	an increase is a kind of change	nongold
79	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
80	a device is a kind of object	nongold
81	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
82	calculation means measurement	nongold
83	can be means able to be	nongold
84	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
85	instrument means device	nongold
86	motion; movement means moving; to move	nongold
87	highest means largest; greatest; most in height	nongold
88	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
89	milliliters is a kind of unit for measuring volume of liquids	nongold
90	density is a measure of mass of an object over volume; divided by volume	nongold
91	greatest means largest; highest; most amount of something	nongold
92	size is an extensive property	nongold
93	answering questions requires information	nongold
94	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
95	high is similar to increase	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	furniture often is made of wood	nongold
98	materials are made of matter	nongold
99	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
