Question	Why are alternative fuels being used in some automobiles?	question
Answer	Gasoline comes from a limited resource.	answer
0	where something  comes from is a source of that something	nongold
1	a nonrenewable resource is limited in supply	gold
2	alternative fuel is usually a renewable resource	gold
3	if something comes from something else then that something else is a source of that something	nongold
4	oil is a source of gasoline	gold
5	gasoline is a kind of fuel	nongold
6	if a resource is limited in supply then that resource should be recycled	nongold
7	a fossil fuel is a kind of natural resource	nongold
8	if something is a raw material then that something comes directly from a source	nongold
9	fossil fuels are a nonrenewable resource	nongold
10	petroleum is a kind of fossil fuel	nongold
11	using gasoline is a source of carbon dioxide	nongold
12	oil is a nonrenewable resource	gold
13	an automobile is a kind of vehicle	gold
14	oil is a kind of fossil fuel	nongold
15	if a resource is limited in supply then that resource will run out	nongold
16	if a resource is limited in supply then that resource needs to be replaced	nongold
17	to be used for something means to be required by that something	gold
18	a car is a kind of vehicle	nongold
19	an object; material; substance comes from that object or material's source	gold
20	a car is a kind of automobile	nongold
21	fossil fuels are a kind of energy resource	nongold
22	gasoline is a source of chemical energy	nongold
23	vehicles usually require gasoline to operate	gold
24	gasoline is a kind of chemical power source	nongold
25	using a gasoline engine requires burning  gasoline	nongold
26	fossil fuel contains chemical energy	nongold
27	burning gasoline; oil is a source of air pollution	nongold
28	renewable is the opposite of nonrenewable	nongold
29	oil is a kind of energy resource	nongold
30	natural gas is a kind of fossil fuel	nongold
31	a supply of something is a source of that something	nongold
32	natural gas is a nonrenewable resource	nongold
33	a renewable resource is a kind of natural resource	nongold
34	renewable resources are often available for many years	nongold
35	a vehicle is used for transportation	nongold
36	a source of something supplies that something	nongold
37	fuel supply is a kind of resource	nongold
38	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
39	resources sometimes are used for energy	nongold
40	oil is a kind of substance; matter	nongold
41	the automobile is a kind of technology	nongold
42	a biofuel is a kind of alternative energy resource	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a material is a kind of resource	nongold
45	requiring something means needing that something	nongold
46	fuel contains chemical energy	nongold
47	if something is a raw material in a process then that something is required for that process	nongold
48	an engine is a part of an automobile	nongold
49	burning gasoline is a source of  heat energy	nongold
50	petroleum is a source of raw material for the production of plastics	nongold
51	fuel is a kind of energy source	nongold
52	using resources decreases those resources	nongold
53	plants are a kind of resource	nongold
54	one can get something from a source	nongold
55	oxygen is a kind of resource	nongold
56	if something gains something from something else then that something else is a source of that something	nongold
57	oil is a kind of liquid	nongold
58	oil is a kind of liquid	nongold
59	food is a kind of resource	nongold
60	a car engine is a part of a car	nongold
61	natural resources are found in nature	nongold
62	fuel is a source of energy	nongold
63	being used for is similar to providing	nongold
64	An example of creating an alternative fuel is turning plant material into fuel	nongold
65	resources becoming available has a positive impact on the things that need those resources	nongold
66	if something requires something else then that something requires a source of that something else	nongold
67	consumption means use	nongold
68	using the fuel requires burning the fuel	nongold
69	a producer is a source of energy for consumers	nongold
70	fossil fuels have high potential energy	nongold
71	operating an automobile usually requires fossil fuels	nongold
72	to provide something means to be the source of that something	nongold
73	plants are a source of biofuel	nongold
74	a natural resource is a kind of environmental factor	nongold
75	an energy source is a kind of resource	nongold
76	if something transfers something else then that something is a source of something else	nongold
77	natural gas is used for cooking food by burning	nongold
78	ethanol is a kind of substance	nongold
79	using a car causes pollution	nongold
80	good means positive	nongold
81	to depend on; to rely on; to need means to require	nongold
82	wood is a kind of resource	nongold
83	fossil fuels burning causes pollution	nongold
84	biofuel is a kind of fuel	nongold
85	a renewable resource is a kind of naturally replaced resource	nongold
86	fuel efficient means uses less fuel	nongold
87	to use means to utilize	nongold
88	a component means a part of	nongold
89	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
90	a fuel is used to make energy	nongold
91	oil is a source of energy	nongold
92	if something causes a process then that something is required for that process	nongold
93	coal is a kind of fossil fuel	nongold
94	a producer produces its own food	nongold
95	animals are a renewable resource	nongold
96	a producer is a kind of living thing	nongold
97	using less resources usually causes money to be saved	nongold
98	vegetable oil is a kind of fuel	nongold
99	metal is a kind of natural resource	nongold
