Question	Which tool is used to measure the diameter of a dime?	question
Answer	ruler	answer
0	a ruler is a kind of tool for measuring length	gold
1	a ruler is used for measuring the length of an object	gold
2	instrument means tool	nongold
3	device means tool	nongold
4	a dime is a kind of coin	gold
5	a tool is a kind of object	nongold
6	a meter is a kind of unit for measuring distance; measuring length	nongold
7	a centimeter is used for measuring short lengths; short distances	nongold
8	size; amount of space means volume	nongold
9	diameter is a measure of length through the center of a circle	gold
10	length is a part of size	nongold
11	a centimeter is a kind of unit of measurement	nongold
12	instrument means device	nongold
13	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
14	length is a measure of distance from one end of an object to the other end of that object	nongold
15	a device is a kind of object	nongold
16	a measure of time is a length of time	nongold
17	an ounce is a kind of unit for measuring mass	nongold
18	a living thing is a kind of object	nongold
19	height is a measure of length from the top of an object to the bottom of an object	nongold
20	the volume of an object can be used to describe  the size of that object	nongold
21	measuring is used for describing an object	nongold
22	an part of an object is smaller than the entire object	nongold
23	measuring requires reading a measurement	nongold
24	an instrument is a piece of equipment	nongold
25	meters;centimeters;kilometers are used to describe distance; describe length	nongold
26	objects are made of materials; substances; matter	nongold
27	a cube is a kind of object	nongold
28	a coin is a kind of object	gold
29	a piece of an object is smaller in size than the whole object	nongold
30	thickness is  a measure of how thick an object  is	nongold
31	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
32	a meter stick is a kind of tool for measuring length; measuring distance	nongold
33	an animal is a kind of living thing	nongold
34	to measure means to calculate	nongold
35	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
36	property is similar to measurement	nongold
37	the function of something is what that something  is used to do	nongold
38	a desk is usually short in height; in width	nongold
39	a lot means large in amount; quantity	nongold
40	height is a property of the size of an object	nongold
41	a human is a kind of animal	nongold
42	a meter stick is used to measure distance; height; length	nongold
43	length is a property of the shape of an object	nongold
44	dim means a small amount of light	nongold
45	answering questions requires information	nongold
46	length of time means period of time	nongold
47	inch ( in ) is a imperial unit used for measuring length; distance	nongold
48	a tape measure is a kind of tool for measuring distance; measuring length	nongold
49	measures of length; measures of distance are used to measure the amount of rainfall	nongold
50	seconds are used to measure time	nongold
51	width is a property of size; shape and includes ordered values of narrow; wide	nongold
52	a machine is a kind of  device	nongold
53	a  tape measure is used to measure length; distance	nongold
54	calculation means measurement	nongold
55	a scale is used for measuring weight	nongold
56	a desk usually has a length with values between 50.0 and 250 cm	nongold
57	volume is a property of matter	nongold
58	square meter ( m^2 ) is a metric unit used for measuring area	nongold
59	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
60	long means great in length	nongold
61	a desk is a kind of table	nongold
62	height is a kind of position	nongold
63	seconds are a kind of unit for measuring time	nongold
64	a simple machine is a kind of tool	nongold
65	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
66	round means circular in shape	gold
67	a musical instrument is a kind of object	nongold
68	density is a measure of mass of an object over volume; divided by volume	nongold
69	material means substance	nongold
70	a surface is a part of an object	nongold
71	something is used for that something's purpose	nongold
72	greatest means largest; highest; most amount of something	nongold
73	a ratio is a measure of one measure over another measure; divided by another measure	nongold
74	a ball is a kind of object	nongold
75	a balance is a kind of instrument for measuring mass; measuring weight	nongold
76	a protractor is a kind of tool for measuring the angles of a triangular object	nongold
77	amount is similar to number	nongold
78	high is similar to increase	nongold
79	an object is made of its parts	nongold
80	greater means higher; more in value	nongold
81	quantity means amount	nongold
82	a machine is a kind of object	nongold
83	distance moved; distance travelled is a measure of how far an object moves	nongold
84	a particle is a kind of object	nongold
85	level is similar to amount; quantity	nongold
86	low means down	nongold
87	a balance is used for measuring mass;weight of an object; of a substance	nongold
88	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	nongold
89	depth is a property of the shape of an object	nongold
90	larger means greater; higher; more; increase in size	nongold
91	wider means greater in width	nongold
92	a piece of something is a kind of object	nongold
93	particles in objects are a kind of matter	nongold
94	higher means greater; above in value; amount; number	nongold
95	two objects are usually different in size	nongold
96	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
97	increase means more	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	smaller means less; lower in size	nongold
