Question	When astronauts walked on the Moon, they used weighted boots to help them walk due to the lower gravitational pull. What difference between Earth and the Moon accounts for the difference in gravity?	question
Answer	mass	answer
0	an astronaut is a kind of human	nongold
1	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
2	the Moon is Earth's moon	nongold
3	Earth is a kind of planet	gold
4	a moon is a kind of celestial object; body	gold
5	a planet is a kind of celestial object; body	nongold
6	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
7	mass; weight is a property of matter; objects; materials	nongold
8	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
9	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	gold
10	astronauts live on a space station while in outer space	nongold
11	the earth has more mass than the moon	gold
12	the moon orbits the Earth	nongold
13	walking is a kind of motion	nongold
14	weight is a measure of the force of the gravity on the mass of an object	nongold
15	moons are large; solid; spherical	nongold
16	weight means the force of gravity acting on an object	nongold
17	an increase is the opposite of a decrease	nongold
18	to be used  for something means to help to do that something	nongold
19	Weight is  the  force of gravity acting on an object	nongold
20	gravity causes orbits	nongold
21	weight is a property of objects; matter	nongold
22	the mass of a planet causes the pull of gravity on that planet	nongold
23	an increase is a kind of change	gold
24	astronauts wear spacesuits in space	nongold
25	a change is a kind of difference	gold
26	to lower means to decrease	nongold
27	mass is a property of objects; matter	nongold
28	as distance from an object decreases , the the pull of gravity on that object increases	nongold
29	high is similar to increase	nongold
30	mass is a measure of the amount of matter in an object	nongold
31	a weight is a kind of object	nongold
32	accounting for means making up some amount	nongold
33	low is similar to decrease	nongold
34	Earth is made of rock	nongold
35	shoes are a kind of object	nongold
36	the mass of an object causes the gravitational force exerted by that object	nongold
37	the lowest gravitational pull is during a quarter moon	nongold
38	boots often are made of rubber	nongold
39	a decrease is a kind of change	nongold
40	due to means caused by	nongold
41	gravity is a kind of force	nongold
42	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
43	greater means higher; more in value	nongold
44	as the force  of gravity decreases , the weight of the object will decrease	nongold
45	as the force of gravity increases , the weight of objects will increase	nongold
46	as the distance from an object increases , the force of gravity on that object will decrease	nongold
47	mass; weight are the same on Earth	nongold
48	different celestial body has different gravity	nongold
49	as the altitude increases , the gravity will decrease	nongold
50	less is similar to decrease	nongold
51	to add means to increase	nongold
52	objects are made of materials; substances; matter	nongold
53	a planet's  moon is smaller than that planet	nongold
54	pulling is a kind of motion	nongold
55	heavy means a large amount of weight	nongold
56	as the force  of gravity changes , the weight of the object will change	nongold
57	as the mass of an object increases , the force of gravity on that object will increase	nongold
58	mass is a kind of physical property	nongold
59	to be used for something means to be required by that something	nongold
60	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
61	lower means less	nongold
62	higher means greater; above in value; amount; number	nongold
63	to reduce means to decrease	nongold
64	mass is similar to size	nongold
65	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
66	as the mass of an object decreases , the weight of that object will decrease	nongold
67	astronauts require preserved food for extended flights	nongold
68	a foot is a part of some animals for walking	nongold
69	weight is a kind of property	nongold
70	increase means more	nongold
71	to change means to become different	nongold
72	to slow; to slow down decreases speed	nongold
73	to impact means to affect	nongold
74	as the mass of an object increases ,  the weight of that object will increase	nongold
75	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
76	a factor impacts something	nongold
77	motion; movement means moving; to move	nongold
78	low is the opposite of high	nongold
79	larger is a kind of difference	nongold
80	less is the opposite of more	nongold
81	gravity pulls objects towards planets	nongold
82	if something causes something else then that something else depends on that something	nongold
83	a moon is located in space	nongold
84	extreme means very high in value	nongold
85	gravitational potential energy is a measure of the product of weight and height	nongold
86	massive means great in mass	nongold
87	type of moon; kind of moon means moon phase	nongold
88	affected means changed	nongold
89	an part of an object is smaller than the entire object	nongold
90	a pull is a kind of force	nongold
91	the Moon has less water; air than Earth	nongold
92	size difference is a kind of difference	nongold
93	the moon is the celestial object that is closest to the  Earth	nongold
94	motion is when moves an object; something to a direction	nongold
95	a living thing is a kind of object	nongold
96	a motion is a kind of event; action	nongold
97	furthest; farthest means greatest; most; highest in distance	nongold
98	an animal is a kind of living thing	nongold
99	Earth is greater in mass than Mars	nongold
