Question	What is a difference between mitosis and meiosis?	question
Answer	In mitosis, the products are identical to the parent cell, while in meiosis the products are different from the parent cell.	answer
0	meiosis produces cells that are different from the parent cell	gold
1	mitosis produces cells that are identical to the parent cell	gold
2	identical is the opposite of different	nongold
3	identical means copy	nongold
4	same means identical; equal in value; amount; number; quantity	nongold
5	different is the opposite of the same	nongold
6	a change is a kind of difference	nongold
7	to change means to become different	nongold
8	if something is copied then that something will be the same; similar; identical	nongold
9	the parent cell is the original cell	nongold
10	opposite is a kind of different	nongold
11	an organism is a living thing	nongold
12	if something changes , then that something is not the same	nongold
13	mitosis produces two cells with the same number of chromosomes as the parent cell	nongold
14	mitosis produces two diploid cells from a diploid parent cell	nongold
15	different organisms reproduce differently	nongold
16	to distinguish means to tell the difference between	nongold
17	an animal cell is a kind of cell	nongold
18	if something is not the same as something else then that something is different from that something else	nongold
19	an animal is a kind of living thing	nongold
20	products are formed; are produced; are created	nongold
21	a living thing is made of cells	nongold
22	the  property of something is the same for the things of same kind	nongold
23	larger is a kind of difference	nongold
24	a plant cell is a kind of cell	nongold
25	stay the same means not changing	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	to vary means to differ	nongold
28	if something is given off of something , then something is the product of something	nongold
29	changed is the opposite of unchanged	nongold
30	a single-celled organism is a kind of living thing	nongold
31	mitosis is a source of two identical nuclei	nongold
32	not is similar to the opposite of	nongold
33	both means two	nongold
34	unique  is the opposite of diverse	nongold
35	if something has no impact on something else then that something else stays the same	nongold
36	different cellular tissues are made of different types of  somatic cells	nongold
37	to tell the difference between things means to classify those things	nongold
38	another means different	nongold
39	affected means changed	nongold
40	a human cell is a kind of cell	nongold
41	an animal is a kind of organism	nongold
42	a single-celled organism is a kind of organism	nongold
43	food contains carbohydrates	nongold
44	an animal; living thing requires nutrients for survival	nongold
45	classifying is when one sorts something by kind; type	nongold
46	new means different from the former one	nongold
47	basic life functions occur in the cells of organisms	nongold
48	a body cell means a somatic cell	nongold
49	made up of means contains; made of	nongold
50	a single-cell organism cannot specialize	nongold
51	meiosis produces four haploid sex cells from a diploid parent cell	nongold
52	a cell absorbs nutrients	nongold
53	a bacterium is a kind of organism	nongold
54	if something comes from something else then that something else is a source of that something	nongold
55	a component of something means a part of that something	nongold
56	a plant is made of plant cells	nongold
57	to remain means to stay the same	nongold
58	the cell is the most basic structural unit of life	nongold
59	unchanged means not changed	nongold
60	single-celled organism is made of only one cell	nongold
61	a human is a kind of animal	nongold
62	if something is made of something else , then that something else will be the component of that something	nongold
63	to be made of something means to be formed of that something	nongold
64	if something causes an increase in something else then that something produces that something else	nongold
65	a cell is very small	nongold
66	organisms mean life	nongold
67	product means result	nongold
68	emit means produce	nongold
69	converting is similar to producing	nongold
70	biotic means living	nongold
71	a plant is a kind of living thing	nongold
72	producing is similar to causing	nongold
73	to be formed by is similar to being produced by	nongold
74	a father is a kind of male parent	nongold
75	all cells perform cellular respiration	nongold
76	an increase is a kind of change	nongold
77	a kind of something is an example of that something	nongold
78	all living things are made of cells according to the cell theory	nongold
79	can be means able to be	nongold
80	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
81	if something gains something from something else then that something else is a source of that something	nongold
82	where something  comes from is a source of that something	nongold
83	a food contains nutrients for living things	nongold
84	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	composed of means made of	nongold
87	if something is insoluble in something , then they will remain separated	nongold
88	if a cell can not specialize then that cell must perform all life functions	nongold
89	a protozoan is a kind of animal	nongold
90	a decomposer is a kind of living thing	nongold
91	apart is the opposite of together	nongold
92	the cell cycle is when a cell forms new cells	nongold
93	a plant is a kind of organism	nongold
94	to convert means to change	nongold
95	to be a source of something means to cause that something	nongold
96	a component means a part of	nongold
97	a producer is a kind of living thing	nongold
98	a mammal is a kind of animal	nongold
99	to match means to be the same	nongold
