Question	Which two processes in the water cycle are primarily responsible for the creation of a lake?	question
Answer	precipitation and runoff	answer
0	lakes are formed by precipitation and runoff	gold
1	precipitation is a stage in the water cycle process	gold
2	runoff is a stage in the water cycle process	gold
3	a cycle is a kind of process	nongold
4	In the water cycle , runoff can follow precipitation	nongold
5	to cause means to be responsible for	nongold
6	a lake is a kind of body of water	nongold
7	to have a function is similar to to be responsible for	nongold
8	An example of a physical cycle is the water cycle	nongold
9	a cycle happens; occurs repeatedly	nongold
10	runoff is a kind of water	nongold
11	In the water cycle , precipitation always follows transportation	nongold
12	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
13	the water cycle occurs on Earth	nongold
14	creating means making	nongold
15	evaporation is a stage in the water cycle process	nongold
16	In the water cycle , infiltration can follow runoff	nongold
17	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
18	In the water cycle , collection in bodies of water can follow runoff	nongold
19	if something causes a process then that something is required for that process	nongold
20	to form means to create	gold
21	In the water cycle , precipitation can follow condensation	nongold
22	rainfall means precipitation	nongold
23	a part of a process means a stage in a process	nongold
24	to create means to make	nongold
25	rain is a kind of precipitation	nongold
26	a process is a kind of event	nongold
27	to produce means to create	nongold
28	to be involved in something means to have a role in something	nongold
29	a process usually requires all of the stages in that process	nongold
30	to increase is similar to to create	nongold
31	the glaciers has the role of storing fresh water in the water cycle	nongold
32	erosion is a kind of process	nongold
33	a step in a process means a stage in a process	nongold
34	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
35	products are formed; are produced; are created	nongold
36	a river is a kind of flowing body of water	nongold
37	precipitation is a kind of  natural process	nongold
38	change is a kind of process	nongold
39	flowing is a kind of action	nongold
40	infiltration is a stage in the water cycle process	nongold
41	the formation of something is a kind of process	nongold
42	rain is a kind of water	nongold
43	precipitation is when water falls from the sky	nongold
44	creating is similar to causing	nongold
45	evaporation is when water is drawn back up into the air in the water cycle	nongold
46	rainfall means the amount of precipitation	nongold
47	In the water cycle , evaporation always follows collection in bodies of water	nongold
48	a stream is a kind of body of water	nongold
49	creating is a kind of activity	nongold
50	damming a river can cause a lake to form	nongold
51	an event is a kind of action	nongold
52	runoff is when cropland water enters; runs off into bodies of water	nongold
53	the function of something is what that something  is used to do	nongold
54	transpiration is a kind of process of the water cycle	nongold
55	a body of water contains water	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	to cause an event is similar to being involved in that event	nongold
58	to cause means to make	nongold
59	In the water cycle , collection in groundwater always follows infiltration	nongold
60	a body of water is a kind of environment	nongold
61	a pond is a kind of body of water	nongold
62	freshwater is a kind of water	nongold
63	to be used for something means to be required by that something	nongold
64	to make means to form	nongold
65	to be a vehicle for is a kind of function	nongold
66	if something is a raw material in a process then that something is required for that process	nongold
67	to be formed by is to be the result of	nongold
68	to generate means to create	nongold
69	a body of water is a source of water	nongold
70	producing is a kind of process	nongold
71	weathering is a kind of process	nongold
72	rain is a source of water	nongold
73	water is a part of an environment	nongold
74	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
75	rain causes erosion	nongold
76	rainwater is a kind of water	nongold
77	if an event is required for a process then that event must occur before that process can occur	nongold
78	precipitation is a kind of weather	nongold
79	In the water cycle , plant uptake can follow collection in groundwater	nongold
80	a component means a part of	nongold
81	something is used for that something's purpose	nongold
82	if something performs a task then that task is that something's function	nongold
83	Earth's revolution is a kind of cycle	nongold
84	water absorbs solar energy in the water cycle	nongold
85	an increase is a kind of change	nongold
86	a pond is smaller; shallower than a lake	nongold
87	making something requires resources	nongold
88	to lower means to decrease	nongold
89	flowing is a kind of motion	nongold
90	requiring something means needing that something	nongold
91	producer is a kind of role in the food chain process; in an ecosystem	nongold
92	a pond is a kind of environment	nongold
93	if something is required for a process then that something positively impacts that process	nongold
94	forming something is a kind of change	nongold
95	part means role	nongold
96	cooling is a kind of process	nongold
97	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
98	to contribute is similar to produce	nongold
99	water is a kind of natural resource	nongold
