Question	Which effect do rapidly cooling temperatures have on the water cycle?	question
Answer	Water vapor condenses into droplets.	answer
0	a droplet is a small amount of liquid	gold
1	drop means decrease	nongold
2	temperature drop means cooling	nongold
3	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
4	rapidly means quickly	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
6	temperature drop means temperature decrease	nongold
7	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
8	a drop is a kind of liquid small amount	nongold
9	cooling means temperature decreases	nongold
10	evaporation is when water is drawn back up into the air in the water cycle	nongold
11	In the water cycle , condensation always follows evaporation	nongold
12	condensing is when gasses are  cooled below their boiling point	nongold
13	vapor is synonymous with gas	nongold
14	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
15	water is a kind of liquid at room temperature	nongold
16	a drop is a small amount of liquid	nongold
17	a droplet is a kind of little drop	nongold
18	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
19	temperature is a measure of heat energy	gold
20	In the water cycle , precipitation can follow condensation	nongold
21	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
22	heat means temperature increases	nongold
23	quickly means in a short period of time	nongold
24	adding heat means increasing temperature	nongold
25	heating means adding heat	nongold
26	water is a kind of substance	nongold
27	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
28	condensation is a stage in the water cycle process	gold
29	to change means to have an effect	nongold
30	a liquid is a kind of substance	nongold
31	In the water cycle , evaporation always follows collection in bodies of water	nongold
32	evaporation is a stage in the water cycle process	nongold
33	fast means quickly	nongold
34	to cause means to have an effect	nongold
35	water vapor;steam cooling causes that water vapor;steam to condense	nongold
36	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
37	heat means heat energy	nongold
38	condensing causes a liquid to form	nongold
39	to add means to increase	nongold
40	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
41	moisture means liquid; liquid water	nongold
42	an increase is a kind of change	nongold
43	to reduce means to decrease	gold
44	condensing is a kind of  phase change	nongold
45	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
46	the water cycle occurs on Earth	nongold
47	gas is a kind of substance	nongold
48	water is a kind of matter	nongold
49	impact means effect	nongold
50	evaporating is a kind of phase change	nongold
51	water absorbs solar energy in the water cycle	nongold
52	to slow; to slow down decreases speed	nongold
53	high is similar to increase	nongold
54	liquid is a kind of state of matter	nongold
55	a decrease is a kind of change	nongold
56	beads of water are formed by water vapor condensing	nongold
57	heating is the opposite of cooling	nongold
58	An example of a physical cycle is the water cycle	nongold
59	an increase is the opposite of a decrease	nongold
60	boiling is a kind of phase change	nongold
61	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
62	to lower means to decrease	gold
63	liquid water cooling causes that liquid water to freeze	nongold
64	precipitation is a stage in the water cycle process	nongold
65	In the water cycle , condensation always follows transpiration	nongold
66	water is a kind of water phase	nongold
67	heat energy is synonymous with thermal energy	nongold
68	gas is a kind of state of matter	nongold
69	a cycle happens; occurs repeatedly	nongold
70	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
71	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
72	a cycle is a kind of process	nongold
73	evaporation causes amount of water to decrease	nongold
74	temperature changing can cause phase changes	nongold
75	melting is a kind of phase change	nongold
76	cooling is a kind of process	nongold
77	to give off means to be the source of	nongold
78	a liquid is a kind of fluid	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	condensing means liquid water coming together in the air	nongold
81	boiling means the volume of a liquid decreases	nongold
82	to change means to cause a change	nongold
83	heat energy can change the state of matter	nongold
84	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
85	affected means changed	nongold
86	dew is formed when water vapor condenses; cools over night	nongold
87	low is similar to decrease	nongold
88	gaseous means of gas	nongold
89	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
90	cycles of freezing and thawing water cause ice wedging	nongold
91	if heat is added to a substance then that substance absorbs that heat	nongold
92	boiling is when liquids are heated above their boiling point	nongold
93	change is a kind of impact	nongold
94	to emit means to release	nongold
95	condensation is a kind of process	nongold
96	reducing is a kind of change	nongold
97	liquid; solid means nongaseous	nongold
98	temperature is a property of weather	nongold
99	freezing is a kind of phase change	nongold
