Question	When a frying pan is placed on an electric stove top, heat energy is transferred from the burner to the pan by	question
Answer	conduction.	answer
0	a pan;frying pan is a kind of container for cooking; food	nongold
1	pot;pan;frying pan is made of metal for cooking	gold
2	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
3	a pan is a kind of object	nongold
4	being  on something; placed in something; placed over something means touching  that something	nongold
5	when a cooler object touches a warmer object , thermal conduction occurs	nongold
6	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
7	an electric stove changes electrical energy into heat energy	nongold
8	frying food is a kind of cooking	nongold
9	thermal conduction is when heat flows from warmer object to cooler object	nongold
10	a thermal conductor is made of materials that conduct thermal energy	nongold
11	to conduct is similar to to transfer	gold
12	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
13	a burner is a part of a  stove	gold
14	metal is a thermal; thermal energy conductor	gold
15	conductivity is a property of a material; substance	nongold
16	a stove is used for cooking by generating heat	nongold
17	heat means the transfer of thermal energy	nongold
18	a burner is a kind of object; surface	nongold
19	water is an thermal; thermal energy conductor	nongold
20	a stove generates heat for cooking usually	nongold
21	a burner is made of metal	gold
22	conductivity is a measure of how easily electricity travels through a material	nongold
23	convert is similar to transfer	nongold
24	an insulator is the opposite of a conductor	nongold
25	metal is an  electrical; electrical energy conductor	nongold
26	an oven is a source of heat	nongold
27	thermal conduction is when materials conduct heat through those materials through collision of particles	gold
28	an oven is a kind of electrical device	nongold
29	conduction is a kind of process	nongold
30	if an object is made of a material then that object has the properties of that material	nongold
31	heating elements are usually a part of an oven	nongold
32	electricity means electrical energy	nongold
33	heat energy is synonymous with thermal energy	nongold
34	if one surface; one substance; one object touches something then one is exposed to that something	nongold
35	gas is a kind of material	nongold
36	heating means adding heat	nongold
37	a container contains objects; material; substances	nongold
38	if a container contains something then that container touches that something	nongold
39	a stove is a kind of machine	nongold
40	a container is a kind of object	nongold
41	heat means heat energy	gold
42	metal is a kind of material	gold
43	thermal energy is a kind of energy	nongold
44	fire transfers heat through waves	nongold
45	electrical energy is a kind of energy	nongold
46	fire causes burning	nongold
47	a hot; warm something is a source of heat	nongold
48	temperature is a measure of heat energy	nongold
49	heat is a kind of energy	nongold
50	if something transfers something else then that something is a source of something else	nongold
51	a hot plate is a source of heat	nongold
52	transfer is a kind of change	nongold
53	cooking food requires adding heat energy to the food	nongold
54	transfer is a kind of process	nongold
55	a flame are a part of a fire	nongold
56	if heat is conducted to an object then that object will become hot	nongold
57	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
58	gas is a kind of object	nongold
59	if too much heat is transferred to an object then that object may burn	nongold
60	material means substance	nongold
61	transferring is moving from one place to another place	nongold
62	a source of something emits; produces; generates; provides that something	nongold
63	the heat energy in the cooler object increases in thermal conduction	nongold
64	cooking oil is a kind of oil	nongold
65	if heat is transferred to an object , then the object will get hot	nongold
66	household appliances are a kind of electrical device	nongold
67	cooking is a kind of process	nongold
68	cookware is used for cooking	nongold
69	if food is cooked then heat energy is added to that food	nongold
70	electricity sometimes is used for heating buildings; substances	nongold
71	gas is a kind of substance	nongold
72	absorbing energy causes objects; materials; substances to heat	nongold
73	an insulator is a kind of material	nongold
74	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
75	a surface is a part of a material	nongold
76	to give off means to be the source of	nongold
77	a hot substance is a source of heat	nongold
78	a thermal insulator slows; prevents the transfer of heat	nongold
79	if something hot is exposed to the air , then the heat will transfer to the air	nongold
80	electricity is used as an energy source by electrical devices	nongold
81	transferring is similar to adding	nongold
82	to add means to increase	nongold
83	if an object is hot then the surfaces of that object are hot	nongold
84	cooking causes a chemical reaction	nongold
85	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
86	wood is an thermal; thermal energy insulator	nongold
87	if something is places over a heat source then that something is exposed to that heat source	nongold
88	wood is a thermal; thermal energy insulator	nongold
89	electric devices require electrical energy to function	nongold
90	an object; material; substance comes from that object or material's source	nongold
91	a liquid is a kind of substance	nongold
92	to transfer means to bring; to get something to	nongold
93	to convert means to change	nongold
94	combustion means fire converts chemical energy into light energy and heat energy	nongold
95	heat energy  can be used to heat up  an object	nongold
96	to pass means to transfer	nongold
97	to be used for something means to be required by that something	nongold
98	a source of heat can be used to heat something	nongold
99	a source of heat can be used to heat something	nongold
