Question	The surface of a heated metal object measures 120°C. It is dropped into a bucket filled with water measuring 10°C. Which of the following is most likely to occur?	question
Answer	The water and metal will adjust to the same temperature between 10°C and 120°C.	answer
0	a bucket is a kind of  container	gold
1	a drop is a kind of liquid small amount	nongold
2	drop means decrease	nongold
3	dropping an object into water causes vibrations in the water	nongold
4	a drop is a small amount of liquid	nongold
5	to drop means to fall	nongold
6	if something is dropped into a container of something else then that something is touching that something else	gold
7	temperature is a measure of heat energy	nongold
8	dropping something causes that something to fall	nongold
9	water is a kind of liquid at room temperature	nongold
10	temperature drop means temperature decrease	nongold
11	heating means adding heat	nongold
12	a surface is a part of a material	nongold
13	a container is a kind of object	nongold
14	to happen means to occur	nongold
15	a container contains objects; material; substances	nongold
16	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	gold
17	to be lowered into a substance means to be placed into that substance	nongold
18	to be filled with means to contain	nongold
19	water is a kind of substance	nongold
20	heat means temperature increases	nongold
21	a surface is a kind of object	nongold
22	a surface is a part of an object	nongold
23	metal is a thermal; thermal energy conductor	nongold
24	a liquid is a kind of substance	nongold
25	metal is a kind of substance	nongold
26	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
27	metal is a kind of material	nongold
28	adjusting body temperature means stabilizing body temperature	nongold
29	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
30	water is a kind of object	nongold
31	temperature drop means cooling	nongold
32	heat means heat energy	nongold
33	adding heat means increasing temperature	nongold
34	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
35	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
36	an increase is a kind of change	nongold
37	if one surface; one substance; one object touches something then one is exposed to that something	nongold
38	falling means moving downward	nongold
39	an increase is the opposite of a decrease	nongold
40	to add means to increase	nongold
41	heat energy is synonymous with thermal energy	nongold
42	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
43	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
44	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
45	being  on something; placed in something; placed over something means touching  that something	nongold
46	stay the same means not changing	nongold
47	events occur at a specific place; at a specific time; with a specific frequency	nongold
48	to change means to become different	nongold
49	water is an thermal; thermal energy conductor	nongold
50	high is similar to increase	nongold
51	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
52	to reduce means to decrease	nongold
53	a decrease is a kind of change	nongold
54	if an object is made of a material then that object has the properties of that material	nongold
55	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
56	a liquid is a kind of fluid	nongold
57	material means substance	nongold
58	a motion is a kind of event; action	nongold
59	to lower means to decrease	nongold
60	same means identical; equal in value; amount; number; quantity	nongold
61	something that happens is a kind of event	nongold
62	motion; movement means moving; to move	nongold
63	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
64	heating is the opposite of cooling	nongold
65	to slow; to slow down decreases speed	nongold
66	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
67	moisture means liquid; liquid water	nongold
68	counter means reduce; stop; resist	nongold
69	affected means changed	nongold
70	lowering is a kind of motion	nongold
71	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	variable means able to change	nongold
74	hot means high in heat energy; temperature	nongold
75	contents means the substance in a container	nongold
76	a change is a kind of event	nongold
77	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
78	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
79	to remain means to stay the same	nongold
80	objects are made of materials; substances; matter	nongold
81	different is the opposite of the same	nongold
82	if something changes , then that something is not the same	nongold
83	friction occurs when two object's surfaces move against each other	nongold
84	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
85	a process is a kind of event	nongold
86	if a container contains something then that container touches that something	nongold
87	if two objects of different temperature are touching , then the final temperature will be between the temperature of those two objects	nongold
88	a metal is usually a solid at room temperature	nongold
89	liquid is a kind of state of matter	nongold
90	low means down	nongold
91	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
92	to pass means to occur	nongold
93	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
94	to limit means to decrease	nongold
95	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
96	boiling is when liquids are heated above their boiling point	nongold
97	water is a kind of matter	nongold
98	friction causes the temperature of an object to increase	nongold
99	low is similar to decrease	nongold
