Question	Rhea is a moon of Saturn. Which of these facts about Rhea best indicates that it does not have a water cycle in which water changes state?	question
Answer	Its temperature is between -174°C and -220°C.	answer
0	Saturn is a kind of planet	nongold
1	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
2	temperature is a measure of heat energy	nongold
3	water is a kind of liquid at room temperature	nongold
4	Saturn is the planet that is sixth closest to the Sun	nongold
5	An example of a physical cycle is the water cycle	nongold
6	a moon is a kind of celestial object; body	nongold
7	the water cycle occurs on Earth	nongold
8	heat means temperature increases	nongold
9	a cycle happens; occurs repeatedly	nongold
10	a phase of the moon is a kind of state	nongold
11	variable means able to change	nongold
12	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
13	to lower means to decrease	nongold
14	heat means heat energy	nongold
15	high is similar to increase	nongold
16	an increase is a kind of change	nongold
17	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
18	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
19	cycles of day and night occur once per day	nongold
20	water is a kind of substance	nongold
21	a decrease is a kind of change	nongold
22	best means most positive	nongold
23	colder; cooler means lower in temperature	nongold
24	the boiling point of water is 212F; 100C; 373K	nongold
25	In the water cycle , condensation always follows evaporation	nongold
26	an increase is the opposite of a decrease	nongold
27	the Moon is Earth's moon	nongold
28	not is similar to the opposite of	nongold
29	low is similar to decrease	nongold
30	increase means more	nongold
31	water is a kind of water phase	nongold
32	state means form	nongold
33	a planet is a kind of celestial object; body	nongold
34	a liquid is a kind of substance	nongold
35	to add means to increase	nongold
36	an animal is a kind of living thing	nongold
37	Saturn's rings are made of ice and rock	nongold
38	warmer means greater; higher in temperature; warmth	nongold
39	the Moon has less water; air than Earth	nongold
40	evaporation is when water is drawn back up into the air in the water cycle	nongold
41	liquid is a kind of state of matter	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	a full moon is a kind of phase of the moon	nongold
44	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
45	cold means low in temperature	nongold
46	water exists in three states on Earth	nongold
47	a cycle is a kind of process	nongold
48	evaporation is a stage in the water cycle process	nongold
49	affected means changed	nongold
50	to reduce means to decrease	nongold
51	extreme means very high in value	nongold
52	rarely means not	nongold
53	worldwide temperature means atmospheric temperature	nongold
54	type of moon; kind of moon means moon phase	nongold
55	adding heat means increasing temperature	nongold
56	boiling is when liquids are heated above their boiling point	nongold
57	no longer means used to be	nongold
58	changed is the opposite of unchanged	nongold
59	less is similar to decrease	nongold
60	warm means medium heat energy; temperature	nongold
61	condensation is a stage in the water cycle process	nongold
62	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
63	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
64	a living thing is a kind of object	nongold
65	temperature  rise means temperature increase	nongold
66	can be means able to be	nongold
67	physical state means state of matter	nongold
68	if two objects of different temperature are touching , then the final temperature will be between the temperature of those two objects	nongold
69	cooling means temperature decreases	nongold
70	a human is a kind of animal	nongold
71	both means two	nongold
72	cooler means colder	nongold
73	precipitation is a stage in the water cycle process	nongold
74	unchanged means not changed	nongold
75	water is a kind of matter	nongold
76	a body of water contains water	nongold
77	the moon does not contain air; water	nongold
78	solid is a kind of state of matter	nongold
79	air temperature is a kind of temperature	nongold
80	to be made of something means to be formed of that something	nongold
81	state of matter means physical state	nongold
82	degrees celsius ( C ) is a metric unit used for measuring temperature generally used for values between -273.0 and 50000000.0	nongold
83	to vary means to change	nongold
84	moisture means liquid; liquid water	nongold
85	water is a kind of object	nongold
86	the average temperature in South Pole is between -52.2 to -45.8 C	nongold
87	Earth is a kind of planet	nongold
88	the moon rising occurs once per day	nongold
89	heating means adding heat	nongold
90	composed of means made of	nongold
91	warm up means increase temperature	nongold
92	to lack means to not have	nongold
93	the day time is part of one day	nongold
94	a state is a kind of place	nongold
95	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
96	an event is a kind of action	nongold
97	an animal is a kind of organism	nongold
98	a moon phase is a kind of natural event	nongold
99	the solar system contains the moon	nongold
