Question	After a rainstorm, a big pile of rocks blocks part of a mountain road. Which event most likely caused the rocks to move onto the road?	question
Answer	a landslide	answer
0	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	gold
1	erosion; storms can cause a landslide	nongold
2	landslides often occur on mountains	gold
3	rainstorm means rain storm	gold
4	piles of rock are a kind of landform	nongold
5	a mountain is made of rocks; soil	nongold
6	pile is a kind of motion	nongold
7	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
8	a landslide is a kind of natural event	gold
9	soil erosion is a kind of event	nongold
10	a road is a kind of object	nongold
11	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
12	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
13	wind and rain; storms cause erosion	nongold
14	a mountain is a kind of landform	nongold
15	a block is a kind of object	nongold
16	road is similar to ground	nongold
17	rock means stone	nongold
18	a motion is a kind of event; action	nongold
19	an event is a kind of action	nongold
20	an earthquake is a kind of natural; geological event	nongold
21	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
22	weathering; erosion usually occurs over a period of many years	nongold
23	weathering is a kind of erosion	nongold
24	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
25	a rock is a kind of object	nongold
26	to break down means to break into smaller pieces	nongold
27	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
28	erosion is a kind of destructive force	nongold
29	motion; movement means moving; to move	nongold
30	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
31	a boulder is a kind of rock	nongold
32	travel means to move	nongold
33	the surface of the Earth contains mountains	nongold
34	something that happens is a kind of event	nongold
35	soil erosion means soil loss through wind;water; animals	nongold
36	rain causes erosion	nongold
37	a road is a kind of location	nongold
38	to happen means to occur	nongold
39	Earth is made of rock	nongold
40	storm is a kind of weather; weather event	nongold
41	erosion is a kind of change	nongold
42	a change is a kind of event	nongold
43	an earthquake causes the ground to shake	nongold
44	weathering occurs at the surface of the Earth	nongold
45	a process is a kind of event	nongold
46	a rock is usually a solid	nongold
47	rain; snow falls	nongold
48	distance moved; distance travelled is a measure of how far an object moves	nongold
49	pushing something can cause that something  to move	nongold
50	a mountain; hill is taller than the land around it	nongold
51	the ground is part of the Earth	nongold
52	rain is a kind of precipitation	nongold
53	an object is made of its parts	nongold
54	a boulder is a kind of large rock	nongold
55	to cause an event is similar to being involved in that event	nongold
56	to cause means to result in	nongold
57	breaking apart rocks can cause debris	nongold
58	to change means to cause a change	nongold
59	a mountain is a kind of land feature	nongold
60	to be a source of something means to cause that something	nongold
61	an increase is a kind of change	nongold
62	to cause an event means to make that event more likely	nongold
63	earthquake  is a kind of vibration  of the ground	nongold
64	to lower means to decrease	nongold
65	due to means caused by	nongold
66	erosion usually causes harm to the environment	nongold
67	an earthquake changes Earth's surface quickly	nongold
68	a car moves on a road	nongold
69	a whole is formed by its parts	nongold
70	a mountain top is a part of a mountain	nongold
71	erosion is a kind of process	nongold
72	a component means a part of	nongold
73	falling means moving downward	nongold
74	pulling is a kind of motion	nongold
75	rain is a kind of water	nongold
76	to drop means to fall	nongold
77	break down means change from a whole into pieces	nongold
78	change is a kind of impact	nongold
79	tectonic plates being pushed together causes earthquakes	nongold
80	a pebble is a kind of small rock	nongold
81	the ground means Earth's surface	nongold
82	to cause means to make	nongold
83	soil erosion is a kind of slow; natural process	nongold
84	soil is formed by rocks eroding	nongold
85	events occur at a specific place; at a specific time; with a specific frequency	nongold
86	sliding is a kind of motion	nongold
87	to reduce means to decrease	nongold
88	high is similar to increase	nongold
89	wind carries; transports sand; dirt from one place to another place	nongold
90	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
91	death means to die	nongold
92	mountain is a kind of geographic obstacles	nongold
93	breaking down is a kind of forming	nongold
94	separate is similar to break down	nongold
95	Earth's surface is made of rock	nongold
96	impact means effect	nongold
97	to wash away is a kind of movement by moving water	nongold
98	flowing is a kind of motion	nongold
99	damage has a negative impact on a thing	nongold
