Question	Which outcome is most likely if a person consumes more Calories than needed for daily activities?	question
Answer	weight gain	answer
0	if an animal consumes more calories than needed for daily activities then that animal will gain weight	gold
1	a person is a kind of animal	nongold
2	everyday means daily	nongold
3	person is synonymous with human	gold
4	result means outcome	nongold
5	daily means every day; once per day	nongold
6	a human is a kind of animal	gold
7	action means activity	nongold
8	to depend on; to rely on; to need means to require	nongold
9	gaining is similar to increasing	nongold
10	an animal is a kind of organism	nongold
11	to cause means to result in	nongold
12	often is similar to likely	nongold
13	increase means more	nongold
14	requiring something means needing that something	nongold
15	to eat means to consume food	nongold
16	as the amount of food an animal eats increases , the weight of that animal will increase	nongold
17	human is a kind of organism	nongold
18	less is similar to decrease	nongold
19	calories ( cal ) are a  metric unit used for measuring the amount of energy in food generally used for values between 1.0 and 10000.0	nongold
20	an animal is a kind of living thing	nongold
21	consumption means use	nongold
22	less means a reduced amount	nongold
23	an increase is the opposite of a decrease	nongold
24	an event is a kind of action	nongold
25	high is similar to increase	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	product means result	nongold
28	light means low  in weight	nongold
29	a weight is a kind of object	nongold
30	less is the opposite of more	nongold
31	weight is a property of objects; matter	nongold
32	eating something decreases the amount of that something	nongold
33	deplete is similar to decrease	nongold
34	to add means to increase	nongold
35	to produce means to result in	nongold
36	to cause an event means to make that event more likely	nongold
37	if something gains something from something else then that something else is a source of that something	nongold
38	to be used for something means to be required by that something	nongold
39	low is similar to decrease	nongold
40	to reduce means to decrease	nongold
41	adding is a kind of activity	nongold
42	exercise is a kind of physical activity	nongold
43	if something is required for a process then that something positively impacts that process	nongold
44	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
45	to lose means to have less of	nongold
46	if an event is required for a process then that event must occur before that process can occur	nongold
47	a source of something increases the amount of that something	nongold
48	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
49	a negative impact is a kind of consequence; risk	nongold
50	to lower means to decrease	nongold
51	exercise means physical fitness	nongold
52	an animal is a kind of consumer	nongold
53	answering questions requires information	nongold
54	if something causes a process then that something is required for that process	nongold
55	to impact means to affect	nongold
56	lighter means lower; less in weight	nongold
57	an increase is a kind of change	nongold
58	a decrease is a kind of change	nongold
59	a consumer is a kind of organism	nongold
60	if there is a loss of something then that something decreases	nongold
61	quantity means amount	nongold
62	reproducing is a kind of activity	nongold
63	a function is an activity	nongold
64	diet means what an animal eats	nongold
65	loss means reduction	nongold
66	to act on means to affect	nongold
67	impact means effect	nongold
68	too much is similar to increase	nongold
69	body weight is a generally acquired characteristic	nongold
70	if an event occurs by adding something then that event requires that something	nongold
71	nutrients are a kind of substance	nongold
72	an animal needs to eat food for nutrients	nongold
73	heavy means a large amount of weight	nongold
74	human is similar to individual	nongold
75	greatest means largest; highest; most amount of something	nongold
76	needing something means depending on that something	nongold
77	a process is a kind of event	nongold
78	to be required means to be necessary	nongold
79	negative impact is the opposite of positive impact	nongold
80	something that happens is a kind of event	nongold
81	food is what an animal eats	nongold
82	most means over 50% of something	nongold
83	variable means able to change	nongold
84	fewer means lower; less in number	nongold
85	an organism is a living thing	nongold
86	if something causes an increase in something else then that something produces that something else	nongold
87	an organism eating is a kind of action	nongold
88	having an impact on something means altering that something	nongold
89	to be affected by something is similar to depending on something	nongold
90	to change means to have an effect	nongold
91	if something emits something else then that something increases the amount of that something else	nongold
92	to be formed by is to be the result of	nongold
93	to cause an event is similar to being involved in that event	nongold
94	low is the opposite of high	nongold
95	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
96	a motion is a kind of event; action	nongold
97	to cause means to have an effect	nongold
98	greater means higher; more in value	nongold
99	affected means changed	nongold
