Question	The smallest particle of an element is	question
Answer	an atom.	answer
0	an atom is the smallest particle; unit that has the properties of an element	gold
1	a molecule is the smallest particle; unit that has the properties of a compound	nongold
2	matter; materials; substances are made of atoms; particles	nongold
3	atoms are made of particles	nongold
4	a molecule is a kind of particle	nongold
5	a particle is a kind of object	nongold
6	an  element is a kind of atom	nongold
7	an element is made of one kind of atoms	nongold
8	an atom is made of protons; neutrons; electrons	nongold
9	an atom is a kind of object	nongold
10	an atom is exceptionally small in size	nongold
11	a molecule is made of atoms chemically combined; bonded	nongold
12	particles in objects are a kind of matter	nongold
13	larger; bigger is the opposite of smaller	nongold
14	an element is a kind of  substance	nongold
15	atom cannot be divided into smaller substances	nongold
16	small is the opposite of large	nongold
17	the basic unit of matter is atom	nongold
18	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
19	a molecule is a kind of object	nongold
20	an element is a kind of material	nongold
21	a molecule is exceptionally small in size	nongold
22	smaller means less; lower in size	nongold
23	an electron is a kind of charged particle	nongold
24	if a substance is made of one element , then the substance is called an element	nongold
25	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
26	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
27	larger means greater; higher; more; increase in size	nongold
28	an part of an object is smaller than the entire object	nongold
29	matter is made of molecules	nongold
30	a pure substance is made of only one kind of atom; molecule	nongold
31	shortest means least; smallest in length	nongold
32	hydrogen is a kind of element	nongold
33	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
34	objects are made of materials; substances; matter	nongold
35	atomic number is a property of elements	nongold
36	electrons surround; orbit the nucleus of an atom	nongold
37	all elements are a kind of pure substance	nongold
38	largest means greatest in size	nongold
39	decreasing is similar to becoming smaller	nongold
40	answering questions requires information	nongold
41	protons are a kind of subatomic particle	nongold
42	substances are made of elements	nongold
43	neutrons are a kind of subatomic particle	nongold
44	made up of means contains; made of	nongold
45	the nucleus of an atom is usually made of both protons and neutrons	nongold
46	can be means able to be	nongold
47	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
48	interatomic means existing or acting between atoms	nongold
49	carbon is a kind of element	nongold
50	a proton is a part of an atom; an element	nongold
51	high is similar to increase	nongold
52	substances are made of molecules	nongold
53	a nonmetal is a kind of element	nongold
54	atoms in a gas move independently of one another	nongold
55	a living thing is a kind of object	nongold
56	greatest means largest; highest; most amount of something	nongold
57	an organism is a living thing	nongold
58	a photon is a kind of  particles	nongold
59	the structure  of an atom can be used for identifying the element	nongold
60	to add means to increase	nongold
61	substances are made of matter	nongold
62	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
63	a  gas is a kind of  element	nongold
64	electron configuration is a property of elements	nongold
65	if something is made of something; a material then that something contains that something; that material	nongold
66	to be made of something means to be formed of that something	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	the outer electron shell is a part of the electron configuration	nongold
69	made of is similar to contains	nongold
70	an element is identified by its number of protons	nongold
71	composed of means made of	nongold
72	affected means changed	nongold
73	less is the opposite of more	nongold
74	chemical reactions do not cause the total number of atoms to change	nongold
75	an ion with negative charge is formed by atom  gaining electrons	nongold
76	lowest means least in value; amount; number	nongold
77	one is a kind of number	nongold
78	electrons are found farthest from the center of the atom	nongold
79	proton is a kind of subatomic particles	nongold
80	protons are found in the nucleus of an atom	nongold
81	largest amount means most	nongold
82	when things erode , those things may become smaller	nongold
83	an ion with positive charge is formed by atom  losing electrons	nongold
84	to give is similar to to cause	nongold
85	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
86	a halogen is a kind of element	nongold
87	hydrogen is a kind of gas at room temperature	nongold
88	atoms in a gas collide frequently	nongold
89	classifying is when one sorts something by kind; type	nongold
90	an animal is a kind of living thing	nongold
91	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
92	both means two	nongold
93	most of the mass of an atom is located in the nucleus	nongold
94	chemical compounds contain chemical bonds between atoms; between elements	nongold
95	classifying means grouping objects; materials by their properties	nongold
96	definite is the opposite of variable	nongold
97	catenation is a property of atoms	nongold
98	how many means what number	nongold
99	increasing is a kind of order	nongold
