Question	Students are studying some leaves. They group the leaves by shape. Which science process are the students using when they put the leaves in different groups?	question
Answer	classifying	answer
0	grouping means putting; placing in different groups	gold
1	classifying means grouping objects; materials by their properties	gold
2	classifying is when one sorts something by kind; type	nongold
3	classifying is a kind of science process	gold
4	to categorize means to classify	nongold
5	classifying requires comparing	nongold
6	to tell the difference between things means to classify those things	nongold
7	classify is similar to characterize	nongold
8	to belong to a group means to be classified in that group	nongold
9	to classify means to decide what class something belongs to	nongold
10	a leaf is a kind of object	gold
11	shape is a property of an object	gold
12	to belong to a class means to be a kind of something	nongold
13	to group means to separate	nongold
14	a kind of something is classified as that something	nongold
15	to belong to a group means to be a kind of something	nongold
16	shape of the parts of something is a property of that something	nongold
17	a leaf is a kind of plant	nongold
18	a student is a kind of human	nongold
19	a leaf is a part of a  green plant	nongold
20	shape is a kind of physical property	nongold
21	classification is a kind of process	nongold
22	classifying is a kind of skill	nongold
23	sorting is similar to classifying	nongold
24	a plant is a kind of living thing	nongold
25	a living thing is a kind of object	nongold
26	structure is similar to shape	nongold
27	trees of different species have differently shaped leaves	nongold
28	to change means to become different	nongold
29	a human is a kind of animal	nongold
30	shape is a property of the appearance of an object	nongold
31	shape is a kind of characteristic	nongold
32	together means in a group	nongold
33	studying  something usually requires seeing that something	nongold
34	a leaf is a part of a tree	nongold
35	different is the opposite of the same	nongold
36	an animal is a kind of living thing	nongold
37	leaves changing color is a kind of process	nongold
38	a plant is a kind of organism	nongold
39	category means kind	nongold
40	process is similar to method	nongold
41	opposite is a kind of different	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	if two organisms are more closely related , then the two  organisms will be classifed in a class	nongold
44	an organism is a living thing	nongold
45	definite shape means the shape of an object stays the same when moved to different spot	nongold
46	if something is definite in shape then that something will not change shape easily	nongold
47	a structure of something is synonymous with a part of that something	nongold
48	identical is the opposite of different	nongold
49	living things in the same class are  more closely related than living things in different classes	nongold
50	a tree is a kind of plant	nongold
51	the properties of something can be used to identify; used to describe that something	nongold
52	an object is made of its parts	nongold
53	a circle is a kind of shape	nongold
54	to be characterized by  a property means to have that property	nongold
55	a tree is a kind of living thing	nongold
56	a part of a process means a stage in a process	nongold
57	the properties of something are used for describing that something	nongold
58	a leaf is small in size	nongold
59	an animal is a kind of organism	nongold
60	a fern is a kind of plant	nongold
61	a type is synonymous with a kind	nongold
62	a process is a kind of event	nongold
63	if an object is made of something then the parts of that object are made of that something	nongold
64	form means kind	nongold
65	a leaf is often green in color	nongold
66	a flower is a kind of object	nongold
67	unique  is the opposite of diverse	nongold
68	species means a group of like organisms	nongold
69	plant parts are made of plants	nongold
70	system means a set of objects	nongold
71	a kind of something is an example of that something	nongold
72	to be made of something means to be formed of that something	nongold
73	an insect is a kind of animal	nongold
74	circular means having the shape of a circle	nongold
75	to distinguish means to tell the difference between	nongold
76	straight is a kind of shape	nongold
77	the shape  of an object can be discovered through feeling that object; touching that object	nongold
78	an part of an object is smaller than the entire object	nongold
79	a leaf performs photosynthesis; gas exchange	nongold
80	a person is a kind of animal	nongold
81	stay the same means not changing	nongold
82	change is a kind of process	nongold
83	another means different	nongold
84	characteristic means property	nongold
85	person is synonymous with human	nongold
86	objects are made of materials; substances; matter	nongold
87	studying is similar to observing	nongold
88	composition is a property of an object; matter	nongold
89	human is similar to individual	nongold
90	leaves are sometimes brown in color	nongold
91	trait is synonymous with characteristic	nongold
92	each is similar to individual	nongold
93	not is similar to the opposite of	nongold
94	can be means able to be	nongold
95	an event is a kind of action	nongold
96	a source of something emits; produces; generates; provides that something	nongold
97	a tool is a kind of object	nongold
98	a plant; living thing requires food for survival	nongold
99	affected means changed	nongold
