Question	The fur of an arctic fox turns from brown to white as winter approaches. This is an example of	question
Answer	camouflage	answer
0	the arctic environment is white in color from being covered in snow	nongold
1	An example of camouflage is when something is; has the same color as its environment	nongold
2	coloration is a kind of adaptation for hiding;camouflage	nongold
3	An example of camouflage is when something changes color in order to have the same color as its environment	gold
4	An example of camouflage is when an organism looks like its environment	nongold
5	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
6	camouflage is a kind of adaptation for hiding in an environment	nongold
7	a fox is a kind of animal	gold
8	the arctic is a kind of environment	gold
9	Camouflage is synonymous with visual disguise	nongold
10	disguise means  changing appearance to hide	nongold
11	hiding means visibility; ability to be seen decreases for camouflage	nongold
12	camouflage is a kind of protection against predators; from predators; against consumers	nongold
13	camouflage can be used for hunting for prey; food	nongold
14	white fur is white in color	nongold
15	arctic animals live in an arctic environment	nongold
16	hiding is a kind of protection against predators; from predators	nongold
17	the arctic environment covered in snow	nongold
18	white is a kind of color	gold
19	a kind of something is an example of that something	nongold
20	snow falls during the winter in the arctic environment	gold
21	hair; fur is  a part of skin for protection; keeping warm	nongold
22	coat means fur coat	nongold
23	a wolf is a kind of animal	nongold
24	brown is a kind of color	gold
25	snow is white in color	gold
26	when snow falls in an environment in an environment , that environment will become white	nongold
27	blending in is synonymous with hiding	nongold
28	to turn means to change	gold
29	snow is a covering found on the surface of an arctic environment	nongold
30	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
31	covering something is a kind of protection	nongold
32	coloration means a thing's color	nongold
33	cold environments sometimes are white in color from being covered in snow	nongold
34	if an animal's fur is a color then that animal is that color	gold
35	trait is synonymous with characteristic	nongold
36	color is a property of  an object; a material	nongold
37	An example of camouflage is an organism looking like leaves	nongold
38	to protect means to defend	nongold
39	coloration means a pattern of colors	nongold
40	winter is a part of the year	nongold
41	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
42	hiding can be used for avoiding predators	nongold
43	the color of; coloration of fur is an inherited characteristic	nongold
44	something hard; something strong can be used for protection	nongold
45	winter means environmental; outdoor temperature decreases	nongold
46	winter is a kind of season	nongold
47	a rabbit is a kind of animal	nongold
48	snow falls during the winter in some environments	nongold
49	looking like is similar to camouflaging as	nongold
50	an animal is a kind of organism	nongold
51	brown is dark in color	nongold
52	to protect means to make safe	nongold
53	fur is often part of an animal	gold
54	an adaptation is a kind of characteristic	nongold
55	some animals' fur grows thicker for staying warm in the winter	nongold
56	adaptations are used for survival	nongold
57	a covering is a kind of object	nongold
58	winter is the opposite of summer	nongold
59	winter has cold temperatures;weather	nongold
60	a snowshoe hare is a kind of animal	nongold
61	an animal is a kind of living thing	nongold
62	a living thing is a kind of object	nongold
63	a part of something means a characteristic of something	nongold
64	fur is a covering around the body of an animal	nongold
65	a type is synonymous with a kind	nongold
66	characteristic means property	nongold
67	snow is a kind of object	nongold
68	the color of an environment means the color of the things that environment contains	nongold
69	dark means dark in color	nongold
70	a dog is a kind of animal	nongold
71	colorless means no color	nongold
72	summer is a kind of season	nongold
73	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
74	answering questions requires information	nongold
75	to turn means to convert	nongold
76	an environment means an area	nongold
77	winter is when a hemisphere is tilted away from the sun	nongold
78	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
79	the Arctic Ocean is a kind of ocean	nongold
80	converting is similar to turning into	nongold
81	turns is similar to changes	nongold
82	winter follows fall	nongold
83	a cat is a kind of animal	nongold
84	ability is a kind of characteristic	nongold
85	feature is synonymous with characteristic	nongold
86	high is similar to increase	nongold
87	trait means property	nongold
88	gray is a combination of black and white	nongold
89	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
90	foxes eat rabbits	nongold
91	ice is found in arctic environments	nongold
92	the colors of parts of an organism are inherited characteristics	nongold
93	an animal is a member of an animal species	nongold
94	animal instinct means instinctive behavior	nongold
95	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
96	what an object is made of is a kind of characteristic	nongold
97	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	nongold
98	an animal requires warmth for survival	nongold
99	a panther is a kind of predator	nongold
