Question	Earth's distance from the Sun helps the planet sustain life. If the Sun were larger, what would most likely also have to be true for Earth to sustain life?	question
Answer	Earth would have to be further from the Sun.	answer
0	larger means greater; higher; more; increase in size	gold
1	smaller means less; lower in size	nongold
2	larger; bigger is the opposite of smaller	nongold
3	Earth is a kind of planet	nongold
4	far means great in distance	nongold
5	as distance from a source of something increases , that something will decrease	gold
6	helping something has a  positive impact on that something	nongold
7	Earth is a planet that is closer to the  Sun than Jupiter	nongold
8	greater means higher; more in value	nongold
9	a planet is a kind of celestial object; body	nongold
10	decreasing is similar to becoming smaller	nongold
11	an increase is the opposite of a decrease	gold
12	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
13	Earth is the planet that is third closest to the  Sun	nongold
14	distant means great in distance	nongold
15	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
16	less is similar to decrease	nongold
17	a decrease is a kind of change	nongold
18	the sun is a source of light; light energy called sunlight	nongold
19	far is the opposite of close	nongold
20	the Sun is a kind of star	nongold
21	the sun is  the largest celestial body in our solar system	nongold
22	an increase is a kind of change	nongold
23	life means living things	nongold
24	low is similar to decrease	nongold
25	near; close is the opposite of far; away	nongold
26	requiring is similar to needing help	nongold
27	larger is a kind of difference	nongold
28	sunlight means solar energy	nongold
29	furthest; farthest means greatest; most; highest in distance	gold
30	distant means far away	nongold
31	the sun is the source of solar energy called sunlight	nongold
32	to lower means to decrease	nongold
33	a star is usually larger than a planet	nongold
34	the sun is the source of energy for life on Earth	nongold
35	closer means lower; less; a decrease in distance	nongold
36	greatest means largest; highest; most amount of something	nongold
37	to depend on; to rely on; to need means to require	nongold
38	small is the opposite of large	nongold
39	as distance from an object decreases , the the pull of gravity on that object increases	nongold
40	as the size of a source of something increases , the amount of the something that that source produces will decrease	gold
41	sunlight is a kind of solar energy	nongold
42	high is similar to increase	gold
43	increase means more	nongold
44	a star is a kind of celestial object; celestial body	nongold
45	requiring something means needing that something	nongold
46	the Sun is the  star that is closest to Earth	nongold
47	to be used for something means to be required by that something	nongold
48	as the cause of something decreases , that something will decrease	nongold
49	growing larger is when size increases	nongold
50	organisms mean life	nongold
51	little is similar to decrease	nongold
52	the sun is the strongest source of gravity in the solar system	nongold
53	an organism is a living thing	nongold
54	as the amount of a source of something decreases , the amount of that something will decrease	nongold
55	as distance from the sun increases , planetary temperature will decrease	nongold
56	as the distance from an object increases , the force of gravity on that object will decrease	nongold
57	a planet contains environments	nongold
58	dying is the opposite of living; surviving	nongold
59	a planet is a kind of place	nongold
60	solar energy is a kind of energy	nongold
61	a planet's  moon is smaller than that planet	nongold
62	sunlight is a kind of light	nongold
63	an animal; living thing requires nutrients for survival	nongold
64	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	helping means something can be done; completed more easily; better	nongold
67	higher means greater; above in value; amount; number	nongold
68	the sun is a source of radiation; heat called sunlight	gold
69	organisms are a part of an environment	nongold
70	to reduce means to decrease	nongold
71	solar energy is a kind of light	nongold
72	if a living thing requires something then that something has a positive impact on that living thing	nongold
73	towards means closer to something	nongold
74	as distance from an object decreases , that object will appear larger	nongold
75	a source of something increases the amount of that something	nongold
76	negative impact is the opposite of positive impact	nongold
77	less is the opposite of more	nongold
78	if something causes a process then that something is required for that process	nongold
79	toward is the opposite of away	nongold
80	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
81	flourishing means large; high in population size	nongold
82	the Earth revolves around the sun	nongold
83	an animal is a kind of living thing	nongold
84	to help; to benefit means to be of use	nongold
85	the sun is a kind of yellow dwarf	nongold
86	change is a kind of impact	nongold
87	the distance between the Sun and Earth causes liquid water to be able to exist on Earth	nongold
88	moving away from the source increases the distance	nongold
89	solar radiation means solar energy	nongold
90	harming something has a  negative impact on; effect on that something	nongold
91	solar energy is a kind of heat energy	nongold
92	a human is a kind of animal	nongold
93	good means positive	nongold
94	as the amount; size of something increases , the extensive properties of that something will increase	nongold
95	if something requires something else then that something requires a source of that something else	nongold
96	where something  comes from is a source of that something	nongold
97	to create means to make	nongold
98	largest means greatest in size	nongold
99	a planet is a kind of location	nongold
