Question	Nonrenewable sources of energy have limited supplies. Researchers are developing devices that will make renewable energy more available. Which is a source of renewable energy?	question
Answer	wind	answer
0	wind is a source of energy	gold
1	a nonrenewable resource is limited in supply	nongold
2	wind is a renewable; inexhaustible resource	gold
3	wind is used for producing electricity	nongold
4	an energy source is a kind of resource	gold
5	a supply of something is a source of that something	nongold
6	renewable is the opposite of nonrenewable	nongold
7	if a resource is limited in supply then that resource will run out	nongold
8	renewable resources are often available for many years	nongold
9	developing means making	nongold
10	fossil fuels are a nonrenewable resource	nongold
11	a source of something supplies that something	nongold
12	instrument means device	nongold
13	if something comes from something else then that something else is a source of that something	nongold
14	resources becoming available has a positive impact on the things that need those resources	nongold
15	if a resource is limited in supply then that resource needs to be replaced	nongold
16	a source of something emits; produces; generates; provides that something	nongold
17	if something requires something else then that something requires a source of that something else	nongold
18	fossil fuels are a kind of energy resource	nongold
19	a producer is a source of energy for consumers	nongold
20	where something  comes from is a source of that something	nongold
21	if a resource is limited in supply then that resource should be recycled	nongold
22	researcher is a kind of scientist	nongold
23	wind means moving air	nongold
24	a fossil fuel is a kind of natural resource	nongold
25	if something is powered by something else then that something requires a source of that something else	nongold
26	to depend on; to rely on; to need means to require	nongold
27	oil is a nonrenewable resource	nongold
28	oil is a kind of fossil fuel	nongold
29	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
30	a scientist is a kind of human	nongold
31	producing renewable electric energy requires renewable resources	nongold
32	an inexhaustible resource is a kind of renewable resource	nongold
33	as a system; a device grows old , that system; device will use more energy	nongold
34	natural gas is a nonrenewable resource	nongold
35	less is similar to decrease	nongold
36	resources sometimes are used for energy	nongold
37	a machine is a kind of  device	nongold
38	device means tool	nongold
39	a renewable resource is a kind of natural resource	nongold
40	make means produce	nongold
41	petroleum is a kind of fossil fuel	nongold
42	a renewable resource is a kind of naturally replaced resource	nongold
43	windy means high wind speeds	nongold
44	fossil fuels have high potential energy	nongold
45	electricity is used as an energy source by electrical devices	nongold
46	as the use of a resource decreases , the length of time that resource will be available increases	nongold
47	a windmill converts wind energy into electrical energy; electricity primarily by using mechanical energy	nongold
48	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
49	if something transfers something else then that something is a source of something else	nongold
50	a source of something increases the amount of that something	nongold
51	oil is a kind of energy resource	nongold
52	solar energy is a renewable; inexhaustible resource	nongold
53	green plants are a kind of producer	nongold
54	natural gas is a kind of fossil fuel	nongold
55	high-efficiency device uses less energy	nongold
56	coal is a nonrenewable resource	nongold
57	to provide something means to be the source of that something	nongold
58	increase means more	nongold
59	oil is a source of energy	nongold
60	the supply of an inexhaustible resource does not change over a long period of time	nongold
61	the amount of something is similar to the availability of something	nongold
62	less is the opposite of more	nongold
63	if something is a raw material then that something comes directly from a source	nongold
64	developing means creating; inventing	nongold
65	coal is a kind of fossil fuel	nongold
66	a producer is a kind of living thing	nongold
67	wind speed is a property of weather	nongold
68	to provide means to supply	nongold
69	a wind turbine is a kind of windmill	nongold
70	electricity means electrical energy	nongold
71	windmills require high wind force to generate electricity	nongold
72	to be used for something means to be required by that something	nongold
73	if something causes a process then that something is required for that process	nongold
74	making something requires resources	nongold
75	if something is a raw material in a process then that something is required for that process	nongold
76	to power means to provide energy for	nongold
77	if something releases something else then that something is the source of that something else	nongold
78	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
79	an event is a kind of action	nongold
80	developing means growing	nongold
81	electrical energy is a kind of energy	nongold
82	water is a renewable resource	nongold
83	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
84	if something generates energy for something else then that something powers that something else	nongold
85	providing something means making;delivering something	nongold
86	a generator is a kind of  device	nongold
87	solar energy is an inexhaustible resource	nongold
88	wind   is a kind of airflow	nongold
89	if something is required for a process then that something positively impacts that process	nongold
90	a research team is made of humans	nongold
91	metal is a nonrenewable resource	nongold
92	using less of a resource increases the availability of that resource	nongold
93	development is similar to production	nongold
94	wind direction is a property of weather	nongold
95	a device requires energy to operate	nongold
96	a process is a kind of event	nongold
97	can be means able to be	nongold
98	solar energy is a kind of energy	nongold
99	if something gains something from something else then that something else is a source of that something	nongold
