Question	Which human trait is most likely inherited from a parent?	question
Answer	height	answer
0	height is an inherited characteristic	gold
1	trait is synonymous with characteristic	gold
2	tall height is a dominant trait in pea plants	nongold
3	tall means great in height	nongold
4	taller means greater in height; size	nongold
5	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
6	a father is a kind of male parent	nongold
7	a human is a kind of animal	nongold
8	tall is  a dominant trait in plants	nongold
9	an animal is a kind of living thing	nongold
10	highest means largest; greatest; most in height	nongold
11	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
12	an inherited characteristic is a kind of characteristic	nongold
13	short height is a recessive trait in pea plants	nongold
14	trait means property	nongold
15	an animal is a kind of organism	nongold
16	height is a kind of position	nongold
17	characteristic means property	nongold
18	height is a property of the size of an object	nongold
19	a living thing is a kind of object	nongold
20	person is synonymous with human	nongold
21	a mother is a kind of female parent	nongold
22	human is a kind of organism	nongold
23	an organism is a living thing	nongold
24	growing means a plant's height;mass;size increase	nongold
25	feature is synonymous with characteristic	nongold
26	shorter means smaller; less in  height	nongold
27	growing is when an animal's height;mass;size increase	nongold
28	a baby is the offspring of a parent	nongold
29	a baby is the offspring of a parent	nongold
30	a mammal is a kind of animal	nongold
31	the size of an organism is an inherited characteristic	nongold
32	inherited characteristics can change over several generations	nongold
33	a human is a kind of mammal	nongold
34	low is the opposite of high	nongold
35	children; young is synonymous with offspring	nongold
36	height is a measure of length from the top of an object to the bottom of an object	nongold
37	the color of; coloration of fur is an inherited characteristic	nongold
38	a son is a kind of male offspring	nongold
39	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
40	species is an inherited characteristic	nongold
41	freckles are an inherited characteristic	nongold
42	an adaptation is a kind of characteristic	nongold
43	the shape of body parts is an inherited characteristic	nongold
44	phenotype of an organism means the visible traits of  an organism	nongold
45	a person is a kind of animal	nongold
46	genes are able to determine the inherited characteristics of a living thing	nongold
47	identical twins have all of the same inherited characteristics	nongold
48	if an organism passes on its traits then future generations will have those traits	nongold
49	body weight is a generally acquired characteristic	nongold
50	the condition of parts of an organism are acquired characteristics	nongold
51	the length of body parts is an inherited characteristic	nongold
52	eye color is an inherited characteristic	nongold
53	human is similar to individual	nongold
54	low is similar to decrease	nongold
55	classifying is when one sorts something by kind; type	nongold
56	often is similar to likely	nongold
57	low means low in elevation; height; altitude	nongold
58	a chin without a cleft is  a recessive trait in human	nongold
59	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
60	a part of something means a characteristic of something	nongold
61	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
62	unique  is the opposite of diverse	nongold
63	falling means height decreases	nongold
64	a face is often a part of an animal	nongold
65	intelligence is an acquired characteristic	nongold
66	resemble means similar characteristics	nongold
67	reproduction produces; produce offspring	nongold
68	the head is a part of an animal	nongold
69	low means down	nongold
70	senses are an inherited characteristic	nongold
71	identical means copy	nongold
72	inherited characteristics are a kind of hereditary information	nongold
73	a child is a kind of young human	nongold
74	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
75	a learned characteristic is a kind of acquired characteristic	nongold
76	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
77	V-shaped; widow's peak hairline is a dominant trait in human	nongold
78	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
79	high is similar to increase	nongold
80	personality is an acquired characteristic	nongold
81	dimple is a dominant trait in human	nongold
82	an organism's environment affects that organism's acquired characteristics	nongold
83	a cat is a kind of animal	nongold
84	a type is synonymous with a kind	nongold
85	ability is a kind of characteristic	nongold
86	a plant is a kind of organism	nongold
87	down is soft	nongold
88	if two things have the same features then those two things are alike	nongold
89	what an object is made of is a kind of characteristic	nongold
90	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
91	an part of an object is smaller than the entire object	nongold
92	growth means size;number;value;strength increases	nongold
93	a cat is a kind of mammal	nongold
94	rising means height; altitude increases	nongold
95	parents produce offspring	nongold
96	a structure of something is synonymous with a part of that something	nongold
97	light means low  in weight	nongold
98	eyes are a part of a human for seeing	nongold
99	a kind of something is an example of that something	nongold
