Question	Some of Earth's water is stored underground in porous rock formations known as aquifers. Which of these could use up groundwater in aquifers?	question
Answer	excessive pumping from wells	answer
0	an aquifer contains groundwater	gold
1	a well is a vehicle for removing water from an aquifer	gold
2	aquifers are the largest source of drinkable water on Earth	nongold
3	pumping water means removing water	gold
4	irrigation sometimes requires using groundwater from aquifers	nongold
5	excessive means too much in quantity	gold
6	if too much water is removed from a location then the water may become used up	gold
7	groundwater is a kind of water	nongold
8	an effective aquifer requires materials with high porosity and high permeability	nongold
9	underground means under ground	nongold
10	a body of water is a source of water	nongold
11	to store means to hold	nongold
12	to be used for something means to be required by that something	nongold
13	ground water is a kind of water	nongold
14	groundwater is located under ground	gold
15	a body of water contains water	nongold
16	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
17	Earth is made of rock	nongold
18	to reduce means to decrease	nongold
19	water is a kind of natural resource	nongold
20	water is a kind of natural resource	nongold
21	a body of water is a kind of environment	nongold
22	to lower means to decrease	nongold
23	underground means buried deep below other rocks	nongold
24	a water reservoir contains; stores water	nongold
25	low is similar to decrease	nongold
26	an animal can not use underground water	nongold
27	less is similar to decrease	nongold
28	if something comes from something else then that something else is a source of that something	nongold
29	something that contains water is similar to a body of water	nongold
30	to help; to benefit means to be of use	nongold
31	flowing is similar to pouring	nongold
32	deplete is similar to decrease	nongold
33	water is a part of an environment	nongold
34	drinking is a kind of water use	nongold
35	requiring is similar to needing help	nongold
36	where something  comes from is a source of that something	nongold
37	the ground is part of the Earth	nongold
38	to serve as means to be used as	nongold
39	an object; material; substance comes from that object or material's source	nongold
40	a source of something emits; produces; generates; provides that something	nongold
41	rainwater is a kind of water	nongold
42	water is a kind of liquid at room temperature	nongold
43	water is a kind of substance	nongold
44	if something causes a process then that something is required for that process	nongold
45	to emit means to release	nongold
46	extreme means very high in value	nongold
47	to provide means to supply	nongold
48	high is similar to increase	nongold
49	a reservoir is a kind of body of water	nongold
50	to flow is similar to to transfer	nongold
51	a stream is a kind of body of water	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	water is a renewable resource	nongold
54	a supply of something is a source of that something	nongold
55	contain is similar to store	nongold
56	an increase is the opposite of a decrease	nongold
57	to slow; to slow down decreases speed	nongold
58	to be formed by is similar to being produced by	nongold
59	sinkholes; caves are formed by precipitation; infiltration	nongold
60	bodies of water are located on Earth's surface	nongold
61	a river is a kind of flowing body of water	nongold
62	to add means to increase	nongold
63	to be filled with means to contain	nongold
64	if something is made of something else then the formation of that something requires that something else	nongold
65	too much is similar to increase	nongold
66	adverse effect means negative impact	nongold
67	a type is synonymous with a kind	nongold
68	form means kind	nongold
69	if something requires something else then that something requires a source of that something else	nongold
70	to depend on; to rely on; to need means to require	nongold
71	to limit means to decrease	nongold
72	the formation of something is a kind of process	nongold
73	something in the soil is located underground	nongold
74	An example of managing the use of something is using less of that something	nongold
75	requiring something means needing that something	nongold
76	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
77	little is similar to decrease	nongold
78	less means a reduced amount	nongold
79	Earth is a kind of planet	nongold
80	if something releases something else then that something is the source of that something else	nongold
81	overuse is similar to depletion	nongold
82	to cause the formation of means to form	nongold
83	the formation of rock is a kind of process	nongold
84	to provide something means to be the source of that something	nongold
85	storing water is a kind of adaptation	nongold
86	soil contains water; humus; weathered rocks; organic matter	nongold
87	if something is powered by something else then that something requires a source of that something else	nongold
88	storing water increases the water available to organisms in a dry environment	nongold
89	a rock is a kind of object	nongold
90	as the amount of water in a body of water decreases , the water levels will decrease	nongold
91	a riverbed is a part of a river	nongold
92	best means most positive	nongold
93	using less of a resource means conserving that resource	nongold
94	forming is a kind of replenishing	nongold
95	affected means changed	nongold
96	low means down	nongold
97	liquid water is available  for organisms	nongold
98	the function of something is what that something  is used to do	nongold
99	keeping is similar to storing	nongold
