Question	Which characteristic do single-celled organisms and multicellular organisms have in common?	question
Answer	Both have a way to get rid of waste materials.	answer
0	a single-celled organism is a kind of organism	nongold
1	a single-celled organism is a kind of living thing	gold
2	a multicellular organism is a kind of living thing	gold
3	single-celled organism is made of only one cell	nongold
4	a multicellular organism is made of many cells	nongold
5	single-cell organism means unicellular organism	nongold
6	a multicellular organism has more than one cell	nongold
7	a multicellular organism contains more than one cell	nongold
8	get rid of means eliminate; remove	gold
9	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
10	a single-cell organism cannot specialize	nongold
11	fungi are sometimes single-celled organisms	nongold
12	dead organisms are a kind of waste	nongold
13	single means one	nongold
14	multicellular organisms produce more cells through cell division	nongold
15	the cells of multicellular organisms can specialize	nongold
16	all living things eliminate waste	gold
17	characteristic means property	nongold
18	waste has a  negative impact on the environment	nongold
19	a single-cell organism can survive without the help of other cells	nongold
20	fungi can be multicellular	nongold
21	trait is synonymous with characteristic	nongold
22	a living thing is made of cells	nongold
23	an organism is a living thing	nongold
24	a yeast cell is a kind of single cell organism	nongold
25	waste must be removed	nongold
26	trash is synonymous with waste	nongold
27	what an object is made of is a kind of characteristic	nongold
28	human waste often causes harm to an environment	nongold
29	lysosomes process; eliminate cellular waste	nongold
30	garbage means waste	nongold
31	a cell is a kind of object	nongold
32	a part of something means a characteristic of something	nongold
33	harming something has a  negative impact on; effect on that something	nongold
34	receive means get	nongold
35	organisms are a part of an environment	nongold
36	in common is similar to the same	nongold
37	trait means property	nongold
38	nutrients are a kind of material	nongold
39	feature is synonymous with characteristic	nongold
40	a cell absorbs nutrients	nongold
41	similar means in common	nongold
42	a unicellular organism has one cell	nongold
43	a living thing is a kind of object	nongold
44	a cell is very small	nongold
45	all living things are made of cells according to the cell theory	nongold
46	one can get something from a source	nongold
47	an animal is a kind of organism	nongold
48	an animal is a kind of living thing	nongold
49	An example of avoiding waste is using an object; a material more than once	nongold
50	a multicellular organism is large enough to be visible	nongold
51	material means substance	nongold
52	a bacterium is a kind of organism	nongold
53	a producer is a kind of living thing	nongold
54	bacteria is a kind of living thing	nongold
55	to help; to benefit means to be of use	nongold
56	An example of recycling is using an object to make a new object	nongold
57	an amoeba is a kind of single-celled organism	nongold
58	if something requires something else then that something else may be common in that something	nongold
59	replacing is similar to recycling	nongold
60	processes sometimes produce waste products	nongold
61	recycling has a  positive impact on the environment	nongold
62	high is similar to increase	nongold
63	getting something increases the amount of that something	nongold
64	a kind of something is an example of that something	nongold
65	recycling is a kind of method of disposal	nongold
66	an animal cell is a kind of cell	nongold
67	removing waste is a kind of function	gold
68	recycling reduces; decreases the amount of waste sent to landfills	nongold
69	negative impact is the opposite of positive impact	nongold
70	organisms mean life	nongold
71	the cell membrane is a part of a cell	nongold
72	humans discarding waste in an environment causes harm to that environment	nongold
73	if a human discards an object then that object will become waste	nongold
74	if something causes a process then that something is required for that process	nongold
75	helping something has a  positive impact on that something	nongold
76	to be used for something means to be required by that something	nongold
77	if something is a raw material in a process then that something is required for that process	nongold
78	the function of something is what that something  is used to do	nongold
79	cells are a part of the body	nongold
80	requiring is similar to needing help	nongold
81	basic life functions occur in the cells of organisms	nongold
82	recycling reduces the resources needed to make something	nongold
83	to obtain means to get	nongold
84	can be means able to be	nongold
85	a type is synonymous with a kind	nongold
86	the kidney removes; filters bodily waste; cell waste; byproducts from the blood	nongold
87	a cell nucleus is a part of a cell	nongold
88	recycling means reusing	nongold
89	if a living thing requires something then that something has a positive impact on that living thing	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	an organism is a source of organic material	nongold
92	a material is a kind of resource	nongold
93	a cell membrane is a kind of cell structure	nongold
94	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
95	using raw materials increases waste	nongold
96	nutrients are a kind of substance	nongold
97	a property of something is a feature of that something	nongold
98	species is an inherited characteristic	nongold
99	An example of conservation is avoiding waste	nongold
