Question	When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?	question
Answer	They bounce light back from other sources.	answer
0	bouncing something back means reflecting that something	nongold
1	to bounce back means to reflect	gold
2	a bicycle is a kind of object	nongold
3	bike means bicycle	nongold
4	a bicycle is a kind of vehicle	nongold
5	reflection is when light is reflected from one object; one place to  another object; another place	nongold
6	when light hits a reflective object , that light bounces off that object	nongold
7	refractions of light can be used to help a person see	nongold
8	to help means to aid	nongold
9	a reflector is used to reflect light especially on vehicles	gold
10	an automobile is a kind of vehicle	nongold
11	to be used  for something means to help to do that something	nongold
12	an object; material; substance comes from that object or material's source	nongold
13	to reflect light means to scatter light	nongold
14	sight means to see	nongold
15	a motorcycle is a kind of automobile	nongold
16	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	gold
17	a car is a kind of object	nongold
18	a car is a kind of automobile	nongold
19	a car is a kind of vehicle	nongold
20	light reflecting off of an object causes that object to be visible to the observer	nongold
21	where something  comes from is a source of that something	nongold
22	seeing is used for sensing visual things	nongold
23	humans ride vehicles	nongold
24	helping something has a  positive impact on that something	nongold
25	if something comes from something else then that something else is a source of that something	nongold
26	observe means see	nongold
27	to see means to look	nongold
28	a vehicle is a kind of object	nongold
29	reflection is a property of light	nongold
30	shiny things; objects reflect light	nongold
31	reflection is when particles bounce off a surface	nongold
32	sunlight is a kind of light	nongold
33	to view means to see	nongold
34	eyes can sense;detect light energy for seeing	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	if an object reflects light toward the eye then that object can be seen	nongold
37	a person is a kind of animal	nongold
38	to help; to benefit means to be of use	nongold
39	eyes are used for seeing by animals by sensing light	nongold
40	viewing means observing light	nongold
41	visible light is a kind of  light	nongold
42	seeing requires light	gold
43	visible means able to be seen	nongold
44	to illuminate means to light up	nongold
45	reflecting light; sound is the opposite of absorbing light; sound	gold
46	a plant light is used for help plants by mimicking sunlight	nongold
47	night is low in light; in visibility	nongold
48	person is synonymous with human	nongold
49	the automobile is a kind of technology	nongold
50	a human is a kind of animal	nongold
51	riding in; driving in a vehicle means using that vehicle	nongold
52	an animal is a kind of living thing	nongold
53	light is a kind of wave	gold
54	to shine means to emit light	nongold
55	a light bulb generates visible light when it is turned on	nongold
56	if something is outside during the day , then that something will reflect enough light to be seen	nongold
57	helping means to assist in a change	nongold
58	if something transfers something else then that something is a source of something else	nongold
59	refraction is when light passes from one medium to another medium	nongold
60	metal is reflective	nongold
61	to be helpful means to help to do	nongold
62	pedals are part of a  bicycle for pedalling	nongold
63	a mirror reflects light	nongold
64	objects are made of materials; substances; matter	nongold
65	riding is a kind of motion	nongold
66	eyes are a part of a human for seeing	nongold
67	a light bulb is used for seeing in the dark	nongold
68	if an object reflects more light then that object is more easily seen	nongold
69	a vehicle is a kind of tool for travel; transport	nongold
70	light is a kind of electromagnetic radiation	nongold
71	visible light is able to be seen without using equipment	nongold
72	a passenger in a car is usually a human	nongold
73	light means light energy	nongold
74	optical tools are used for observing materials up close; in greater detail	nongold
75	instrument means device	nongold
76	one can get something from a source	nongold
77	a vehicle is used for transportation	nongold
78	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
79	a human can pedal a bicycle	nongold
80	look at means observe	nongold
81	the ability to reflect is a property of sound wave	nongold
82	a living thing is a kind of object	nongold
83	requiring is similar to needing help	nongold
84	instrument means tool	nongold
85	human eyes can only see light in the range of visible light	nongold
86	a white object reflects all visible light	nongold
87	riding something is a kind of movement	nongold
88	if something strikes an object then that something may bounce off of that object	nongold
89	scattering light decreases visibility	nongold
90	pedalling a bicycle requires moving the pedals in a circular motion	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	a vehicle transmits something	nongold
93	eyes are usually part of an animal for seeing	nongold
94	refracting sunlight; light causes sunlight; light to split into different colors	nongold
95	a tool is a kind of object	nongold
96	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
97	a light bulb is a kind of tool for seeing in the dark	nongold
98	a device is a kind of object	nongold
99	magnifying glass is used to see  small things by making objects appear bigger	nongold
