Question	Rachel purchased a kit for making a skateboard ramp. Which of the following is most important to have for putting the ramp together?	question
Answer	a set of instructions for the kit materials	answer
0	Rachel is a name for a human	gold
1	a ramp is a kind of object	nongold
2	a roller skate is a kind of vehicle	nongold
3	instructions are a part of kits	gold
4	wheels are a part of roller skates	nongold
5	a kit usually contains materials for assembling something	gold
6	if something requires something else then that something else is important to that something	gold
7	to depend on; to rely on; to need means to require	nongold
8	if something has a positive impact on something else then that something is important to that something else	nongold
9	a living thing is a kind of object	nongold
10	a vehicle is a kind of object	nongold
11	a person requires instructions to assemble a kit; something	gold
12	if an object is made of a material then that object has the properties of that material	nongold
13	objects are made of materials; substances; matter	nongold
14	a vehicle is a kind of tool for travel; transport	nongold
15	a board is a kind of object	nongold
16	assembling means putting together	gold
17	helping something has a  positive impact on that something	nongold
18	requiring something means needing that something	nongold
19	instruction is a kind of information	nongold
20	answering questions requires information	nongold
21	material means substance	nongold
22	to be used for something means to be required by that something	nongold
23	to help; to benefit means to be of use	nongold
24	a tool is a kind of object	nongold
25	requiring is similar to needing help	nongold
26	materials are used for making products by manufacturers	nongold
27	metal is a kind of material	nongold
28	something is used for that something's purpose	nongold
29	helping means something can be done; completed more easily; better	nongold
30	a material is a kind of resource	nongold
31	to be required means to be necessary	nongold
32	an part of an object is smaller than the entire object	nongold
33	to cause means to make	nongold
34	a surface is a part of an object	nongold
35	if something causes a process then that something is required for that process	nongold
36	a surface is a part of a material	nongold
37	a vehicle is used for transportation	nongold
38	motion is when moves an object; something to a direction	nongold
39	materials are made of matter	nongold
40	a human is a kind of animal	nongold
41	making something requires resources	nongold
42	a structure of something is synonymous with a part of that something	nongold
43	An example of following orders is coming when called	nongold
44	high is similar to increase	nongold
45	using an object often requires creating that object	nongold
46	system means a set of objects	nongold
47	to make possible means to be required	nongold
48	an animal is a kind of living thing	nongold
49	an event is a kind of action	nongold
50	to be used  for something means to help to do that something	nongold
51	a product is a kind of object	nongold
52	to make means to build	nongold
53	the function of something is what that something  is used to do	nongold
54	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
55	motion; movement means moving; to move	nongold
56	rolling down a ramp is a kind of rolling	nongold
57	setting is a kind of motion	nongold
58	to be dependent on something means to depend on that something	nongold
59	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
60	to create means to make	nongold
61	if something is required for a process then that something positively impacts that process	nongold
62	role is similar to importance	nongold
63	a motion is a kind of event; action	nongold
64	an animal is a kind of consumer	nongold
65	best means most positive	nongold
66	make means produce	nongold
67	a component of something means a part of that something	nongold
68	direction is similar to instruction	nongold
69	to make means to form	nongold
70	to be a vehicle for is a kind of function	nongold
71	what something needs is a property of that something	nongold
72	if an object is made of something then the parts of that object are made of that something	nongold
73	a wheel is a kind of object	nongold
74	creating means making	nongold
75	a type is synonymous with a kind	nongold
76	following orders is a learned characteristic	nongold
77	transport means to move; to make travel	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	a stick is a kind of object	nongold
80	negative impact is the opposite of positive impact	nongold
81	a component means a part of	nongold
82	form means kind	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	to be good for means to have a positive impact on	nongold
85	an object is made of its parts	nongold
86	good means positive	nongold
87	speed is a measure of how fast an object is moving	nongold
88	an object is an item	nongold
89	an object has properties	nongold
90	a concern; a problem is a possible negative impact	nongold
91	placing is a kind of action	nongold
92	break down is the opposite of put together	nongold
93	can be means able to be	nongold
94	greatest means largest; highest; most amount of something	nongold
95	distance moved; distance travelled is a measure of how far an object moves	nongold
96	a process is a kind of event	nongold
97	increase means more	nongold
98	if something performs a task then that task is that something's function	nongold
99	better means good	nongold
