Question	How do traits of animals such as ear shape, nose shape, and hair color most often get passed to offspring?	question
Answer	sexual reproduction	answer
0	shape is a kind of characteristic	nongold
1	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
2	if an organism passes on its traits then future generations will have those traits	nongold
3	an ear is a kind of body part	gold
4	trait is synonymous with characteristic	gold
5	a nose is a part of a body	gold
6	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
7	an inherited characteristic is a kind of characteristic	nongold
8	structure is similar to shape	nongold
9	the shape of body parts is an inherited characteristic	gold
10	an animal is a kind of living thing	nongold
11	receive means get	nongold
12	animals reproduce sexually	gold
13	hair is often a part of an animal	nongold
14	the colors of parts of an organism are inherited characteristics	nongold
15	sexual reproduction is a kind of reproduction	nongold
16	the color of; coloration of fur is an inherited characteristic	gold
17	a baby is the offspring of a parent	nongold
18	a baby is the offspring of a parent	nongold
19	an animal is a kind of organism	nongold
20	children; young is synonymous with offspring	nongold
21	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
22	a part of something means a characteristic of something	nongold
23	form means kind	nongold
24	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
25	reproduction produces; produce offspring	nongold
26	a father is a kind of male parent	nongold
27	characteristic means property	nongold
28	if something is passed down to something else then that something else receives that something	nongold
29	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
30	shape is a property of an object	nongold
31	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
32	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	gold
33	a mother is a kind of female parent	nongold
34	a child is a kind of young human	nongold
35	living things can all reproduce	nongold
36	hair is similar to fur	gold
37	sexual reproduction in animals is when egg; sperm join together	nongold
38	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
39	parents produce offspring	nongold
40	reproductive behavior is an inherited characteristic	nongold
41	inherited characteristics can change over several generations	nongold
42	to reproduce means to have; to produce offspring	nongold
43	sexual reproduction increases genetic diversity	nongold
44	an organism is a living thing	nongold
45	a human is a kind of animal	nongold
46	a face is often a part of an animal	nongold
47	trait means property	nongold
48	a living thing is a kind of object	nongold
49	reproduction is when an organism passes genetic information from itself to its offspring	nongold
50	long ears are a part of a rabbit	nongold
51	a hair is a kind of object	nongold
52	genes are able to determine the inherited characteristics of a living thing	nongold
53	eye color is an inherited characteristic	nongold
54	the head is a part of an animal	nongold
55	shape is an extensive property	nongold
56	a learned characteristic is a kind of acquired characteristic	nongold
57	shape of the parts of something is a property of that something	nongold
58	to pass means to occur	nongold
59	feature is synonymous with characteristic	nongold
60	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
61	color is a kind of physical; visual property	nongold
62	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
63	a son is a kind of male offspring	nongold
64	in sexual reproduction sperm is a vehicle for the genes from the father to the offspring	nongold
65	a baby is a kind of young animal	nongold
66	passing is a kind of action	nongold
67	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
68	Natural selection is when organisms with beneficial traits survive competition to  reproduce and pass their beneficial traits onto their offispring; the successive generation	nongold
69	a type is synonymous with a kind	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	if a living thing requires something then that something has a positive impact on that living thing	nongold
72	genetic variation is similar to trait variation	nongold
73	identical twins have all of the same inherited characteristics	nongold
74	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
75	phenotype of an organism means the visible traits of  an organism	nongold
76	species is an inherited characteristic	nongold
77	adaptation is when an organism develops a trait over time for survival	nongold
78	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
79	a structure of something is synonymous with a part of that something	nongold
80	shape is a kind of physical property	nongold
81	receiving the recessive gene for a trait from each parent causes the offspring to have; to express that recessive trait	nongold
82	an organism's environment affects that organism's acquired characteristics	nongold
83	fur is often part of an animal	nongold
84	a mutation in the sex cells of a parent can cause a new trait to appear in the parent's offspring	nongold
85	information in an organism's chromosomes cause genetic traits to be passed down to that organism's offspring	nongold
86	a mammal is a kind of animal	nongold
87	animals learn some behaviors from watching their parents	nongold
88	offspring are a part of a generation	nongold
89	unique  is the opposite of diverse	nongold
90	a mother births offspring	nongold
91	an asexually produced offspring is genetically identical to its parent	nongold
92	color is a property of  an object; a material	nongold
93	DNA are a vehicle for passing genes from parent to offspring	nongold
94	hair is thin	nongold
95	what an object is made of is a kind of characteristic	nongold
96	to be used for something means to be required by that something	nongold
97	coloration means a thing's color	nongold
98	an adaptation is a kind of characteristic	nongold
99	a puppy is a young; baby dog	nongold
