Question	Which of the following could limit the supply of a renewable resource?	question
Answer	cutting down trees in forests	answer
0	cutting down a forest means cutting down the trees in that forest	nongold
1	removing a forest means cutting down the trees in that forest	nongold
2	removing a forest means cutting down a forest	nongold
3	to limit means to decrease	gold
4	destroying a forest means cutting down the trees in that forest	nongold
5	trees are a renewable resource	gold
6	a restriction can be used to limit something; keep something low	nongold
7	logging is when humans cut down trees; forests for wood	nongold
8	a forest is a kind of environment	nongold
9	a renewable resource is a kind of natural resource	nongold
10	clearing a forest means humans cutting down the trees	nongold
11	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
12	a forest is a kind of ecosystem	nongold
13	forest is synonymous with wooded area	nongold
14	planting trees is the opposite of cutting down trees	nongold
15	woodland means forest	nongold
16	cutting down trees in a forest causes the number of trees to decrease in that forest	gold
17	a forest contains  lots of plants; trees	nongold
18	if a resource is limited in supply then that resource will run out	nongold
19	trees are a kind of natural resource	nongold
20	a nonrenewable resource is limited in supply	nongold
21	trees are a kind of resource	nongold
22	a supply of something is a source of that something	nongold
23	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
24	a tree is a kind of plant	nongold
25	a requirement is a kind of limitation	nongold
26	to depend on; to rely on; to need means to require	nongold
27	renewable is the opposite of nonrenewable	nongold
28	building usually requires cutting down trees	nongold
29	timber companies cut down trees	nongold
30	deforestation is the process of cutting down trees	nongold
31	deforested area means an area where trees have been cut down	nongold
32	the supply of an inexhaustible resource does not change over a long period of time	nongold
33	limiting something is a kind of activity	nongold
34	if a resource is limited in supply then that resource needs to be replaced	nongold
35	wood is a renewable resource	nongold
36	an increase is the opposite of a decrease	nongold
37	a tree is a kind of living thing	nongold
38	fossil fuels are a kind of energy resource	nongold
39	to reduce means to decrease	nongold
40	clearing a forest is similar to deforestation	nongold
41	to be used for something means to be required by that something	nongold
42	renewable resources are often available for many years	nongold
43	fossil fuels are a nonrenewable resource	nongold
44	plants are a kind of resource	nongold
45	a renewable resource is a kind of naturally replaced resource	nongold
46	an increase is a kind of change	nongold
47	high is similar to increase	nongold
48	a decrease is a kind of change	nongold
49	less is similar to decrease	nongold
50	an inexhaustible resource is a kind of renewable resource	nongold
51	a fossil fuel is a kind of natural resource	nongold
52	if something causes a process then that something is required for that process	nongold
53	increase means more	nongold
54	to lower means to decrease	nongold
55	a source of something increases the amount of that something	nongold
56	some animals live in forests	nongold
57	to provide means to supply	nongold
58	if a tree is cut down then that tree will die	nongold
59	An example of an environment is a forest; a river; a grassland; an ocean	nongold
60	a tree contains wood	nongold
61	answering questions requires information	nongold
62	less means a reduced amount	nongold
63	if something is required for a process then that something positively impacts that process	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	destroying something decreases the amount of that something	nongold
66	an event is a kind of action	nongold
67	vegetation means plants	nongold
68	an environment means an area	nongold
69	reducing is a kind of change	nongold
70	water is a renewable resource	nongold
71	removing forests means removing animal habitats	nongold
72	planting trees has a  positive impact on an ecosystem	nongold
73	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
74	low is similar to decrease	nongold
75	if an event is required for a process then that event must occur before that process can occur	nongold
76	a natural resource is a kind of environmental factor	nongold
77	requiring something means needing that something	nongold
78	using resources decreases those resources	nongold
79	a source of something supplies that something	nongold
80	as the amount of a source of something decreases , the amount of that something will decrease	nongold
81	loss means reduction	nongold
82	roots are a part of a plant; tree	nongold
83	renewable resources can be used over again	nongold
84	can be means able to be	nongold
85	a tree can be replaced by planting a new tree each time one is cut down	nongold
86	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
87	planting trees is sometimes a human activity	nongold
88	a process is a kind of event	nongold
89	if something causes an increase in something else then that something produces that something else	nongold
90	impact means effect	nongold
91	a renewable resource can be replaced	nongold
92	a component means a part of	nongold
93	change is a kind of impact	nongold
94	too much is similar to increase	nongold
95	a plant is a kind of living thing	nongold
96	wood is a kind of resource	nongold
97	negative impact is the opposite of positive impact	nongold
98	if something emits something else then that something increases the amount of that something else	nongold
99	a renewable resource can be renewed	nongold
