Question	Four materials are put into small containers. These materials are then moved from the small containers into larger containers. Which material will spread out to completely fill a larger container?	question
Answer	air	answer
0	to be filled with means to contain	nongold
1	expand means spread out	gold
2	a container contains objects; material; substances	nongold
3	air is a kind of gas	gold
4	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	gold
5	size; amount of space means volume	nongold
6	atmosphere means  air	nongold
7	spreading is a kind of motion	nongold
8	air is a kind of matter	nongold
9	contents means the substance in a container	nongold
10	a container is a kind of object	nongold
11	the air is a kind of substance	nongold
12	the atmosphere contains gases; liquids; solids	nongold
13	objects are made of materials; substances; matter	nongold
14	to add means to increase	nongold
15	material means substance	gold
16	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
17	air mass means a volume of air	nongold
18	gas is a kind of material	nongold
19	gas is a kind of substance	gold
20	heat means heat energy	nongold
21	vapor is synonymous with gas	nongold
22	a stationary air mass is a kind of air mass	nongold
23	gas is a kind of object	nongold
24	motion; movement means moving; to move	nongold
25	gas is a kind of state of matter	nongold
26	to place in is similar to to move to	nongold
27	An example of moisture is water vapor in the atmosphere	nongold
28	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
29	Matter in the gas phase has variable volume	gold
30	carbon dioxide is a kind of gas	nongold
31	a liquid is a kind of substance	nongold
32	substances are made of matter	nongold
33	an part of an object is smaller than the entire object	nongold
34	materials are made of matter	nongold
35	particles in objects are a kind of matter	nongold
36	radiation is when heat is transferred through waves; particles	nongold
37	the atmosphere is a kind of area	nongold
38	answering questions requires information	nongold
39	high is similar to increase	nongold
40	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
41	if an object is made of a material then that object has the properties of that material	nongold
42	air is usually a thermal; thermal energy insulator	nongold
43	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
44	Earth has air	nongold
45	transferring is moving from one place to another place	nongold
46	if  a  material is heated , then the  material will expand	nongold
47	increase means more	nongold
48	oxygen is a kind of gas at room temperature	nongold
49	gaseous means of gas	nongold
50	water vapor is found in the atmosphere	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	expand is a kind of change in volume	nongold
53	an animal requires air for survival	nongold
54	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
55	a living thing is a kind of object	nongold
56	greatest means largest; highest; most amount of something	nongold
57	air is a kind of medium for light	nongold
58	if gas in a flexible container is heated then that container will expand	nongold
59	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
60	an increase is the opposite of a decrease	nongold
61	distance moved; distance travelled is a measure of how far an object moves	nongold
62	carbon dioxide is more dense than air	nongold
63	liquid is a kind of state of matter	nongold
64	temperature is a measure of heat energy	nongold
65	a part of a process means a stage in a process	nongold
66	a solid is a kind of substance	nongold
67	as heat increases , a flexible container containing gas will expand	nongold
68	an air mass has similar temperature and moisture throughout it	nongold
69	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
70	transport means to move; to make travel	nongold
71	to breathe in means to absorb air	nongold
72	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
73	air cannot pass through plastic	nongold
74	an increase is a kind of change	nongold
75	a box is a kind of object	nongold
76	denser means more dense	nongold
77	a layer of the atmosphere is similar to a region of the atmosphere	nongold
78	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
79	length is a part of size	nongold
80	as the volume  of a gas in a flexible container increases ,  the volume of the container will increase	nongold
81	exhaling  is when an animal expels air from the lungs	nongold
82	a particle is a kind of object	nongold
83	density is a measure of mass of an object over volume; divided by volume	nongold
84	larger means greater; higher; more; increase in size	nongold
85	transpiration is when water vapor moves from plants;leaves into the atmosphere	nongold
86	to carry means to move something	nongold
87	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
88	solid is a kind of state of matter	nongold
89	metal is a kind of material	nongold
90	if a container contains a substance  with less density than air then that container may move upward	nongold
91	media; medium means the material something travel through	nongold
92	to be used for something means to be required by that something	nongold
93	larger; bigger is the opposite of smaller	nongold
94	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
95	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
96	as air pressure surrounding a flexible container decreases , that flexible container will expand	nongold
97	air is a part of the environment	nongold
98	particles in a liquid flows past each other	nongold
99	heating means adding heat	nongold
