Question	Which renewable energy resource possesses the greatest potential for providing renewable energy to meet the future needs of the southern United States?	question
Answer	solar	answer
0	the southern United States receives a lot of sunlight	gold
1	solar power means solar energy	nongold
2	to depend on; to rely on; to need means to require	nongold
3	solar energy is a renewable; inexhaustible resource	gold
4	solar energy is a kind of energy	nongold
5	solar energy is a source of electricity	nongold
6	sunlight means solar energy	gold
7	to provide something means to be the source of that something	nongold
8	sunlight is a kind of solar energy	nongold
9	United States is located in the northern hemisphere	nongold
10	the United States is a kind of country	nongold
11	fossil fuels have high potential energy	nongold
12	to power means to provide energy for	nongold
13	potential energy is a kind of energy	nongold
14	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
15	renewable is the opposite of nonrenewable	nongold
16	greatest means largest; highest; most amount of something	nongold
17	solar radiation means solar energy	nongold
18	the Northern Hemisphere is a kind of hemisphere of Earth	nongold
19	potential is a kind of ability	nongold
20	if something is required then that something must be provided	nongold
21	solar energy is a kind of heat energy	nongold
22	being used for is similar to providing	nongold
23	to provide means to supply	nongold
24	a fossil fuel is a kind of natural resource	nongold
25	fossil fuels are a kind of energy resource	nongold
26	an energy source is a kind of resource	nongold
27	a source of something emits; produces; generates; provides that something	nongold
28	producing renewable electric energy requires renewable resources	nongold
29	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
30	fossil fuels are a nonrenewable resource	nongold
31	renewable resources are often available for many years	nongold
32	resources sometimes are used for energy	nongold
33	to be used for something means to be required by that something	nongold
34	to produce means to provide	nongold
35	solar energy is an inexhaustible resource	nongold
36	a renewable resource is a kind of natural resource	nongold
37	solar energy is a kind of light	nongold
38	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
39	resources becoming available has a positive impact on the things that need those resources	nongold
40	sunlight produces heat	nongold
41	potential energy means stored energy	nongold
42	a renewable resource is a kind of naturally replaced resource	nongold
43	a  plant requires sunlight for photosynthesis	nongold
44	solar panels are a kind of power supplies	nongold
45	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
46	the sun is the source of solar energy called sunlight	nongold
47	oil is a kind of fossil fuel	nongold
48	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
49	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
50	if something requires something else then that something requires a source of that something else	nongold
51	if something is powered by something else then that something requires a source of that something else	nongold
52	sunshine means sunlight	nongold
53	oil is a nonrenewable resource	nongold
54	if something is a raw material in a process then that something is required for that process	nongold
55	oil is a kind of energy resource	nongold
56	if something causes a process then that something is required for that process	nongold
57	if something generates energy for something else then that something powers that something else	nongold
58	a producer is a source of energy for consumers	nongold
59	an event is a kind of action	nongold
60	electricity means electrical energy	nongold
61	an inexhaustible resource is a kind of renewable resource	nongold
62	the solar system is a kind of system	nongold
63	the sun is a source of radiation; heat called sunlight	nongold
64	natural gas is a kind of fossil fuel	nongold
65	if something is required for a process then that something positively impacts that process	nongold
66	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
67	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
68	solar energy rarely causes pollution	nongold
69	natural gas is a nonrenewable resource	nongold
70	the Western Hemisphere is a kind of hemisphere of Earth	nongold
71	providing something means making;delivering something	nongold
72	something is used for that something's purpose	nongold
73	coal is a kind of fossil fuel	nongold
74	petroleum is a kind of fossil fuel	nongold
75	providing is a kind of function	nongold
76	green plants are a kind of producer	nongold
77	requiring something means needing that something	nongold
78	high is similar to increase	nongold
79	a nonrenewable resource is limited in supply	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	state means form	nongold
82	what something needs is a property of that something	nongold
83	furthest; farthest means greatest; most; highest in distance	nongold
84	sunlight is a kind of light	nongold
85	renewable resources can be used over again	nongold
86	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
87	where something  comes from is a source of that something	nongold
88	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
89	a renewable resource can be renewed	nongold
90	generate means produce	nongold
91	can be means able to be	nongold
92	if something releases something else then that something is the source of that something else	nongold
93	if something transfers something else then that something is a source of something else	nongold
94	oil is a source of energy	nongold
95	hydropower is a kind of alternative energy resource	nongold
96	good means positive	nongold
97	water is a renewable resource	nongold
98	solar energy causes the weather patterns	nongold
99	if something is a raw material then that something comes directly from a source	nongold
