Question	Which type of rock would most likely contain a fossil?	question
Answer	sedimentary rock	answer
0	sedimentary is a kind of rock	gold
1	a type is synonymous with a kind	gold
2	nearly all fossils are found in sedimentary rock	gold
3	if something is a part of something else then that something else contains that something	nongold
4	sedimentary rocks are formed by deposition; cementation	nongold
5	made up of means contains; made of	nongold
6	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
7	sedimentary rocks are made of small particles	nongold
8	organisms can be preserved in sedimentary rock	nongold
9	if something is made of something; a material then that something contains that something; that material	nongold
10	sediment is formed from rock	nongold
11	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
12	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
13	fossil means preserved remains of ancient organisms	nongold
14	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
15	including means containing	nongold
16	shale is a kind of sedimentary rock	nongold
17	contains means located in	nongold
18	classifying is when one sorts something by kind; type	nongold
19	if something is a source of something else then that something usually contains that something else	nongold
20	if something does not contain something else then that something lacks that something else	nongold
21	to contain something means to have that something	nongold
22	a type of something is a kind of property of that something	nongold
23	to be found in means to be contained in	gold
24	a rock is usually a solid	nongold
25	a dinosaur is a kind of extinct animal	nongold
26	if something absorbs something else then that something will contain that something else	nongold
27	to contain means to have inside	nongold
28	sediment is a kind of matter	nongold
29	sediment is formed by weathering	nongold
30	if something is a part of something then that something can be found in that something	nongold
31	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
32	to be filled with means to contain	nongold
33	most means over 50% of something	nongold
34	made of is similar to contains	nongold
35	containing something is similar to providing that something	nongold
36	rock is a kind of nonliving thing	nongold
37	sedimentary rocks often have different colored layers	nongold
38	composed of means made of	nongold
39	containing something is similar to holding something	nongold
40	metamorphosed rock is a kind of rock	nongold
41	a kind of something is an example of that something	nongold
42	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
43	rock is made of minerals	nongold
44	to be made of means to consist of	nongold
45	a component means a part of	nongold
46	extreme heat and pressure compact sediment into sedimentary rock	nongold
47	a component of something means a part of that something	nongold
48	rock is a kind of material	nongold
49	a body of water contains water	nongold
50	something that contains water is similar to a body of water	nongold
51	to create means to make	nongold
52	contain is similar to store	nongold
53	sedimentary rocks are often light brown in color	nongold
54	if something is made of something else then that something can be broken down into that something else	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	limestone is a kind of sedimentary rock	nongold
57	a structure of something is synonymous with a part of that something	nongold
58	answering questions requires information	nongold
59	to produce means to create	nongold
60	no longer means used to be	nongold
61	preserved means from the past; from long ago	nongold
62	metamorphic rock is a kind of rock	nongold
63	if something contains something , then something is able to provide something	nongold
64	rocks sometimes contain iron	nongold
65	form means kind	nongold
66	a rock is a kind of object	nongold
67	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
68	class is a measure of how a rock is formed	nongold
69	all living and nonliving materials are made of elements	nongold
70	to form means to create	nongold
71	to make means to form	nongold
72	an organism is a living thing	nongold
73	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
74	to be made of something means to be formed of that something	nongold
75	An example of a fossil is the bones of an extinct animal	nongold
76	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
77	the parts of something make up that something	nongold
78	to belong to a class means to be a kind of something	nongold
79	rocks often contain large amounts of metal	nongold
80	sediment falls to the bottom of bodies of water	nongold
81	to cause the formation of means to form	nongold
82	if something releases something else then that something is the source of that something else	nongold
83	a dinosaur is a kind of reptile	nongold
84	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	nongold
85	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
86	if something comes from something else then that something else is a source of that something	nongold
87	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
88	to change into means to form	nongold
89	soil contains water; humus; weathered rocks; organic matter	nongold
90	different classes of rocks are formed by different methods	nongold
91	metamorphic is a kind of rock	nongold
92	where something  comes from is a source of that something	nongold
93	rock means stone	nongold
94	prehistoric means before 300000000 years ago	nongold
95	a kind of something is classified as that something	nongold
96	if something exists on a surface then that surface contains that something	nongold
97	an event is a kind of action	nongold
98	stalactites are formed by deposition	nongold
99	approximately means about	nongold
