Question	Jonathan places a pot of water on a stove. As the water boils, how does the state of the water change?	question
Answer	from liquid to gas	answer
0	being  on something; placed in something; placed over something means touching  that something	nongold
1	a pot is a kind of container	nongold
2	a pot is a kind of object	nongold
3	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
4	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
5	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
6	a pot is used for cooking food	nongold
7	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
8	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
9	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
10	boiling is a kind of phase change	nongold
11	pot;pan;frying pan is made of metal for cooking	gold
12	pots are used for cooking liquid food usually	nongold
13	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
14	phase means state	nongold
15	heating means adding heat	nongold
16	temperature is a measure of heat energy	nongold
17	a stove generates heat for cooking usually	gold
18	a stove is used for cooking by generating heat	nongold
19	heat energy can change the state of matter	nongold
20	water is a kind of liquid at room temperature	nongold
21	gas is a kind of state of matter	gold
22	liquid is a kind of state of matter	gold
23	a stove is a kind of machine	nongold
24	a burner is a part of a  stove	nongold
25	heat means heat energy	nongold
26	temperature changing can cause phase changes	nongold
27	water is a kind of substance	nongold
28	evaporating is a kind of phase change	nongold
29	a liquid is a kind of substance	nongold
30	boiling is when liquids are heated above their boiling point	nongold
31	state of matter means physical state	nongold
32	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
33	gas is a kind of substance	nongold
34	a state is a kind of place	nongold
35	heat means temperature increases	nongold
36	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
37	adding heat means increasing temperature	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
39	if liquid is boiling then that liquid is hot	nongold
40	to add means to increase	nongold
41	heat energy is synonymous with thermal energy	nongold
42	water is an thermal; thermal energy conductor	nongold
43	a container contains objects; material; substances	nongold
44	gas is a kind of material	nongold
45	physical state means state of matter	nongold
46	a burner is a kind of object; surface	nongold
47	hot means high in heat energy; temperature	nongold
48	if one surface; one substance; one object touches something then one is exposed to that something	nongold
49	fire causes burning	nongold
50	metal is a thermal; thermal energy conductor	gold
51	an increase is a kind of change	nongold
52	melting is a kind of phase change	nongold
53	water is a kind of object	nongold
54	gas is a kind of object	nongold
55	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
56	solid is a kind of state of matter	nongold
57	a liquid is a kind of fluid	nongold
58	moisture means liquid; liquid water	nongold
59	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
60	fire gives off light; heat; smoke	nongold
61	a hot; warm something is a source of heat	nongold
62	cooking food requires adding heat energy to the food	nongold
63	a container is a kind of object	nongold
64	high is similar to increase	nongold
65	an electric stove changes electrical energy into heat energy	nongold
66	if something is places over a heat source then that something is exposed to that heat source	nongold
67	to change means to cause a change	nongold
68	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
69	affected means changed	nongold
70	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
71	state means form	nongold
72	if an object is made of a material then that object has the properties of that material	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	to convert means to change	nongold
75	fire transfers heat through waves	nongold
76	if a container contains something then that container touches that something	nongold
77	an insulator is the opposite of a conductor	nongold
78	material means substance	nongold
79	to turn means to change	nongold
80	objects are made of materials; substances; matter	nongold
81	a flame are a part of a fire	nongold
82	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
83	water is a kind of matter	gold
84	absorbing energy causes objects; materials; substances to heat	nongold
85	place; location is synonymous with position	nongold
86	to slow; to slow down decreases speed	nongold
87	warm means medium heat energy; temperature	nongold
88	variable means able to change	nongold
89	to lower means to decrease	nongold
90	metal is a kind of material	nongold
91	combustion means fire converts chemical energy into light energy and heat energy	nongold
92	an increase is the opposite of a decrease	nongold
93	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
94	a decrease is a kind of change	nongold
95	condition means the state of the property	nongold
96	a thermal conductor is made of materials that conduct thermal energy	nongold
97	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	cooking is a kind of process	nongold
