Question	A student tosses a ball into the air. Which force causes the ball to fall back to the ground?	question
Answer	gravity	answer
0	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
1	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	gold
2	gravity is a kind of force	nongold
3	dropping something causes that something to fall	nongold
4	a student is a kind of human	nongold
5	gravity accelerates an object while that object falls by pulling on it	nongold
6	to land on the ground means to hit the ground	nongold
7	falling means moving downward	nongold
8	to drop means to fall	nongold
9	a ball is a kind of object	gold
10	downward means down	nongold
11	low means down	gold
12	tossing  a ball in the air cannot form a source of vibration	nongold
13	rolling down is similar to falling	nongold
14	air is a kind of gas	nongold
15	drop means decrease	nongold
16	as the altitude increases , the gravity will decrease	nongold
17	weight means the force of gravity acting on an object	nongold
18	air is a kind of matter	nongold
19	Weight is  the  force of gravity acting on an object	nongold
20	lowering is a kind of motion	nongold
21	the mass of an object causes the gravitational force exerted by that object	nongold
22	a human is a kind of animal	nongold
23	the air is a kind of substance	nongold
24	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
25	motion; movement means moving; to move	nongold
26	a motion is a kind of event; action	nongold
27	as the mass of an object increases , the force of gravity on that object will increase	nongold
28	as the force of gravity on an animal decreases , the higher that animal can jump generally	nongold
29	jumping off is a kind of  moving down	nongold
30	hitting is a kind of motion	nongold
31	gas is a kind of object	nongold
32	an increase is a kind of change	nongold
33	high is similar to increase	nongold
34	upward is the opposite of downward	nongold
35	An example of hitting something is dropping an object onto that something	nongold
36	rising is a kind of motion	nongold
37	a living thing is a kind of object	nongold
38	the ground means Earth's surface	nongold
39	a force is a kind of push or pull on an object	nongold
40	an animal is a kind of living thing	nongold
41	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
42	sliding is a kind of motion	nongold
43	pulling is a kind of motion	nongold
44	rising means moving upward	nongold
45	come down is similar to falling	nongold
46	sinking means moving down	nongold
47	as the distance from an object increases , the force of gravity on that object will decrease	nongold
48	the bottom is the lowest part of something	gold
49	to lower means to decrease	nongold
50	person is synonymous with human	nongold
51	up means upward	nongold
52	the ground is part of the Earth	nongold
53	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
54	a roll is a kind of movement	nongold
55	force causes the speed of an object to increase; to decrease	nongold
56	falling means height decreases	nongold
57	objects are made of materials; substances; matter	nongold
58	a decrease is a kind of change	nongold
59	skidding is a kind of motion	nongold
60	the ground is at the bottom of an area	gold
61	downhill means down	nongold
62	an event is a kind of action	nongold
63	a pull is a kind of force	nongold
64	weight is a measure of the force of the gravity on the mass of an object	nongold
65	flying is a kind of motion through air; space	nongold
66	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
67	gas is a kind of state of matter	nongold
68	below means lower down	nongold
69	rolling over is a kind of action	nongold
70	to lift means to move up	nongold
71	change is a kind of impact	nongold
72	sliding is a kind of movement	nongold
73	rolling is a kind of motion	nongold
74	slipping is a kind of motion	nongold
75	additional force is similar to outside force	nongold
76	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
77	raising is a kind of motion	nongold
78	as distance from an object decreases , the the pull of gravity on that object increases	nongold
79	rising means height; altitude increases	nongold
80	hitting something causes harm to that something	nongold
81	when an object moves , that object loses its relative fixed position	nongold
82	motion is a source of kinetic energy in an object	nongold
83	to reduce means to decrease	nongold
84	gravitational fore is a kind of non-contact force	nongold
85	a landform is a kind of object	nongold
86	gas is a kind of substance	nongold
87	low is similar to decrease	nongold
88	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
89	shaking is a kind of motion	nongold
90	gravitational potential energy is a measure of the product of weight and height	nongold
91	counter means reduce; stop; resist	nongold
92	breaking down an object changes that object's shape and that object's mass	nongold
93	setting is a kind of motion	nongold
94	to ascend means to rise	nongold
95	to cause is similar to bring	nongold
96	movement is a kind of change	nongold
97	a balloon is a kind of object	nongold
98	to travel up means to rise	nongold
99	down is a kind of direction	nongold
