Question	A parent and a child share several characteristics. Both individuals are tall, have curly hair, are good cooks, and have freckles. Which of these characteristics is a learned behavior?	question
Answer	being a good cook	answer
0	freckles are an inherited characteristic	nongold
1	a learned characteristic is a kind of acquired characteristic	nongold
2	skills are learned characteristics; behaviors	gold
3	preferences are generally learned characteristics	nongold
4	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
5	doing chores is a learned characteristic	nongold
6	to be good for means to have a positive impact on	nongold
7	curly hair is an inherited characteristic	nongold
8	trait is synonymous with characteristic	nongold
9	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
10	better means good	nongold
11	a behavior is a kind of characteristic	gold
12	good means positive	nongold
13	feature is synonymous with characteristic	nongold
14	personality is an acquired characteristic	nongold
15	conditioned behavior is a kind of learned behavior	nongold
16	characteristic means property	nongold
17	social behavior is a kind of learned behavior	nongold
18	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
19	an inherited characteristic is a kind of characteristic	nongold
20	hair is often a part of an animal	nongold
21	tall is  a dominant trait in plants	nongold
22	an animal is a kind of living thing	nongold
23	a person is a kind of animal	nongold
24	using tools is a learned characteristic	nongold
25	following orders is a learned characteristic	nongold
26	cooking is a kind of skill for preparing food	gold
27	a human is a kind of animal	nongold
28	if an animal is trained to do something then that something is a learned behavior	nongold
29	trait means property	nongold
30	ability is a kind of characteristic	nongold
31	a part of something means a characteristic of something	nongold
32	animal instinct means instinctive behavior	nongold
33	an adaptation is a kind of characteristic	nongold
34	an organism's environment affects that organism's acquired characteristics	nongold
35	helping something has a  positive impact on that something	nongold
36	person is synonymous with human	nongold
37	actions mean behavior	nongold
38	playing with toys is a learned characteristic	nongold
39	if a trait is chosen , then the trait is desirable	nongold
40	a living thing is a kind of object	nongold
41	tall means great in height	nongold
42	animals learn some behaviors from watching their parents	nongold
43	hair is similar to fur	nongold
44	a child is a kind of young human	nongold
45	height is an inherited characteristic	nongold
46	both means two	nongold
47	tall height is a dominant trait in pea plants	nongold
48	if two objects are similar , then the two objects share properties	nongold
49	if two things have the same features then those two things are alike	nongold
50	a father is a kind of male parent	nongold
51	the colors of parts of an organism are inherited characteristics	nongold
52	a hair is a kind of object	nongold
53	a mother is a kind of female parent	nongold
54	an animal needs to eat food for nutrients	nongold
55	an animal is a kind of organism	nongold
56	an organism is a living thing	nongold
57	intelligence is an acquired characteristic	nongold
58	the length of the hair of an animal is an acquired characteristic	nongold
59	adaptation is when an organism develops a trait over time for survival	nongold
60	human is similar to individual	nongold
61	high is similar to increase	nongold
62	an animal; living thing requires nutrients for survival	nongold
63	doing something more is a kind of conditioned behavior	nongold
64	best means most positive	nongold
65	taller means greater in height; size	nongold
66	what an object is made of is a kind of characteristic	nongold
67	hair; fur is  a part of skin for protection; keeping warm	nongold
68	communication is a learned behavior	nongold
69	color is a property of  an object; a material	nongold
70	a baby is the offspring of a parent	nongold
71	a baby is the offspring of a parent	nongold
72	food is what an animal eats	nongold
73	unique  is the opposite of diverse	nongold
74	to enhance means to increase	nongold
75	children; young is synonymous with offspring	nongold
76	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
77	if a living thing requires something then that something has a positive impact on that living thing	nongold
78	aspect of something is similar to part of something	nongold
79	an animal knows how to do  instinctive behaviors when it is born	nongold
80	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
81	the color of; coloration of fur is an inherited characteristic	nongold
82	performance is similar to ability	nongold
83	cooking is a kind of action	nongold
84	a plant; living thing requires food for survival	nongold
85	if an organism passes on its traits then future generations will have those traits	nongold
86	an increase is the opposite of a decrease	nongold
87	to eat means to consume food	nongold
88	physical fitness is an acquired characteristic	nongold
89	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
90	style is an acquired characteristic	nongold
91	each is similar to individual	nongold
92	a food contains nutrients for living things	nongold
93	classifying is when one sorts something by kind; type	nongold
94	locomotion is a generally learned behavior	nongold
95	baking is similar to cooking	nongold
96	a source of something emits; produces; generates; provides that something	nongold
97	different is the opposite of the same	nongold
98	to improve means to have a positive impact	nongold
99	a kind of something is an example of that something	nongold
