Question	Which of the following can provide the human body with long-term immunity against some diseases?	question
Answer	vaccines	answer
0	vaccines are a source of long-term immunity against some diseases for the human body	gold
1	vaccines can help prevent illness	nongold
2	provide is similar to give; make	nongold
3	virus is a kind of living thing	nongold
4	to provide means to supply	nongold
5	if something is required then that something must be provided	nongold
6	a human is a kind of animal	nongold
7	human is a kind of organism	nongold
8	harming something has a  negative impact on; effect on that something	nongold
9	being used for is similar to providing	nongold
10	to provide something means to be the source of that something	gold
11	disease means illness	nongold
12	the immune system defends the body against disease	nongold
13	pathogens can cause disease	nongold
14	infection often requires medical treatment	nongold
15	an animal is a kind of organism	nongold
16	to help; to benefit means to be of use	nongold
17	the immune system is a kind of body; human body system	nongold
18	disease has a negative impact on an organism	nongold
19	the body is a part of an organism	nongold
20	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	nongold
21	pathogen is similar to harmful substance	nongold
22	protecting something means preventing harm to that something	nongold
23	an animal is a kind of living thing	nongold
24	to be used for something means to be required by that something	nongold
25	helping something has a  positive impact on that something	nongold
26	an organism is a living thing	nongold
27	to produce means to provide	nongold
28	if a living thing requires something then that something has a positive impact on that living thing	nongold
29	providing something means making;delivering something	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	something harmful can cause harm	nongold
32	to be used  for something means to help to do that something	nongold
33	a positive impact is  a benefit	nongold
34	negative impact is the opposite of positive impact	nongold
35	requiring something means needing that something	nongold
36	if something contains something , then something is able to provide something	nongold
37	can means having the ability to	nongold
38	to depend on; to rely on; to need means to require	nongold
39	requiring is similar to needing help	nongold
40	person is synonymous with human	nongold
41	harming an organism can cause that organism to die	nongold
42	white blood cell destroys pathogens in the body	nongold
43	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
44	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
45	adverse effect means negative impact	nongold
46	poison causes harm to living things; organisms	nongold
47	if an organism can do something , then that organism is able to do that something	nongold
48	transferring is similar to supplying	nongold
49	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
50	a supply of something is a source of that something	nongold
51	if something is a raw material in a process then that something is required for that process	nongold
52	solution is similar to a positive impact	nongold
53	bacteria; viruses cause food poisoning	nongold
54	a plant is a kind of organism	nongold
55	killing means harming something causing death	nongold
56	medicine is used for curing people when they are sick	nongold
57	best means most positive	nongold
58	if something requires something else then that something requires a source of that something else	nongold
59	a body system is a part of the body; an animal	nongold
60	a negative impact is a kind of consequence; risk	nongold
61	an autoimmune disease is when the body attacks its own tissues	nongold
62	an animal is a member of an animal species	nongold
63	to give is similar to to cause	nongold
64	can be means able to be	nongold
65	to give off means to be the source of	nongold
66	death means to die	nongold
67	if something has the ability to do something else , then that something can do that something else	nongold
68	dead organisms are a source of disease	nongold
69	inhibitor means something that prevents something from happening	nongold
70	cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses	nongold
71	answering questions requires information	nongold
72	if something causes a process then that something is required for that process	nongold
73	if something has a positive impact on something else then that something is important to that something else	nongold
74	disease-causing microbes have a negative impact on the body	nongold
75	something dangerous can cause harm	nongold
76	essential means required	nongold
77	a part of a process means a stage in a process	nongold
78	a positive impact is a helpful effect	nongold
79	the function of something is what that something  is used to do	nongold
80	receiving a treat is a kind of positive effect	nongold
81	nonliving; non-living; die is the opposite of living; alive; live	nongold
82	organisms mean life	nongold
83	containing something is similar to providing that something	nongold
84	to serve as means to be used as	nongold
85	to help means to aid	nongold
86	an event is a kind of action	nongold
87	a person is a kind of animal	nongold
88	the amount of something is similar to the availability of something	nongold
89	a process is a kind of event	nongold
90	life means living things	nongold
91	adding heat to something kills viruses; bacteria in that something	nongold
92	a worm is a kind of animal	nongold
93	an paramecium is a kind of organism	nongold
94	a process usually requires all of the stages in that process	nongold
95	if something is made of something; a material then that something contains that something; that material	nongold
96	a producer is a kind of living thing	nongold
97	an animal is a kind of consumer	nongold
98	resistances are a property of living things	nongold
99	a germ is a kind of harmful substance	nongold
