Question	A geologist found fossils of horse bones in different rock layers of a canyon. The fossils in the lower levels show shorter bones than those in the upper-level fossils. Which conclusion is based on the geologist's observations?	question
Answer	Horse's became larger over time.	answer
0	a canyon is a kind of landform	nongold
1	a horse is a kind of animal	gold
2	a bone is a part of some animals	nongold
3	a canyon is made of rock	nongold
4	a canyon is a very deep valley	nongold
5	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
6	shorter means decreased length	nongold
7	an animal is a kind of living thing	nongold
8	a canyon forming occurs over a period of millions of years	nongold
9	An example of a fossil is the bones of an extinct animal	nongold
10	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	gold
11	a bone is a part of a body	nongold
12	bones can be fossilized	nongold
13	a canyon is a very big crack in the ground	nongold
14	fossil means preserved remains of ancient organisms	nongold
15	a living thing is a kind of object	nongold
16	an animal is a kind of organism	gold
17	shorter means smaller; less in  height	nongold
18	larger means greater; higher; more; increase in size	gold
19	long means great in length	nongold
20	length is a part of size	gold
21	smaller means less; lower in size	nongold
22	to conclude means to make a conclusion	nongold
23	most canyons are formed by flowing rivers through erosion over long periods of time	nongold
24	a canyon is a kind of place	nongold
25	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
26	longest means greatest in length	nongold
27	to shorten means to make shorter	nongold
28	increase means more	gold
29	the Grand Canyon is a kind of canyon	nongold
30	an organism is a living thing	nongold
31	decreasing is similar to becoming smaller	nongold
32	level is similar to amount; quantity	nongold
33	an increase is the opposite of a decrease	gold
34	an part of an object is smaller than the entire object	nongold
35	length of time means period of time	nongold
36	a limb often contains bones	nongold
37	to change means to become different	nongold
38	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
39	a dinosaur is a kind of extinct animal	nongold
40	largest means greatest in size	nongold
41	small is the opposite of large	nongold
42	found in means existing in	nongold
43	high is similar to increase	nongold
44	shortest means least; smallest in length	gold
45	a reptile is a kind of animal	nongold
46	a mammal is a kind of animal	nongold
47	an increase is a kind of change	gold
48	becoming is similar to changing	nongold
49	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
50	a horse weighs, on average between 400 and 550 kg	nongold
51	to lower means to decrease	nongold
52	skeletal system is made of bones	nongold
53	two objects are usually different in size	nongold
54	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
55	larger; bigger is the opposite of smaller	nongold
56	a decrease is a kind of change	nongold
57	shrinking decreases size	nongold
58	concluding is a kind of action	nongold
59	greatest means largest; highest; most amount of something	nongold
60	below means lower down	nongold
61	if two species of animal have a similar bone structure then those two species probably evolved from a common ancestor in recent geological history	nongold
62	lower means less	nongold
63	a mane is a part of a horse	nongold
64	as the amount; size of something increases , the extensive properties of that something will increase	nongold
65	if something is a part of something then that something can be found in that something	nongold
66	low is similar to decrease	nongold
67	a landform is a kind of object	nongold
68	a river is a kind of flowing body of water	nongold
69	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
70	to add means to increase	nongold
71	growing larger is when size increases	nongold
72	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
73	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
74	less is similar to decrease	gold
75	closer means lower; less; a decrease in distance	nongold
76	a measure of time is a length of time	nongold
77	as distance from an object decreases , that object will appear larger	nongold
78	to be found in means to be contained in	nongold
79	an event is a kind of action	nongold
80	higher means greater; above in value; amount; number	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	greater means higher; more in value	nongold
83	variable means able to change	nongold
84	a dinosaur is a kind of reptile	nongold
85	fewer means lower; less in number	nongold
86	a structure of something is synonymous with a part of that something	nongold
87	landform means surface feature; physical feature; land feature	nongold
88	to vary means to change	nongold
89	as distance to an object increases , that object will appear smaller	nongold
90	index fossils can be used to determine the approximate age of other fossils in that area	nongold
91	bone is hard	nongold
92	an animal's scales are small in size	nongold
93	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
94	shortest means the least amount of time	nongold
95	opposite is a kind of different	nongold
96	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
97	a human is a kind of animal	nongold
98	when things erode , those things may become smaller	nongold
99	the skull of an animal can be used to determine if that animal was a carnivore or an herbivore	nongold
