Question	Which example describes an organism taking in nutrients?	question
Answer	a girl eating an apple	answer
0	an apple is a kind of fruit	gold
1	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
2	taking in something means receiving; absorbing; getting something	gold
3	eating; taking in food is used to get nutrients;energy by animals; living things	gold
4	a girl is a kind of organism	nongold
5	taking is the opposite of giving; leaving	nongold
6	a girl is a kind of animal	nongold
7	an  apple is  hard	nongold
8	a nutrient is a kind of object	nongold
9	an animal needs to eat food for nutrients	gold
10	taking in something means acquiring that something	nongold
11	a girl is a kind of young; female human	gold
12	a food contains nutrients for living things	gold
13	diet means what an animal eats	nongold
14	a fruit is a kind of object	nongold
15	an animal; living thing requires nutrients for survival	nongold
16	to eat means to consume food	nongold
17	fruit is a kind of food	gold
18	food is what an animal eats	nongold
19	take in means absorb	nongold
20	if an organism eats something then that something is a source of frood to that organism	nongold
21	an organism is a living thing	nongold
22	an animal is a kind of living thing	nongold
23	an animal is a kind of organism	gold
24	eating prey requires catching prey	nongold
25	a plant; living thing requires food for survival	nongold
26	when an animal eats or drinks something , that animal tastes that something	nongold
27	living things eat their food source	nongold
28	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
29	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
30	a boy is a kind of young male human	nongold
31	a living thing is a kind of object	nongold
32	an  apple is  round in shape	nongold
33	the properties of something are used for describing that something	nongold
34	a gourd is a kind of fruit	nongold
35	food is a kind of object	nongold
36	nutrients are a kind of substance	nongold
37	an apple is red in color	nongold
38	taking in and releasing means exchanging	nongold
39	an apple tree is a kind of plant	nongold
40	a human is a kind of animal	gold
41	an apple is smooth on the surface	nongold
42	consumers eat other organisms	nongold
43	a producer is a kind of living thing	nongold
44	fruit is a part of a plant; tree	nongold
45	take away means decreasing	nongold
46	requiring something means needing that something	nongold
47	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
48	to depend on; to rely on; to need means to require	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	prey is a kind of food for predators	nongold
51	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
52	a child is a kind of young human	nongold
53	providing something means making;delivering something	nongold
54	a kind of something is an example of that something	nongold
55	nutrients are a source of energy for living things	nongold
56	if a living thing requires something then that something has a positive impact on that living thing	nongold
57	the  diet of an animal is an inherited characteristic	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	prey  is a kind of animal	nongold
60	a predator eats other animals for food	nongold
61	nutrients are a kind of material	nongold
62	producer is a kind of role in the food chain process; in an ecosystem	nongold
63	predators eat prey	nongold
64	to prey on an animal means to eat that animal	nongold
65	food is a kind of substance	nongold
66	food is a source of energy for animals; plants	nongold
67	if something causes a process then that something is required for that process	nongold
68	a vegetable is a kind of food	nongold
69	plants are the source of fruit	nongold
70	an animal is a kind of consumer	nongold
71	the mouth is a part of the digestive system used for eating	nongold
72	an part of an object is smaller than the entire object	nongold
73	trait is synonymous with characteristic	nongold
74	starch is a kind of food	nongold
75	emit means produce	nongold
76	become prey means get eaten	nongold
77	consumption means use	nongold
78	measuring is used for describing an object	nongold
79	eating something decreases the amount of that something	nongold
80	high is similar to increase	nongold
81	if something is given off of something , then something is the product of something	nongold
82	to be used for something means to be required by that something	nongold
83	to be affected by something is similar to depending on something	nongold
84	requiring is similar to needing help	nongold
85	a product is a kind of object	nongold
86	the digestive system is a kind of body; human system	nongold
87	an organism eating is a kind of action	nongold
88	life means living things	nongold
89	nutrients are a kind of matter	nongold
90	digestion of proteins occurs in the stomach; small intestine	nongold
91	eating an animal; a plant means killing that animal; that plant	nongold
92	a consumer is a kind of organism	nongold
93	fruit is  usually a solid	nongold
94	an increase is the opposite of a decrease	nongold
95	organisms are a part of an environment	nongold
96	to produce means to provide	nongold
97	if something contains something , then something is able to provide something	nongold
98	nutrients are simpler than food	nongold
99	to add means to increase	nongold
