Question	Which of these is an element?	question
Answer	O_{2}	answer
0	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
1	an  element is a kind of atom	nongold
2	an atom is the smallest particle; unit that has the properties of an element	nongold
3	if a substance is made of one element , then the substance is called an element	nongold
4	an element is a kind of  substance	nongold
5	an element is made of one kind of atoms	nongold
6	atomic number is a property of elements	nongold
7	O2 means oxygen	gold
8	substances are made of elements	nongold
9	nitrogen is a kind of element	nongold
10	to be made of something means to be formed of that something	nongold
11	the  chemical symbol for oxygen is O	nongold
12	an element is a kind of material	nongold
13	O is the chemical symbol for oxygen	nongold
14	an atom is a kind of object	nongold
15	classifying is when one sorts something by kind; type	nongold
16	one is a kind of number	nongold
17	made up of means contains; made of	nongold
18	all elements are a kind of pure substance	nongold
19	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
20	a pure substance is made of only one kind of atom; molecule	nongold
21	the basic unit of matter is atom	nongold
22	a proton is a part of an atom; an element	nongold
23	atom cannot be divided into smaller substances	nongold
24	hydrogen is a kind of element	nongold
25	if something is made of something else then that something can be broken down into that something else	nongold
26	composed of means made of	nongold
27	carbon is a kind of element	nongold
28	a type of something is a kind of property of that something	nongold
29	matter; materials; substances are made of atoms; particles	nongold
30	an element is identified by its number of protons	nongold
31	the structure  of an atom can be used for identifying the element	nongold
32	composition is a property of an object; matter	nongold
33	chemical composition is a kind of property	nongold
34	a tree is a kind of matter	nongold
35	a type is synonymous with a kind	nongold
36	classifying means grouping objects; materials by their properties	nongold
37	a physical property is a kind of property	nongold
38	state of matter is a kind of physical property	nongold
39	a living thing is a kind of object	nongold
40	the nitrogen family is a kind of group in periodic table	nongold
41	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
42	a compound can be chemically separated into the elements that it is made of	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
45	to be made of means to consist of	nongold
46	can be means able to be	nongold
47	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
48	an alkaline earth metal is a kind of element	nongold
49	substances are made of matter	nongold
50	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
51	An example of a chemical property is the elements a compound is made of	nongold
52	both means two	nongold
53	a  chemical property is a kind of  property	nongold
54	matter is made of molecules	nongold
55	particles in objects are a kind of matter	nongold
56	made of is similar to contains	nongold
57	state means form	nongold
58	composition means the (materials, substances) of which something is composed	nongold
59	electron configuration is a property of elements	nongold
60	substances are made of molecules	nongold
61	a nonmetal is a kind of element	nongold
62	chemical compounds contain chemical bonds between atoms; between elements	nongold
63	atoms are made of particles	nongold
64	a  gas is a kind of  element	nongold
65	form means kind	nongold
66	material composition is a kind of chemical property	nongold
67	structure is a property of an object; a material; a substance	nongold
68	if something is made of something else , then that something else will be the component of that something	nongold
69	an organism is a living thing	nongold
70	an element is not an alloy	nongold
71	an object is made of its parts	nongold
72	oxygen  is a kind of element	gold
73	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
74	a component means a part of	nongold
75	a plant is a kind of living thing	nongold
76	an animal is a kind of living thing	nongold
77	objects are made of materials; substances; matter	nongold
78	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
79	an object is an item	nongold
80	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
81	a component of something means a part of that something	nongold
82	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
83	all the other means the rest of	nongold
84	water is a kind of matter	nongold
85	state of matter means physical state	nongold
86	unit is similar to part	nongold
87	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
88	metals are found on the left side of the periodic table of elements	nongold
89	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
90	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
91	a particle is a kind of object	nongold
92	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
93	physical state means state of matter	nongold
94	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
95	a compound is made of two or more elements that have been chemically combined	nongold
96	category means kind	nongold
97	an event is a kind of action	nongold
98	each is simiar to one	nongold
99	a structure of something is synonymous with a part of that something	nongold
