Question	Which is an example of melting?	question
Answer	Butter changing into liquid in a warm pan	answer
0	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
1	a pan is a kind of object	nongold
2	butter is a kind of solid below 32 degrees celsius	gold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
4	melting is a kind of phase change	nongold
5	temperature is a measure of heat energy	nongold
6	butter is a kind of substance	gold
7	melting is when solids are heated above their melting point	gold
8	heating means adding heat	gold
9	heat means heat energy	gold
10	melting is a kind of process	nongold
11	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
12	a pan;frying pan is a kind of container for cooking; food	gold
13	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
14	heat means temperature increases	nongold
15	a kind of something is an example of that something	nongold
16	warm; becoming warm means heat is added	nongold
17	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
18	adding heat means increasing temperature	nongold
19	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
20	warm up means increase temperature	nongold
21	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
22	hot means high in heat energy; temperature	nongold
23	heat energy is synonymous with thermal energy	nongold
24	warm means warm temperature	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	warm means medium heat energy; temperature	nongold
27	temperature changing can cause phase changes	nongold
28	thermal conduction is when heat flows from warmer object to cooler object	nongold
29	to add means to increase	nongold
30	become warm means get warm	nongold
31	to turn means to change	nongold
32	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
33	freezing is a kind of phase change	nongold
34	becoming is similar to changing	nongold
35	liquid is a kind of state of matter	nongold
36	a living thing is a kind of object	nongold
37	a hot substance is a source of heat	nongold
38	frozen means solid	nongold
39	solid is a kind of state of matter	nongold
40	something in a cold place becomes cold	nongold
41	a liquid is a kind of substance	nongold
42	a solid is a kind of substance	nongold
43	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
44	material means substance	nongold
45	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
46	being  on something; placed in something; placed over something means touching  that something	gold
47	freezing causes a solid to form	nongold
48	phase means state	nongold
49	warmer means greater; higher in temperature; warmth	nongold
50	a hot; warm something is a source of heat	gold
51	boiling is when liquids are heated above their boiling point	nongold
52	if one surface; one substance; one object touches something then one is exposed to that something	gold
53	colder; cooler means lower in temperature	nongold
54	when a cooler object touches a warmer object , thermal conduction occurs	nongold
55	to give off means to be the source of	nongold
56	pot;pan;frying pan is made of metal for cooking	gold
57	being in something means touching that something	nongold
58	if heat is conducted to an object then that object will become hot	nongold
59	to convert means to change	nongold
60	evaporating is a kind of phase change	nongold
61	if an object is made of a material then that object has the properties of that material	gold
62	heating is the opposite of cooling	nongold
63	a container contains objects; material; substances	nongold
64	cold means low in temperature	nongold
65	a human is a kind of animal	nongold
66	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
67	to lower means to decrease	nongold
68	high is similar to increase	nongold
69	to get hot means become hot	nongold
70	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
71	if a container contains something then that container touches that something	nongold
72	ability to undergo a phase change is a property of a substance; material	nongold
73	change is a kind of process	nongold
74	if a substance is mixed with another substance then those substances will undergo physical change	nongold
75	thawing is similar to melting	nongold
76	changed is the opposite of unchanged	nongold
77	if an object is put inside; poured into another object , then two objects are touching	nongold
78	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
79	warm is similar to hot	nongold
80	an increase is a kind of change	nongold
81	answering questions requires information	nongold
82	if something is in something , then something is exposed to something	nongold
83	water is a kind of liquid at room temperature	nongold
84	heat is a kind of energy	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	stay the same means not changing	nongold
87	variable means able to change	nongold
88	objects are made of materials; substances; matter	nongold
89	increase means more	nongold
90	moisture means liquid; liquid water	nongold
91	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
92	become cold means get cold	nongold
93	a phase change is a kind of physical change	nongold
94	heat means the transfer of thermal energy	nongold
95	an animal requires warmth for survival	nongold
96	a source of heat can be used to heat something	nongold
97	a source of heat can be used to heat something	nongold
98	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
99	if the component of something changed , then the whole thing will change	nongold
