Question	Which statement correctly describes a relationship between the distance from Earth and a characteristic of a star?	question
Answer	As the distance from Earth to the star decreases, its apparent brightness increases.	answer
0	a part of something means a characteristic of something	nongold
1	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	nongold
2	trait is synonymous with characteristic	nongold
3	Earth is a kind of planet	nongold
4	a star is a kind of celestial object; celestial body	nongold
5	an increase is the opposite of a decrease	nongold
6	what an object is made of is a kind of characteristic	nongold
7	characteristic means property	gold
8	as distance from a source of something increases , that something will decrease	nongold
9	a decrease is a kind of change	nongold
10	the Sun is a kind of star	nongold
11	feature is synonymous with characteristic	nongold
12	an increase is a kind of change	nongold
13	brightness is a kind of property	nongold
14	high is similar to increase	gold
15	low is similar to decrease	nongold
16	less is similar to decrease	gold
17	the Sun is the  star that is closest to Earth	nongold
18	brightness is a property of a light source	gold
19	trait means property	nongold
20	if two or more things are in a relationship then those things impact each other	nongold
21	the properties of something are used for describing that something	nongold
22	increase means more	nongold
23	to add means to increase	nongold
24	closer means lower; less; a decrease in distance	gold
25	brightness means amount of light	nongold
26	as distance from an object decreases , the the pull of gravity on that object increases	nongold
27	location is a kind of relationship	nongold
28	to lower means to decrease	nongold
29	an inherited characteristic is a kind of characteristic	nongold
30	to reduce means to decrease	nongold
31	Earth is a planet that is closer to the  Sun than Jupiter	nongold
32	if something emits something else then that something increases the amount of that something else	nongold
33	if a value decreases then that value may become; may reach zero; 0	nongold
34	variable means able to change	nongold
35	as the cause of something decreases , that something will decrease	nongold
36	a star produces light and heat	gold
37	the sun is a source of light; light energy called sunlight	nongold
38	appear is similar to apparent	gold
39	sense is a kind of characteristic of an animal	nongold
40	as distance from an object decreases , that object will appear larger	nongold
41	little is similar to decrease	nongold
42	affected means changed	nongold
43	a function is a kind of characteristic	nongold
44	to impact means to affect	nongold
45	near; close is the opposite of far; away	nongold
46	both means two	nongold
47	the ability to reflect off of a surface is a kind of characteristic	nongold
48	brighter means higher; greater in brightness	gold
49	greater means higher; more in value	nongold
50	bright means bright; light in color	nongold
51	the Sun has average brightness compared to other stars	nongold
52	shape is a kind of characteristic	nongold
53	the stars in the night sky are very far away from the Earth	nongold
54	surface type is a kind of characteristic	nongold
55	the sun is a kind of yellow dwarf	nongold
56	to change means to have an effect	nongold
57	a planet is a kind of celestial object; body	nongold
58	the effects of something is a property of that something	nongold
59	a learned characteristic is a kind of acquired characteristic	nongold
60	can be means able to be	nongold
61	a relationship occurs when two or more things interact with one another	nongold
62	to cause means to have an effect	nongold
63	a behavior is a kind of characteristic	nongold
64	furthest; farthest means greatest; most; highest in distance	nongold
65	sunlight is a kind of light	nongold
66	light is made of photons	nongold
67	astronomical unit is a measure of distance between Earth and the Sun	nongold
68	an part of an object is smaller than the entire object	nongold
69	Earth is the planet that is third closest to the  Sun	nongold
70	larger means greater; higher; more; increase in size	nongold
71	a property of something is a feature of that something	nongold
72	ability is a kind of characteristic	nongold
73	as the distance from an object increases , the force of gravity on that object will decrease	nongold
74	the properties of something can be used to identify; used to describe that something	nongold
75	astronomy is the study of celestial (objects, bodies)	nongold
76	causing is a kind of affecting	nongold
77	a source of something emits; produces; generates; provides that something	gold
78	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
79	impact means effect	nongold
80	less is the opposite of more	nongold
81	the Earth revolves around the sun	nongold
82	as distance to an object increases , that object will appear smaller	nongold
83	a white dwarf is a kind of star	nongold
84	a source of something increases the amount of that something	nongold
85	as a person in the northern hemisphere moves south , distance from the equator will decrease	nongold
86	the sun is a source of radiation; heat called sunlight	nongold
87	too much is similar to increase	nongold
88	extreme means very high in value	nongold
89	measuring is used for describing an object	nongold
90	low is the opposite of high	nongold
91	a type is synonymous with a kind	nongold
92	stars can be classified by temperature; color; chemical composition; brightness	nongold
93	to slow; to slow down decreases speed	nongold
94	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
95	constant means not changing	nongold
96	as distance from a source of light increases , that source of  light will appear dimmer	nongold
97	to enhance means to increase	nongold
98	if something causes an increase in something else then that something produces that something else	nongold
99	heat means temperature increases	nongold
