Question	Animals use resources in the environment to survive. Which of the following resources does an animal use for energy?	question
Answer	food	answer
0	food is a source of energy for animals; plants	gold
1	an animal; living thing requires nutrients for survival	nongold
2	resources sometimes are used for energy	nongold
3	food is a kind of resource	gold
4	living things all require energy for survival	nongold
5	a plant; living thing requires food for survival	nongold
6	an animal is a kind of living thing	nongold
7	to be used for something means to be required by that something	nongold
8	nutrients are a source of energy for living things	nongold
9	an animal is a kind of organism	nongold
10	a food contains nutrients for living things	nongold
11	a producer is a kind of living thing	nongold
12	an animal needs to eat food for nutrients	nongold
13	to depend on; to rely on; to need means to require	nongold
14	to use means to utilize	nongold
15	a producer is a source of energy for consumers	nongold
16	an organism is a living thing	nongold
17	consumption means use	nongold
18	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
19	an animal is a kind of consumer	nongold
20	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
21	survive means live	nongold
22	survive means live	nongold
23	green plants are a kind of producer	nongold
24	organisms are a part of an environment	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	animals are a renewable resource	nongold
27	life means living things	nongold
28	an energy source is a kind of resource	nongold
29	a human is a kind of animal	nongold
30	dying is the opposite of living; surviving	nongold
31	food is a kind of substance	nongold
32	survival means to survive	nongold
33	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
34	to eat means to consume food	nongold
35	surroundings means environment	nongold
36	if a living thing requires something then that something has a positive impact on that living thing	nongold
37	food is a kind of chemical energy	nongold
38	an organism requires energy for growth; repair	nongold
39	nutrients are a kind of resource	nongold
40	food is what an animal eats	nongold
41	a producer is a source of sugar; food energy in an ecosystem	nongold
42	In the food chain process a  green plant has the role of  producer	nongold
43	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
44	a producer produces its own food	nongold
45	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
46	an environment means an area	nongold
47	producer is a kind of role in the food chain process; in an ecosystem	nongold
48	prey is a kind of food for predators	nongold
49	being used for is similar to providing	nongold
50	an animal requires enough nutrients to maintain good health; survive	nongold
51	living things eat their food source	nongold
52	a living thing is a kind of object	nongold
53	a plant is a kind of organism	nongold
54	an environment is similar to an ecosystem	nongold
55	living things require respiration to use energy	nongold
56	if a living thing is destroyed then the resources used by that living thing will become available	nongold
57	animals; living things live and feed in their habitats; near their habitats	nongold
58	a consumer is a kind of organism	nongold
59	heat is a kind of energy	nongold
60	plants are a kind of resource	nongold
61	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
62	a plant is a kind of living thing	nongold
63	solar energy is a kind of energy	nongold
64	a material is a kind of resource	nongold
65	to power means to provide energy for	nongold
66	an animal requires a habitat for survival	nongold
67	if something requires something else then that something requires a source of that something else	nongold
68	energy flows in an ecosystem through food chains	nongold
69	to provide something means to be the source of that something	nongold
70	where something  comes from is a source of that something	nongold
71	if something transfers something else then that something is a source of something else	nongold
72	a mammal is a kind of animal	nongold
73	a supply of something is a source of that something	nongold
74	if something comes from something else then that something else is a source of that something	nongold
75	an object; material; substance comes from that object or material's source	nongold
76	organisms mean life	nongold
77	person is synonymous with human	nongold
78	fossil fuels are a kind of energy resource	nongold
79	a component means a part of	nongold
80	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
81	objects in an environment are a part of that environment	nongold
82	a source of something increases the amount of that something	nongold
83	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
84	chemical energy is a kind of energy	nongold
85	a predator eats other animals for food	nongold
86	food contains carbohydrates	nongold
87	changes in an environment cause animals; plants to adapt to survive	nongold
88	plants are a part of the environment	nongold
89	if something causes a process then that something is required for that process	nongold
90	food is a kind of object	nongold
91	generate means produce	nongold
92	if something is required for a process then that something positively impacts that process	nongold
93	heat means heat energy	nongold
94	consumers eat other organisms	nongold
95	the function of something is what that something  is used to do	nongold
96	if something generates energy for something else then that something powers that something else	nongold
97	to produce means to provide	nongold
98	oil is a kind of energy resource	nongold
99	a component of something means a part of that something	nongold
