Question	Life is more likely to be found on a planet whose atmosphere contains abundant	question
Answer	oxygen.	answer
0	abundant means high in number	nongold
1	an animal; bacterium requires oxygen for survival; to breathe	gold
2	life means living things	gold
3	to be found in means to be contained in	gold
4	an animal; living thing requires nutrients for survival	nongold
5	found in means existing in	nongold
6	oxygen rich means a high amount of oxygen	nongold
7	an organism is a living thing	nongold
8	if something is located  in somewhere , then something can be found in somewhere	nongold
9	if something is a part of something then that something can be found in that something	nongold
10	amount is similar to abundance	nongold
11	oxygen is more common than hydrogen on Earth	nongold
12	a planet is a kind of celestial object; body	nongold
13	contains means located in	gold
14	a planet is a kind of location	nongold
15	the atmosphere contains gases; liquids; solids	nongold
16	atmosphere means  air	nongold
17	if something is a part of something else then that something else contains that something	nongold
18	Earth is a kind of planet	nongold
19	often is similar to likely	nongold
20	a planet is a kind of place	gold
21	if something does not contain something else then that something lacks that something else	nongold
22	a food contains nutrients for living things	nongold
23	made of is similar to contains	nongold
24	to contain something means to have that something	nongold
25	if something is made of something; a material then that something contains that something; that material	nongold
26	if the population of an animal decreases then that animal may no longer be found in that place	nongold
27	carbon dioxide can be found in the air	nongold
28	if a planet contains liquid water , then life can develop on that planet	nongold
29	contain is similar to store	nongold
30	death means to die	nongold
31	an animal is a kind of organism	nongold
32	if something is located in some place , then the presence of that something can be found in that location	nongold
33	an animal is a kind of living thing	gold
34	if something absorbs something else then that something will contain that something else	nongold
35	made up of means contains; made of	nongold
36	nonliving; non-living; die is the opposite of living; alive; live	nongold
37	a planet contains environments	nongold
38	oxygen is a kind of resource	nongold
39	a human is a kind of animal	nongold
40	more likely means increased likelihood	nongold
41	if something is a source of something else then that something usually contains that something else	nongold
42	organisms mean life	nongold
43	to contain means to have inside	nongold
44	to cause an event means to make that event more likely	nongold
45	an environment is a kind of place	nongold
46	oxygen is a kind of gas at room temperature	nongold
47	dying is the opposite of living; surviving	nongold
48	a plant; living thing requires food for survival	nongold
49	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
50	an animal requires air for survival	nongold
51	seeking something means trying to find; searching for something	nongold
52	high is similar to increase	nongold
53	oxygen  is a kind of element	nongold
54	carbon dioxide is a kind of gas	nongold
55	to discover means to find	nongold
56	a living thing is a kind of object	nongold
57	usually something can be found  near a source in greater concentrations	nongold
58	atmospheric means of the atmosphere	nongold
59	air is a kind of gas	nongold
60	less is similar to decrease	nongold
61	human is a kind of organism	nongold
62	organisms are a part of an environment	nongold
63	food contains carbohydrates	nongold
64	an increase is the opposite of a decrease	nongold
65	planets are found in space	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	increase means more	nongold
68	if something required by something else is in a place then that something else may be in that place	gold
69	organisms can be found in their habitats	nongold
70	survive means live	nongold
71	survive means live	nongold
72	if something contains something , then something is able to provide something	nongold
73	to depend on; to rely on; to need means to require	nongold
74	less is the opposite of more	nongold
75	lifetime is similar to life cycle	nongold
76	organisms are made of carbon	nongold
77	biotic means living	nongold
78	search for means seek to find	nongold
79	celestial bodies; celestial objects are found in space	nongold
80	plants are a source of oxygen through photosynthesis	nongold
81	can be means able to be	nongold
82	negative impact is the opposite of positive impact	nongold
83	Mars is a kind of planet	nongold
84	something that contains water is similar to a body of water	nongold
85	if a living thing requires something then that something has a positive impact on that living thing	nongold
86	including means containing	nongold
87	containing something is similar to providing that something	nongold
88	a state is a kind of place	nongold
89	water vapor is found in the atmosphere	nongold
90	all living things have life cycles	nongold
91	hydrogen contains chemical energy	nongold
92	answering questions requires information	nongold
93	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
94	air is a part of the environment	nongold
95	gaseous means of gas	nongold
96	once-living means dead	nongold
97	photosynthesis is a source of oxygen	nongold
98	low is similar to decrease	nongold
99	objects contain chemical energy	nongold
