Question	All organisms classified in kingdom Animalia must also be classified as which of the following?	question
Answer	Eukaryota	answer
0	an animal is a kind of eukaryote	gold
1	a kingdom is a kind of taxonomic rank	nongold
2	animals are a part of the biological kingdom Animalia	gold
3	eukaryotes are a part of the biological domain Eukaryota	gold
4	biological kingdoms are made of organisms	nongold
5	a fungus is a kind of eukaryote	nongold
6	Fungi is a kind of biological kingdom	nongold
7	classifying is when one sorts something by kind; type	gold
8	a kind of something is classified as that something	nongold
9	classifying means grouping objects; materials by their properties	nongold
10	Plantae is a kind of biological kingdom	nongold
11	Protista is a kind of biological kingdom	nongold
12	category means kind	nongold
13	to belong to a class means to be a kind of something	nongold
14	including means containing	nongold
15	an animal is a kind of organism	gold
16	an organism is a living thing	nongold
17	an animal is a kind of living thing	nongold
18	to categorize means to classify	nongold
19	a type is synonymous with a kind	nongold
20	fungi are part of the biological kingdom Fungi	nongold
21	mammals is a kind of class	nongold
22	to belong to a group means to be classified in that group	nongold
23	a diatom is a kind of organism	nongold
24	must have means require	nongold
25	organisms mean life	nongold
26	biotic means living	nongold
27	to classify means to decide what class something belongs to	nongold
28	a domain is the broadest group into which organisms can be classified	nongold
29	an animal is a member of an animal species	nongold
30	classify is similar to characterize	nongold
31	paramecia are a part of the biological kingdom Protista	nongold
32	to tell the difference between things means to classify those things	nongold
33	classification is a kind of process	nongold
34	a protozoan is a kind of animal	nongold
35	species means a group of like organisms	nongold
36	if two organisms are more closely related , then the two  organisms will be classifed in a class	nongold
37	classifying requires comparing	nongold
38	a living thing is a kind of object	nongold
39	a structure of something is synonymous with a part of that something	nongold
40	plants are part of the bilogical kingdom Plantae	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	answering questions requires information	nongold
43	living things can all reproduce	nongold
44	form means kind	nongold
45	life means living things	nongold
46	genetic; hereditary means of genes; heredity	nongold
47	to belong to a group means to be a kind of something	nongold
48	all living things have life cycles	nongold
49	sorting is similar to classifying	nongold
50	all the other means the rest of	nongold
51	the properties of something are used for describing that something	nongold
52	composed of means made of	nongold
53	to be made of something means to be formed of that something	nongold
54	unique  is the opposite of diverse	nongold
55	if something is made of something else then that something can be broken down into that something else	nongold
56	certain is similar to specific	nongold
57	identical means copy	nongold
58	genes can be used for classifying  organisms	nongold
59	made of is similar to contains	nongold
60	to be found in means to be contained in	nongold
61	trait is synonymous with characteristic	nongold
62	affected means changed	nongold
63	a component means a part of	nongold
64	if something is a part of something then that something can be found in that something	nongold
65	organizing is sorting something by their properties in order	nongold
66	made up of means contains; made of	nongold
67	biological means of biology	nongold
68	according to is similar to be determined by	nongold
69	euglena is a kind of organism	nongold
70	a living thing is made of cells	nongold
71	an animal; living thing requires nutrients for survival	nongold
72	if something is a part of something else then that something else contains that something	nongold
73	trait means property	nongold
74	unit is similar to part	nongold
75	the properties of something can be used to identify; used to describe that something	nongold
76	to be made of means to consist of	nongold
77	something's function can be used to describe; identify that something	nongold
78	examining structures at the molecular level is being used to reclassify organisms	nongold
79	usually means most of the time	nongold
80	found in means existing in	nongold
81	United Kingdom is located in the northern hemisphere	nongold
82	a component of something means a part of that something	nongold
83	if something is made of something else then the formation of that something requires that something else	nongold
84	an object is made of its parts	nongold
85	a diatom is a kind of producer	nongold
86	no longer means used to be	nongold
87	an insect is a kind of animal	nongold
88	to be formed by is similar to being produced by	nongold
89	a producer is a kind of living thing	nongold
90	a part of something means a characteristic of something	nongold
91	to contain means to have inside	nongold
92	can be means able to be	nongold
93	a source of something emits; produces; generates; provides that something	nongold
94	generally means usually	nongold
95	if something is made of something; a material then that something contains that something; that material	nongold
96	composition means the (materials, substances) of which something is composed	nongold
97	heredity is similar to inheritance	nongold
98	to modify means to change	nongold
99	a fungus is a kind of organism	nongold
