Question	During its lifetime, which object is known to change in brightness, color, and temperature?	question
Answer	star	answer
0	the Sun is a kind of star	nongold
1	temperature changing does not cause color to change	nongold
2	a star's surface temperature causes the star's  color	nongold
3	a star produces light and heat	nongold
4	bright means bright; light in color	nongold
5	an increase is a kind of change	nongold
6	stars can be classified by temperature; color; chemical composition; brightness	gold
7	to change means to cause a change	nongold
8	brightness means amount of light	nongold
9	sunlight is a kind of light	nongold
10	the sun is a source of light; light energy called sunlight	nongold
11	a star is usually larger than a planet	nongold
12	brighter means higher; greater in brightness	nongold
13	color is a property of  an object; a material	nongold
14	high is similar to increase	nongold
15	a white dwarf is a kind of star	nongold
16	the sun is a kind of yellow dwarf	nongold
17	brightness is a property of a light source	nongold
18	the Sun has average brightness compared to other stars	nongold
19	yellow dwarf is a kind of small star	nongold
20	to add means to increase	nongold
21	stars change type during their life cycles	gold
22	lifetime is similar to life cycle	gold
23	brightness is a kind of property	nongold
24	to change means to have an effect	nongold
25	a star is a source of light; light energy through nuclear reactions	nongold
26	variable means able to change	nongold
27	affected means changed	nongold
28	a star is a kind of celestial object; celestial body	gold
29	a decrease is a kind of change	nongold
30	temperature is a measure of heat energy	nongold
31	an increase is the opposite of a decrease	nongold
32	light is a kind of wave	nongold
33	color is a kind of physical; visual property	nongold
34	to convert means to change	nongold
35	to turn means to change	nongold
36	if the component of something changed , then the whole thing will change	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
39	if an object reflects a light of a certain color then the object appears to be that color	nongold
40	bright means a lot of light	nongold
41	phase means state	nongold
42	if something used to be in the past then that something  has changed	nongold
43	a star is very hot in temperature	nongold
44	coloration means a thing's color	nongold
45	to happen means to occur	nongold
46	color is an intensive property	nongold
47	to vary means to change	nongold
48	a yellow dwarf is a kind of main-sequence star	nongold
49	constant means not changing	nongold
50	sunlight is a kind of solar energy	nongold
51	a living thing is a kind of object	nongold
52	a star requires energy	nongold
53	temperature changing can cause phase changes	nongold
54	can be means able to be	nongold
55	as amount; size of something increases , the intensive properties of that something will not change	nongold
56	to change means to become different	nongold
57	low is similar to decrease	nongold
58	to slow; to slow down decreases speed	nongold
59	as the temperature of something increases , the intensive properties of that something will not change	nongold
60	an object has properties	nongold
61	main-sequences stars are a kind of star	nongold
62	a white dwarf is the last stage in the life cycle of a star	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	a star's type is determined by the star's mass	nongold
65	to cause means to have an effect	nongold
66	a type is synonymous with a kind	nongold
67	to remain means to not change	nongold
68	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	nongold
69	knowing the properties of something means knowing information about that something	nongold
70	the sun is not a star in the night sky	nongold
71	variation means change	nongold
72	change is a kind of process	nongold
73	form means kind	nongold
74	the sun is average in temperature  for a star in our galaxy	nongold
75	Proxima Centauri is a kind of star	nongold
76	intense means extreme	nongold
77	to give is similar to to cause	nongold
78	to lower means to decrease	nongold
79	stay the same means not changing	nongold
80	a cycle happens; occurs repeatedly	nongold
81	little is similar to decrease	nongold
82	extreme means very high in value	nongold
83	not is similar to the opposite of	nongold
84	dark is the opposite of light	nongold
85	a galaxy is made of stars	nongold
86	refracting sunlight; light causes sunlight; light to split into different colors	nongold
87	to modify means to change	nongold
88	sunlight means solar energy	nongold
89	a planet is a kind of celestial object; body	nongold
90	dark means dark in color	nongold
91	stars spend most of their life cycle in the main sequence stage	nongold
92	intense means high in intensity	nongold
93	adding something is a kind of change	nongold
94	less is similar to decrease	nongold
95	stars make their own light	nongold
96	a change is a kind of event	nongold
97	as the size of a source of light increases , that source of light will appear brighter	nongold
98	blue is a kind of color	nongold
99	a star is made of gases	nongold
