Question	A decomposer is an organism that	question
Answer	recycles nutrients	answer
0	a decomposer is a kind of living thing	gold
1	a decomposer is usually a bacterium; fungus	nongold
2	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
3	a bacterium is a kind of decomposer	nongold
4	dead organisms are the source of nutrients for decomposers	nongold
5	a microorganism is a kind of decomposer	nongold
6	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
7	a worm is a kind of decomposer	nongold
8	decomposition is when a decomposer breaks down dead organisms	nongold
9	to decompose means to decay	nongold
10	In the food chain process bacteria have the role of decomposer	nongold
11	In the food chain process fungi have the role of decomposer	nongold
12	an organism is a living thing	gold
13	an animal is a kind of organism	nongold
14	an earthworm is a kind of decomposer	nongold
15	an animal is a kind of living thing	nongold
16	a plant is a kind of organism	nongold
17	to recycle means return	nongold
18	a food contains nutrients for living things	nongold
19	dead organisms decay	nongold
20	decomposition is a stage in the nutrient recycling process	nongold
21	dead organisms are a kind of waste	nongold
22	nutrients are a kind of material	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	decomposition is a kind of process	nongold
25	nutrients are a kind of substance	nongold
26	a fungus is a kind of organism	nongold
27	a plant is a kind of living thing	nongold
28	organisms mean life	nongold
29	an animal is a kind of consumer	nongold
30	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
31	a living thing is a kind of object	nongold
32	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
33	a consumer is a kind of organism	nongold
34	a fungus is a kind of living thing	nongold
35	a bacterium is a kind of organism	nongold
36	remains mean parts of a dead organism	nongold
37	death means to die	nongold
38	a plant; living thing requires food for survival	nongold
39	dead plants means dead plant material	nongold
40	answering questions requires information	nongold
41	if some nutrients are in the soil then those nutrients are in the food chain	nongold
42	remains is similar to dead organisms	nongold
43	living things eat their food source	nongold
44	green plants are a kind of producer	nongold
45	nutrients are a kind of matter	nongold
46	a producer is a kind of living thing	nongold
47	life means living things	nongold
48	all living things eliminate waste	nongold
49	nonliving; non-living; die is the opposite of living; alive; live	nongold
50	a process is a kind of event	nongold
51	if something is a raw material in a process then that something is required for that process	nongold
52	a human is a kind of animal	nongold
53	a nutrient is a kind of object	nongold
54	a vegetable is a kind of plant	nongold
55	nutrients are a kind of resource	nongold
56	arteries; veins transport nutrients; water; minerals throughout the body	nongold
57	food is what an animal eats	nongold
58	to digest means to break down food	nongold
59	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
60	a part of a process means a stage in a process	nongold
61	deplete is similar to decrease	nongold
62	an organism is made of organic matter	nongold
63	an organism is a source of organic material	nongold
64	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
65	a vegetable is a kind of food	nongold
66	if a living thing dies then that living thing is dead	nongold
67	bacteria is a kind of living thing	nongold
68	food is a kind of object	nongold
69	an event is a kind of action	nongold
70	recycling means reusing	nongold
71	a tree is a kind of plant	nongold
72	food is a kind of substance	nongold
73	decomposition is a stage in the carbon cycle process	nongold
74	if something causes a process then that something is required for that process	nongold
75	dehydrating food is used for preserving food	nongold
76	a process usually requires all of the stages in that process	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	a fungus is a kind of eukaryote	nongold
79	destruction means to destroy	nongold
80	a worm is a kind of animal	nongold
81	recycling is similar to reusing	nongold
82	a nutrient is a kind of chemical compound	nongold
83	the body of an animal contains arteries; veins	nongold
84	In the food chain process a  green plant has the role of  producer	nongold
85	person is synonymous with human	nongold
86	a tree is a kind of living thing	nongold
87	human is a kind of organism	nongold
88	an animal needs to eat food for nutrients	nongold
89	food contains carbohydrates	nongold
90	a leaf is a kind of plant	nongold
91	cellular respiration is cellular digestion	nongold
92	an organism is a source of organic matter	nongold
93	a diatom is a kind of organism	nongold
94	organisms are a part of an environment	nongold
95	weeds use up nutrients	nongold
96	cellular respiration is a kind of process	nongold
97	nutrients are a source of energy for living things	nongold
98	if a plant dies then that plant will not produce food	nongold
99	to decompose means to separate	nongold
