Question	What tool is used to determine the mass of an object?	question
Answer	Balance	answer
0	a balance is used for measuring mass;weight of an object; of a substance	gold
1	a balance is a kind of instrument for measuring mass; measuring weight	gold
2	determining often requires measuring; observing	gold
3	instrument means tool	gold
4	determine is similar to cause	nongold
5	unbalanced is the opposite of balanced	nongold
6	a tool is a kind of object	nongold
7	mass is a measure of the amount of matter in an object	nongold
8	weight is a measure of the force of the gravity on the mass of an object	nongold
9	mass; weight is a property of matter; objects; materials	nongold
10	mass is a property of objects; matter	nongold
11	particles in objects are a kind of matter	nongold
12	a surface is a part of an object	nongold
13	weight means the force of gravity acting on an object	nongold
14	the mass of an object causes the gravitational force exerted by that object	nongold
15	determining is similar to controlling	nongold
16	a weight is a kind of object	nongold
17	a surface is a part of a material	nongold
18	Weight is  the  force of gravity acting on an object	nongold
19	a surface is a kind of object	nongold
20	a living thing is a kind of object	nongold
21	device means tool	nongold
22	motion; movement means moving; to move	nongold
23	identifying is similar to determining	nongold
24	objects are made of materials; substances; matter	nongold
25	the function of something is what that something  is used to do	nongold
26	pulling is a kind of motion	nongold
27	weight is a property of objects; matter	nongold
28	a human is a kind of animal	nongold
29	variable means able to change	nongold
30	high is similar to increase	nongold
31	increase means more	nongold
32	as the mass of an object increases ,  the weight of that object will increase	nongold
33	an part of an object is smaller than the entire object	nongold
34	a particle is a kind of object	nongold
35	as the mass of an object increases , the force of gravity on that object will increase	nongold
36	rotation is a kind of motion	nongold
37	rolling is a kind of motion	nongold
38	an animal is a kind of living thing	nongold
39	seconds are used to measure time	nongold
40	density is a measure of mass of an object over volume; divided by volume	nongold
41	counter means reduce; stop; resist	nongold
42	seconds are a kind of unit for measuring time	nongold
43	a motion is a kind of event; action	nongold
44	to lower means to decrease	nongold
45	according to is similar to be determined by	nongold
46	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
47	answering questions requires information	nongold
48	an increase is a kind of change	nongold
49	speed is a measure of how fast an object is moving	nongold
50	if two balanced forces act on an object in opposite directions then that object will remain stationary	nongold
51	trade-off means balancing  the negative impact and the positive impact	nongold
52	as state of matter changes , mass will not change	nongold
53	speed is a property of an object and includes values of slow; fast	nongold
54	lowering is a kind of motion	nongold
55	as the force  of gravity changes , the weight of the object will change	nongold
56	an increase is the opposite of a decrease	nongold
57	speed up means increase	nongold
58	mass is a kind of physical property	nongold
59	hitting is a kind of motion	nongold
60	a rotation is a kind of movement	nongold
61	low means down	nongold
62	an animal is a kind of organism	nongold
63	as the mass of an object increases , the force required to push that object will increase	nongold
64	setting is a kind of motion	nongold
65	to slow; to slow down decreases speed	nongold
66	when an object moves , that object loses its relative fixed position	nongold
67	a roll is a kind of movement	nongold
68	exerting force on an object means a force acts on an object	nongold
69	a pull is a kind of force	nongold
70	a rock is a kind of object	nongold
71	a force is a kind of push or pull on an object	nongold
72	heavy means a large amount of weight	nongold
73	gravity is a kind of force	nongold
74	motion is when moves an object; something to a direction	nongold
75	as the force  of gravity changes , the mass of the object will stay the same	nongold
76	binary stars can be used to determine a star's mass	nongold
77	material means substance	nongold
78	low is similar to decrease	nongold
79	movement is a kind of change	nongold
80	an event is a kind of action	nongold
81	a factor impacts something	nongold
82	affected means changed	nongold
83	an object exerts an upward force objects that sit on that object	nongold
84	skidding is a kind of motion	nongold
85	work is a measure of the product of force and distance	nongold
86	if an  object has a larger mass than another object , then the  object has more inertia than the other object	nongold
87	friction occurs when two object's surfaces move against each other	nongold
88	solid is a kind of state of matter	nongold
89	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
90	as the pressure on an object increases , the mass of the object will stay the same	nongold
91	inertia is a property of mass	nongold
92	a component of something means a part of that something	nongold
93	can be means able to be	nongold
94	raising is a kind of motion	nongold
95	substances are made of matter	nongold
96	pushing an object requires force	nongold
97	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
98	weight is a kind of property	nongold
99	rubbing  is a kind of motion	nongold
