Question	Heat, light, and sound are all different forms of ___.	question
Answer	energy	answer
0	form means kind	gold
1	heat is a kind of energy	gold
2	heat means heat energy	nongold
3	light is a kind of energy	nongold
4	light is a kind of energy	gold
5	sound is a kind of sound energy	nongold
6	sound is a kind of energy	gold
7	sound means sound energy	nongold
8	light means light energy	nongold
9	temperature is a measure of heat energy	nongold
10	solar energy is a kind of heat energy	nongold
11	solar energy is a kind of light	nongold
12	solar energy is a kind of energy	nongold
13	state means form	nongold
14	sunlight is a kind of solar energy	nongold
15	sunlight is a kind of light	nongold
16	reflecting light; sound is the opposite of absorbing light; sound	nongold
17	different is the opposite of the same	nongold
18	to change into means to form	nongold
19	heating means adding heat	nongold
20	electrical energy is a kind of energy	nongold
21	all elements are a kind of pure substance	nongold
22	thermal energy is a kind of energy	nongold
23	heat energy can change the state of matter	nongold
24	to change means to become different	nongold
25	radiant energy  is a kind of energy	nongold
26	chemical energy is a kind of energy	nongold
27	to form means to create	nongold
28	absorbing energy causes objects; materials; substances to heat	nongold
29	to add means to increase	nongold
30	to be made of something means to be formed of that something	nongold
31	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
32	energy transformation means one kind of energy changes into another kind of energy	nongold
33	a star produces light and heat	nongold
34	light is a kind of wave	nongold
35	a source of something emits; produces; generates; provides that something	nongold
36	objects are made of materials; substances; matter	nongold
37	both means two	nongold
38	a human is a kind of animal	nongold
39	sunlight means solar energy	nongold
40	sound waves means sound energy	nongold
41	to generate means to form	nongold
42	electromagnetic energy is a kind of energy	nongold
43	a living thing is a kind of object	nongold
44	substances are made of matter	nongold
45	if something generates energy for something else then that something powers that something else	nongold
46	sunlight produces heat	nongold
47	if something transfers something else then that something is a source of something else	nongold
48	mechanical energy is a kind of energy	nongold
49	fire transfers heat through waves	nongold
50	to make means to form	nongold
51	sound is produced when mechanical energy is transformed into sound energy	nongold
52	heat energy  can be used to heat up  an object	nongold
53	an animal is a kind of living thing	nongold
54	fire gives off light; heat; smoke	nongold
55	to be a combination of means to be made of	nongold
56	an object; material; substance comes from that object or material's source	nongold
57	a source of something increases the amount of that something	nongold
58	opposite is a kind of different	nongold
59	if something emits something else then that something increases the amount of that something else	nongold
60	can be means able to be	nongold
61	heat means temperature increases	nongold
62	a physical property is a kind of property	nongold
63	matter; molecules vibrating can cause sound	nongold
64	state of matter at room temperature is a kind of physical property	nongold
65	intense sound energy can move objects	nongold
66	heat energy is synonymous with thermal energy	nongold
67	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
68	different substances usually have different amount of chemical energy	nongold
69	state of matter is a kind of physical property	nongold
70	food is a kind of chemical energy	nongold
71	chemical reactions cause new substances; different substances to form	nongold
72	composed of means made of	nongold
73	materials are made of matter	nongold
74	if something comes from something else then that something else is a source of that something	nongold
75	solid is a kind of state of matter	nongold
76	forming is similar to converting	nongold
77	frequency is a property of a wave; a particel of light; an event	nongold
78	magnetic energy is a kind of energy	nongold
79	material means substance	nongold
80	vibrating matter can produce sound	nongold
81	converting is similar to producing	nongold
82	light is made of photons	nongold
83	affected means changed	nongold
84	a source of heat can be used to heat something	nongold
85	a source of heat can be used to heat something	nongold
86	radiation is when electromagnetic waves transfers heat and light energy	nongold
87	an object is made of its parts	nongold
88	UV light is a kind of light	nongold
89	an event is a kind of action	nongold
90	adding heat means increasing temperature	nongold
91	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
92	composition is a property of an object; matter	nongold
93	to give off means to be the source of	nongold
94	sound waves transfer energy	nongold
95	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
96	the  property of something is the same for the things of same kind	nongold
97	light energy can be used to heat up  an object by radiation	nongold
98	a chemical property is the opposite of a physical property	nongold
99	sound wave is similar to sound	nongold
