Question	Which distance is the smallest for which it is most practical to use the light-year as a unit of measurement?	question
Answer	the distance between the Sun and the center of the Milky Way	answer
0	the Milky Way is a kind of galaxy	gold
1	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	gold
2	a light-year is used for describing long distances	nongold
3	smaller means less; lower in size	nongold
4	largest means greatest in size	nongold
5	shortest means least; smallest in length	nongold
6	light year is a measure of the distance light travels in one year	nongold
7	greatest means largest; highest; most amount of something	nongold
8	the Milky Way is a kind of spiral galaxy	nongold
9	largest amount means most	nongold
10	a star is a kind of celestial object; celestial body	gold
11	larger means greater; higher; more; increase in size	nongold
12	years are a kind of unit for measuring time	nongold
13	the Sun is located near the edge of the Milky Way Galaxy	nongold
14	astronomical unit is a measure of distance between Earth and the Sun	nongold
15	a meter is a kind of unit for measuring distance; measuring length	nongold
16	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
17	the Sun is a kind of star	gold
18	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
19	Earth is located in the Milky Way Galaxy	nongold
20	milk is a kind of liquid at room temperature	nongold
21	the Milky Way galaxy appears as a glowing band across the night sky	nongold
22	the sun is  the largest celestial body in our solar system	nongold
23	meters;centimeters;kilometers are used to describe distance; describe length	nongold
24	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
25	a star is usually larger than a planet	nongold
26	sunlight is a kind of light	nongold
27	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
28	the sun is a kind of yellow dwarf	nongold
29	furthest; farthest means greatest; most; highest in distance	nongold
30	length is a part of size	nongold
31	a planet's  moon is smaller than that planet	nongold
32	the sun is a source of light; light energy called sunlight	nongold
33	a planet is a kind of celestial object; body	nongold
34	larger; bigger is the opposite of smaller	nongold
35	lowest means least in value; amount; number	nongold
36	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
37	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
38	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
39	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
40	astronomy is the study of celestial (objects, bodies)	gold
41	the Sun is the  star that is closest to Earth	nongold
42	a planet's distance from the star causes the length of a planetary year	nongold
43	our Sun is located at the center of our solar system	nongold
44	the sun is a source of radiation; heat called sunlight	nongold
45	days are a kind of unit for measuring time	nongold
46	larger is a kind of difference	nongold
47	the sun is average in size for a star in our galaxy	nongold
48	unit is similar to part	nongold
49	a moon is a kind of celestial object; body	nongold
50	miles are a kind of unit for measuring distance	nongold
51	far means great in distance	nongold
52	small is the opposite of large	nongold
53	most means over 50% of something	nongold
54	distant means great in distance	nongold
55	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
56	Earth is a kind of planet	nongold
57	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
58	decreasing is similar to becoming smaller	nongold
59	less is similar to decrease	nongold
60	the number of parts of something is a property of that something	nongold
61	an part of an object is smaller than the entire object	nongold
62	sunshine means sunlight	nongold
63	little means small	nongold
64	an increase is a kind of change	nongold
65	the Earth revolves around the sun	nongold
66	stars are located light years apart from each other	gold
67	an atom is the smallest particle; unit that has the properties of an element	nongold
68	a star produces light and heat	nongold
69	the sun is the source of solar energy called sunlight	nongold
70	sunlight means solar energy	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
73	1 year is equal to 365 days	nongold
74	liquid is a kind of state of matter	nongold
75	to be used for something means to be required by that something	nongold
76	seconds are a kind of unit for measuring time	nongold
77	property is similar to measurement	nongold
78	a molecule is exceptionally small in size	nongold
79	calculation means measurement	nongold
80	a decrease is a kind of change	nongold
81	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
82	greater means higher; more in value	nongold
83	a molecule is the smallest particle; unit that has the properties of a compound	nongold
84	to create means to make	nongold
85	highest means largest; greatest; most in height	nongold
86	solar energy is a kind of light	nongold
87	an increase is the opposite of a decrease	nongold
88	substances are made of matter	nongold
89	a centimeter is a kind of unit of measurement	nongold
90	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
91	the sun sets in the west	nongold
92	closer means lower; less; a decrease in distance	nongold
93	answering questions requires information	nongold
94	the sun rises in the east	nongold
95	high is similar to increase	nongold
96	light means light energy	nongold
97	to produce means to create	nongold
98	to lower means to decrease	nongold
99	sunlight is a kind of solar energy	nongold
