Question	Which tool is used to determine the mass of an object?	question
Answer	balance	answer
0	a balance is a kind of instrument for measuring mass; measuring weight	gold
1	a balance is used for measuring mass;weight of an object; of a substance	gold
2	determining often requires measuring; observing	gold
3	instrument means tool	gold
4	mass; weight is a property of matter; objects; materials	nongold
5	a tool is a kind of object	nongold
6	mass is a property of objects; matter	nongold
7	weight is a measure of the force of the gravity on the mass of an object	nongold
8	mass is a measure of the amount of matter in an object	nongold
9	determine is similar to cause	nongold
10	motion; movement means moving; to move	nongold
11	density is a measure of mass of an object over volume; divided by volume	nongold
12	a surface is a part of an object	nongold
13	determining is similar to controlling	nongold
14	an instrument is a piece of equipment	nongold
15	a surface is a kind of object	nongold
16	according to is similar to be determined by	nongold
17	mass is a kind of physical property	nongold
18	unbalanced is the opposite of balanced	nongold
19	calculation means measurement	nongold
20	weight means the force of gravity acting on an object	nongold
21	a human is a kind of animal	nongold
22	distance moved; distance travelled is a measure of how far an object moves	nongold
23	the mass of an object causes the gravitational force exerted by that object	nongold
24	Weight is  the  force of gravity acting on an object	nongold
25	a weight is a kind of object	nongold
26	friction occurs when two object's surfaces move against each other	nongold
27	a surface is a part of a material	nongold
28	an part of an object is smaller than the entire object	nongold
29	weight is a property of objects; matter	nongold
30	device means tool	nongold
31	as the mass of an object increases , the force of gravity on that object will increase	nongold
32	objects are made of materials; substances; matter	nongold
33	instrument means device	nongold
34	affected means changed	nongold
35	an increase is a kind of change	nongold
36	a scale is used for measuring weight	nongold
37	a hand is a kind of object	nongold
38	mass is similar to size	nongold
39	identifying is similar to determining	nongold
40	friction is a kind of force	nongold
41	variable means able to change	nongold
42	a living thing is a kind of object	nongold
43	to measure means to calculate	nongold
44	experimentation requires measuring	nongold
45	measuring requires reading a measurement	nongold
46	as the mass of an object increases ,  the weight of that object will increase	nongold
47	a body part is a kind of object	nongold
48	a gram  is a kind of unit for measuring mass	nongold
49	a motion is a kind of event; action	nongold
50	a piece of something is a kind of object	nongold
51	to lift means to move up	nongold
52	speed is a measure of how fast an object is moving	nongold
53	work is a measure of the product of force and distance	nongold
54	movement is a kind of change	nongold
55	an event is a kind of action	nongold
56	extreme means very high in value	nongold
57	a machine is a kind of object	nongold
58	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
59	if a property affects a value then that property is needed to calculate that value	nongold
60	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
61	a ball is a kind of object	nongold
62	measuring is used for describing an object	nongold
63	friction exerts force on moving objects	nongold
64	seconds are used to measure time	nongold
65	a land mass is a kind of object	nongold
66	timing; multiplying is a kind of calculating	nongold
67	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
68	as the mass of an object increases , the force required to push that object will increase	nongold
69	as state of matter changes , mass will not change	nongold
70	as the pressure on an object increases , the mass of the object will stay the same	nongold
71	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
72	length is a measure of distance from one end of an object to the other end of that object	nongold
73	height is a measure of length from the top of an object to the bottom of an object	nongold
74	a vehicle is a kind of object	nongold
75	inertia is a property of mass	nongold
76	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
77	increase means more	nongold
78	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
79	length is a part of size	nongold
80	if an object is made of a material then that object has the properties of that material	nongold
81	form means kind	nongold
82	temperature is a measure of heat energy	nongold
83	to impact means to affect	nongold
84	person is synonymous with human	nongold
85	a meter is a kind of unit for measuring distance; measuring length	nongold
86	heat means heat energy	nongold
87	the volume of an object can be used to describe  the size of that object	nongold
88	calculating speed requires knowing distance travelled	nongold
89	can be means able to be	nongold
90	high is similar to increase	nongold
91	height is a property of the size of an object	nongold
92	if an  object has a larger mass than another object , then the  object has more inertia than the other object	nongold
93	calculating is similar to estimating	nongold
94	locating means determining	nongold
95	the function of something is what that something  is used to do	nongold
96	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
97	seconds are a kind of unit for measuring time	nongold
98	strength is a property of an object; a material	nongold
99	vibration is a kind of motion	nongold
