Question	As water vapor condenses into liquid, which of the following can be formed?	question
Answer	clouds	answer
0	clouds are made of water vapor; rain droplets	nongold
1	condensation causes clouds to form	nongold
2	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	gold
3	condensing causes a liquid to form	nongold
4	a cloud is a kind of object	nongold
5	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
6	a cloud is a kind of weather	nongold
7	to be made of something means to be formed of that something	nongold
8	clouds are located in the atmosphere	nongold
9	vapor is synonymous with gas	nongold
10	steam; water vapor is a kind of water phase	nongold
11	water is a kind of liquid at room temperature	nongold
12	clouds are usually found in the sky	nongold
13	steam;water vapor is a kind of water above 100 degrees celsius	nongold
14	water vapor;steam cooling causes that water vapor;steam to condense	nongold
15	to cause the formation of means to form	nongold
16	water is a kind of substance	nongold
17	temperature is a measure of heat energy	nongold
18	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
19	a liquid is a kind of substance	nongold
20	a liquid is a kind of fluid	nongold
21	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
22	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
23	gas is a kind of substance	nongold
24	to change into means to form	nongold
25	state means form	nongold
26	form means kind	nongold
27	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
28	heat means heat energy	nongold
29	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
30	condensing is when gasses are  cooled below their boiling point	nongold
31	formation of a state of matter is a kind of process	nongold
32	chemical reactions cause new substances; different substances to form	nongold
33	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
34	to be formed by is similar to being produced by	nongold
35	to add means to increase	nongold
36	clouds produce rain	nongold
37	condensing is a kind of  phase change	nongold
38	products are formed; are produced; are created	nongold
39	cloudy means the presence  of clouds in the sky	nongold
40	clouds produce precipitation	nongold
41	forming something is a kind of change	nongold
42	water is a kind of water phase	nongold
43	water vapor condensing in clouds causes rain	nongold
44	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
45	water vapor is found in the atmosphere	nongold
46	gaseous means of gas	nongold
47	liquid is a kind of state of matter	nongold
48	moisture means liquid; liquid water	nongold
49	gas is a kind of state of matter	nongold
50	hot means high in heat energy; temperature	nongold
51	carbon dioxide is a kind of gas	nongold
52	forming is similar to converting	nongold
53	water is a kind of matter	nongold
54	a container contains objects; material; substances	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	Earth contains water; ice; (steam, water vapor)	nongold
57	phase means state	nongold
58	a solid is a kind of substance	nongold
59	steam is a kind of gas	nongold
60	to make means to form	nongold
61	can be means able to be	nongold
62	to form means to create	nongold
63	condensing means liquid water coming together in the air	nongold
64	adding heat means increasing temperature	nongold
65	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
66	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
67	gas is a kind of material	nongold
68	fog is formed by water vapor condensing in the air	nongold
69	An example of interaction between hydrosphere and atmosphere is water vapor rising from oceans to form clouds	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	substances are made of matter	nongold
72	high is similar to increase	nongold
73	humidity is a kind of water vapor	nongold
74	a solution is formed by one substance being dissolved in another substance	nongold
75	condensing is a kind of process	nongold
76	heating means adding heat	nongold
77	to emit means to release	nongold
78	liquid; solid means nongaseous	nongold
79	evaporating is a kind of phase change	nongold
80	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
81	a  gas is a kind of  element	nongold
82	substances are made of elements	nongold
83	steam is hot in temperature	nongold
84	condensation is a kind of process	nongold
85	boiling is when liquids are heated above their boiling point	nongold
86	forming is a kind of replenishing	nongold
87	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
88	solid is a kind of state of matter	nongold
89	emit means produce	nongold
90	a star is formed by collapsing clouds of gas and dust	nongold
91	a beverage is a kind of liquid	nongold
92	to reduce means to decrease	nongold
93	variable means able to change	nongold
94	to generate means to form	nongold
95	air is a kind of gas	nongold
96	An example of moisture is water vapor in the atmosphere	nongold
97	cloudy is a kind of  weather	nongold
98	composed of means made of	nongold
99	boiling is a kind of phase change	nongold
