Question	Sand and iron particles that are similar in size and color are mixed together in a beaker. What would be the best method of separating the particles?	question
Answer	Use a magnet to separate them.	answer
0	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	gold
1	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
2	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
3	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
4	a magnet is a kind of object	nongold
5	sand is always nonmagnetic	gold
6	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
7	sand is made of small particles	nongold
8	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
9	sand  is a kind of substance	nongold
10	sand  is a kind of material	gold
11	sand  is a kind of solid	nongold
12	an electromagnet is a kind of electric magnet	nongold
13	soft iron; iron is always ferromagnetic; magnetic	gold
14	metal is sometimes magnetic	nongold
15	sand is made of very small rocks; minerals	nongold
16	iron is always magnetic	nongold
17	color is a property of  an object; a material	nongold
18	magnetism is a kind of physical property	nongold
19	if something is insoluble in something , then they will remain separated	nongold
20	sand is insoluble in water	nongold
21	sand is insoluble in water	nongold
22	aluminum is a kind of metal	nongold
23	aluminum is a kind of matter	nongold
24	if something contains a large amount of magnetic material then that something will attract magnets	nongold
25	Magnetite is always magnetic	nongold
26	magnetic force means magnetism	nongold
27	steel; carbon steel is always ferromagnetic; magnetic	nongold
28	conductivity is a property of a material; substance	nongold
29	silica sand is a kind of sand	nongold
30	aluminum is always nonmagnetic	nongold
31	metal is a kind of material	gold
32	if two things are made from the same objects; material then those two things are similar	nongold
33	aluminum is a kind of element	nongold
34	a horseshoe magnet is a kind of magnet	nongold
35	beaker is a kind of container	nongold
36	metal is a kind of substance	nongold
37	sand  is a kind of mixture	nongold
38	color is a kind of physical; visual property	nongold
39	iron is a kind of metal	gold
40	a rock is a kind of object	nongold
41	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
42	objects are made of materials; substances; matter	nongold
43	electromagnets generate magnetic fields	nongold
44	a particle is a kind of object	nongold
45	iron is a kind of solid	nongold
46	rock is a kind of material	nongold
47	two objects are usually different in size	nongold
48	decomposing is similar to separating	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	particles in objects are a kind of matter	nongold
51	iron is a kind of element	nongold
52	An example of a mixture is sand; clay; soil mixed together	nongold
53	a mixture of solids can be easily separated	nongold
54	an element is a kind of material	nongold
55	substances are made of elements	nongold
56	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
57	process is similar to method	nongold
58	metal is an  electrical; electrical energy conductor	nongold
59	separate is similar to break down	nongold
60	a metal is a kind of element	nongold
61	magnetism can affect objects that are not touching	nongold
62	material means substance	nongold
63	particles in a liquid are close to each other	nongold
64	a magnet contains a north pole; south pole	nongold
65	a device is a kind of object	nongold
66	steel is a kind of metal	nongold
67	evaporation can be used for separating a mixture of a liquid and a solid	nongold
68	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
69	zinc is always nonmagnetic	nongold
70	conductivity is a kind of physical property	nongold
71	particles in a solid are closer together than particles in a liquid	nongold
72	coloration means a thing's color	nongold
73	magnetism can cause objects to repel each other	nongold
74	glass is made of sand	nongold
75	an electromagnet contains a wire; cylindrical ferrous metal	nongold
76	matter; materials; substances are made of atoms; particles	gold
77	if something is made of something; a material then that something contains that something; that material	nongold
78	metals are made of metal	nongold
79	all elements are a kind of pure substance	nongold
80	an element is a kind of  substance	nongold
81	clay is always nonmagnetic	nongold
82	an electromagnet is a kind of device	nongold
83	clay is a kind of material	nongold
84	sand is similar to soil	nongold
85	an insulator is a kind of material	nongold
86	an part of an object is smaller than the entire object	nongold
87	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
88	magnetic attraction pulls two objects together	nongold
89	substances are made of matter	nongold
90	if a substance is made of one element , then the substance is called an element	nongold
91	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
92	combining; mixing two substances chemically causes chemical reactions	nongold
93	charged particles are a kind of high-energy particles	nongold
94	zinc is a kind of metal	nongold
95	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
96	materials are made of matter	nongold
97	aluminum is recyclable	nongold
98	if an object is made of something then the parts of that object are made of that something	nongold
99	a mixture usually is made of objects with different physical properties	nongold
