Question	Many stars can be seen in the sky at night. Which statement best explains why the Sun appears brighter than the stars seen in the night sky?	question
Answer	The Sun is closer to Earth than the stars seen in the night sky.	answer
0	the Sun is the  star that is closest to Earth	gold
1	the sun is not a star in the night sky	nongold
2	the stars in the night sky are very far away from the Earth	gold
3	near; close is the opposite of far; away	nongold
4	far is the opposite of close	gold
5	as a source of light becomes closer , that source will appear brighter	gold
6	near means close	nongold
7	closer means lower; less; a decrease in distance	nongold
8	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
9	the Sun is a kind of star	nongold
10	brighter means higher; greater in brightness	nongold
11	close means low in distance	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	sunlight is a kind of light	nongold
14	the sun is a source of light; light energy called sunlight	gold
15	Earth is a kind of planet	nongold
16	a star produces light and heat	nongold
17	proximity means distance	nongold
18	many means high in number	nongold
19	far means great in distance	nongold
20	high is similar to increase	nongold
21	bright means a lot of light	nongold
22	toward is the opposite of away	nongold
23	an increase is the opposite of a decrease	nongold
24	night is low in light; in visibility	nongold
25	how something  appears is how that something  looks	nongold
26	a planet is a kind of celestial object; body	nongold
27	towards means closer to something	nongold
28	Earth is a planet that is closer to the  Sun than Jupiter	nongold
29	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
30	to add means to increase	nongold
31	sunlight means solar energy	nongold
32	sunlight is a kind of solar energy	nongold
33	furthest; farthest means greatest; most; highest in distance	nongold
34	best means most positive	nongold
35	distance is a property of space and includes ordered values of close; far	nongold
36	as the size of a source of light increases , that source of light will appear brighter	nongold
37	dimmer is the opposite of brighter	nongold
38	the Sun has average brightness compared to other stars	nongold
39	Earth is the planet that is third closest to the  Sun	nongold
40	low is similar to decrease	nongold
41	brightness means amount of light	nongold
42	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
43	a star is usually larger than a planet	nongold
44	astronomy is the study of celestial (objects, bodies)	nongold
45	if an object is close then that object will appear large	nongold
46	light means light energy	nongold
47	can be means able to be	nongold
48	appear is similar to apparent	nongold
49	seeing requires light	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	distant means great in distance	nongold
52	distant means far away	nongold
53	occur is similar to appear	nongold
54	being in the sun is synonymous with being in the sunlight	nongold
55	intensity of sunlight is similar to amount of sunlight	nongold
56	to be in the sun means to be in the sunlight	nongold
57	appearing is similar to seeming	nongold
58	as the light reflected off of an object increases , the object will appear to be brighter	nongold
59	an increase is a kind of change	nongold
60	dark is the opposite of light	nongold
61	sunlight produces heat	nongold
62	variable means able to change	nongold
63	stars appear to move relative to the horizon during the night	nongold
64	greatest means largest; highest; most amount of something	nongold
65	low is the opposite of high	nongold
66	to see means to look	nongold
67	definite is the opposite of variable	nongold
68	stars make their own light	nongold
69	the sun is the source of solar energy called sunlight	nongold
70	to lower means to decrease	nongold
71	if something is caused by something else , then that something can be explained by that something else	nongold
72	the sun is a kind of yellow dwarf	nongold
73	higher means greater; above in value; amount; number	nongold
74	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
75	to change means to become different	nongold
76	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	nongold
77	sunshine means sunlight	nongold
78	light is a kind of energy	nongold
79	light is a kind of energy	nongold
80	dark means a low amount of light	nongold
81	affected means changed	nongold
82	greater means higher; more in value	nongold
83	less is similar to decrease	nongold
84	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
85	stars can be classified by temperature; color; chemical composition; brightness	nongold
86	as distance from a source of light increases , that source of  light will appear dimmer	nongold
87	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
88	to convert means to change	nongold
89	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
90	sight means to see	nongold
91	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
92	to view means to see	nongold
93	form means kind	nongold
94	the sunlight occurs during the day	nongold
95	darkness occurs at night	nongold
96	lowest means least in value; amount; number	nongold
97	not is similar to the opposite of	nongold
98	if it is night then the sun has set	nongold
99	a star is a source of light; light energy through nuclear reactions	nongold
