Question	Which resource has the most potential for production of renewable electric energy?	question
Answer	geothermal	answer
0	geothermal energy is a renewable resource	gold
1	producing renewable electric energy requires renewable resources	gold
2	fossil fuels have high potential energy	nongold
3	renewable is the opposite of nonrenewable	nongold
4	a source of something emits; produces; generates; provides that something	nongold
5	potential energy is a kind of energy	nongold
6	electricity means electrical energy	nongold
7	producing is a kind of process	nongold
8	green plants are a kind of producer	nongold
9	generate means produce	nongold
10	potential is a kind of ability	nongold
11	a producer is a kind of living thing	nongold
12	potential energy means stored energy	nongold
13	converting is similar to producing	nongold
14	an energy source is a kind of resource	nongold
15	fossil fuels are a nonrenewable resource	nongold
16	fossil fuels are a kind of energy resource	nongold
17	a producer is a source of energy for consumers	nongold
18	a fossil fuel is a kind of natural resource	nongold
19	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
20	resources sometimes are used for energy	nongold
21	electrical energy is a kind of energy	nongold
22	if something is a raw material in a process then that something is required for that process	nongold
23	geothermal energy is formed by magma heating Earth's crust	nongold
24	development is similar to production	nongold
25	a renewable resource is a kind of naturally replaced resource	nongold
26	a renewable resource is a kind of natural resource	nongold
27	emit means produce	nongold
28	renewable resources are often available for many years	nongold
29	most means over 50% of something	nongold
30	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
31	if something requires something else then that something requires a source of that something else	nongold
32	coal is a kind of fossil fuel	nongold
33	high is similar to increase	nongold
34	if something causes a process then that something is required for that process	nongold
35	plants are a kind of resource	nongold
36	if something is powered by something else then that something requires a source of that something else	nongold
37	natural gas is a nonrenewable resource	nongold
38	if something is a raw material then that something comes directly from a source	nongold
39	to power means to provide energy for	nongold
40	if something causes an increase in something else then that something produces that something else	nongold
41	make means produce	nongold
42	electricity is used as an energy source by electrical devices	nongold
43	an event is a kind of action	nongold
44	oil is a kind of fossil fuel	nongold
45	solar energy is a renewable; inexhaustible resource	nongold
46	coal is a nonrenewable resource	nongold
47	a nonrenewable resource is limited in supply	nongold
48	an inexhaustible resource is a kind of renewable resource	nongold
49	to produce means to provide	nongold
50	oil is used for producing electricity	nongold
51	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
52	a process is a kind of event	nongold
53	sunlight produces heat	nongold
54	natural gas is a kind of fossil fuel	nongold
55	to be used for something means to be required by that something	nongold
56	if something generates energy for something else then that something powers that something else	nongold
57	if something comes from something else then that something else is a source of that something	nongold
58	if something is required for a process then that something positively impacts that process	nongold
59	greatest means largest; highest; most amount of something	nongold
60	generating power is a kind of positive impact	nongold
61	products are formed; are produced; are created	nongold
62	water is a renewable resource	nongold
63	to be formed by is similar to being produced by	nongold
64	if something emits something else then that something increases the amount of that something else	nongold
65	a part of a process means a stage in a process	nongold
66	petroleum is a kind of fossil fuel	nongold
67	solar energy is a source of electricity	nongold
68	mostly means being the most	nongold
69	can be means able to be	nongold
70	if something releases something else then that something is the source of that something else	nongold
71	oil is a kind of energy resource	nongold
72	oil is a nonrenewable resource	nongold
73	In the food chain process a  green plant has the role of  producer	nongold
74	where something  comes from is a source of that something	nongold
75	heat means heat energy	nongold
76	a source of heat can be used to heat something	nongold
77	a source of heat can be used to heat something	nongold
78	to depend on; to rely on; to need means to require	nongold
79	heat is a kind of energy	nongold
80	if something transfers something else then that something is a source of something else	nongold
81	usually means most of the time	nongold
82	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
83	hydropower is a kind of alternative energy resource	nongold
84	to contribute is similar to produce	nongold
85	chemical energy is a kind of potential energy	nongold
86	renewable resources can be used over again	nongold
87	solar energy is a kind of heat energy	nongold
88	solar energy is a kind of energy	nongold
89	power station means power plant	nongold
90	furthest; farthest means greatest; most; highest in distance	nongold
91	affected means changed	nongold
92	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
93	solar power means solar energy	nongold
94	converting is similar to generating	nongold
95	a source of something increases the amount of that something	nongold
96	form means kind	nongold
97	hydroelectric power is a kind of natural resource	nongold
98	minerals are a nonrenewable resource	nongold
99	hydroelectric power is a renewable resource	nongold
