Question	Which resource when used causes the most pollution?	question
Answer	coal	answer
0	burning coal is a source of air pollution	gold
1	fossil fuels burning causes pollution	nongold
2	most means over 50% of something	nongold
3	pollution has a negative impact on the environment; air quality; water quality; society	nongold
4	coal is a nonrenewable resource	nongold
5	humans cause pollution	nongold
6	less is similar to decrease	nongold
7	using coal requires burning coal	gold
8	increase means more	nongold
9	an increase is the opposite of a decrease	nongold
10	coal is a kind of fossil fuel	gold
11	as the cause of something decreases , that something will decrease	nongold
12	low is similar to decrease	nongold
13	removing coal can cause contamination of the groundwater	nongold
14	mostly means being the most	nongold
15	greatest means largest; highest; most amount of something	nongold
16	forming coal; fossil fuels requires decaying vegetation	nongold
17	a decrease is a kind of change	nongold
18	pollution is a kind of environmental problem	nongold
19	coal is a kind of fuel	nongold
20	usually means most of the time	nongold
21	to lower means to decrease	nongold
22	to be a source of something means to cause that something	gold
23	polluting gasses are a kind of pollution	nongold
24	harming something has a  negative impact on; effect on that something	nongold
25	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
26	an increase is a kind of change	nongold
27	decreasing something negative has a positive impact on a thing	nongold
28	high is similar to increase	nongold
29	to be used for something means to be required by that something	nongold
30	natural gas is a kind of fossil fuel	nongold
31	fossil fuels are a kind of energy resource	nongold
32	to reduce means to decrease	nongold
33	as the amount of a source of something decreases , the amount of that something will decrease	nongold
34	to change means to cause a change	nongold
35	gases released during the use of fossil fuels causes global warming	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	fossil fuels are a nonrenewable resource	nongold
38	little is similar to decrease	nongold
39	oil is a kind of fossil fuel	nongold
40	an environment means an area	nongold
41	a source of something emits; produces; generates; provides that something	nongold
42	coal is a kind of object	nongold
43	cleaner means less; lower in pollutants	nongold
44	wood is a kind of resource	nongold
45	gases from burning coal and oil dissolving in water in the atmosphere causes acid rain	nongold
46	largest amount means most	nongold
47	burning gasoline; oil is a source of air pollution	nongold
48	water is a part of an environment	nongold
49	decreasing something positive has a negative impact on a thing	nongold
50	least is the opposite of greatest	nongold
51	as the use of something decreases , the use of the source of that something will decrease	nongold
52	a fossil fuel is a kind of natural resource	gold
53	best means most positive	nongold
54	coal is a kind of sedimentary rock	nongold
55	less means a reduced amount	nongold
56	lower means less	nongold
57	deplete is similar to decrease	nongold
58	removing coal can  cause methane  to release	nongold
59	waste has a  negative impact on the environment	nongold
60	petroleum is a kind of fossil fuel	nongold
61	negative impact is the opposite of positive impact	nongold
62	death means to die	nongold
63	natural gas is a nonrenewable resource	nongold
64	renewable is the opposite of nonrenewable	nongold
65	coal is a kind of rock	nongold
66	if something releases something else then that something is the source of that something else	nongold
67	pollution is a source of pollutants	nongold
68	using biomass to produce energy is a source of pollution	nongold
69	change is a kind of impact	nongold
70	a coal mine is a source of coal under the ground	nongold
71	where something  comes from is a source of that something	nongold
72	to cause means to make	nongold
73	lowest means least in value; amount; number	nongold
74	solar energy rarely causes pollution	nongold
75	to create means to make	nongold
76	fossil fuel contains chemical energy	nongold
77	if something causes an increase in something else then that something produces that something else	nongold
78	consumption means use	nongold
79	coal is used for generating heat by burning	nongold
80	organisms are a part of an environment	nongold
81	a body of water is a kind of environment	nongold
82	if something releases something else then that something else decreases in that something	nongold
83	to produce means to create	nongold
84	least is the opposite of most	nongold
85	to cause an event is similar to being involved in that event	nongold
86	human waste often causes harm to an environment	nongold
87	less is the opposite of more	nongold
88	answering questions requires information	nongold
89	if something causes a process then that something is required for that process	nongold
90	plants are a kind of resource	nongold
91	wasting a resource is reducing the amount  of that resource without using that resource	nongold
92	oil is a nonrenewable resource	nongold
93	a body of water contains water	nongold
94	an event is a kind of action	nongold
95	a body of water is a source of water	nongold
96	a process is a kind of event	nongold
97	to cause means to have an effect	nongold
98	air is a part of the environment	nongold
99	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
