Question	Steel cans are separated from aluminum cans in a recycling center. Which of the following is the best way the recycling center can separate the steel cans from the aluminum cans?	question
Answer	put the cans under an electromagnet	answer
0	an electromagnet is a kind of device	nongold
1	an electromagnet contains a wire; cylindrical ferrous metal	nongold
2	an electromagnet is a kind of electric magnet	gold
3	a can is a kind of container	nongold
4	an electromagnet requires a ferrous metal to be the core	nongold
5	the core of an electromagnet is the metal	nongold
6	electromagnets can be powered by electricity	nongold
7	a can is a kind of object	nongold
8	aluminum is a kind of metal	nongold
9	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	nongold
10	steel is a kind of metal	nongold
11	recycling is similar to reusing	nongold
12	steel; carbon steel is always ferromagnetic; magnetic	gold
13	recycling means reusing	nongold
14	if an object is made of a material then that object has the properties of that material	nongold
15	decomposing is similar to separating	nongold
16	plastic is usually an electrical insulator	nongold
17	plastic is a kind of electrical insulator	nongold
18	a container contains objects; material; substances	nongold
19	electrocution causes harm to an organism	nongold
20	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
21	if an object is held under a substance then that object is touching that substance	nongold
22	metal is a kind of material	nongold
23	if something is insoluble in something , then they will remain separated	nongold
24	a container is a kind of object	nongold
25	aluminum is always nonmagnetic	gold
26	to disperse means to separate	nongold
27	metal is a kind of substance	nongold
28	being  on something; placed in something; placed over something means touching  that something	nongold
29	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
30	recyclable means a material can be recycled	nongold
31	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
32	if one surface; one substance; one object touches something then one is exposed to that something	nongold
33	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
34	aluminum is a kind of element	nongold
35	aluminum is recyclable	nongold
36	to decompose means to separate	nongold
37	as the current supplied to an electromagnet increases , the strength of the electromagnet will increase	nongold
38	plastic is a kind of material made by humans	nongold
39	if a container contains something then that container touches that something	nongold
40	a product is a kind of object	nongold
41	plastic is always nonmagnetic	nongold
42	a device is a kind of object	nongold
43	a conducting metal loop is a kind of electromagnet	nongold
44	recycling has a  positive impact on the environment	nongold
45	metal is a thermal; thermal energy conductor	nongold
46	aluminum is a kind of matter	nongold
47	ceramic is a kind of material	nongold
48	recycling is a kind of method of disposal	nongold
49	person is synonymous with human	nongold
50	objects are made of materials; substances; matter	nongold
51	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
52	material means substance	nongold
53	recycling reduces; decreases the amount of waste sent to landfills	nongold
54	An example of recycling is using an object to make a new object	nongold
55	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
56	if an object is put inside; poured into another object , then two objects are touching	nongold
57	materials are made of matter	nongold
58	a mixture of solids can be easily separated	nongold
59	discarding aluminum cans wastes aluminum	nongold
60	to be used for something means to be required by that something	nongold
61	electricity is made of moving charges; moving charged particles	nongold
62	electromagnets generate magnetic fields	nongold
63	waste must be removed	nongold
64	replacing is similar to recycling	nongold
65	best means most positive	nongold
66	plastic is a kind of thermal insulator	nongold
67	plastic is high in strength	nongold
68	transferring a section of something requires separating the section of something	nongold
69	contents means the substance in a container	nongold
70	a machine is a kind of  device	nongold
71	metals are made of metal	nongold
72	can be means able to be	nongold
73	a soda can is made of aluminum	nongold
74	metal is an  electrical; electrical energy conductor	nongold
75	to conduct is similar to to transfer	nongold
76	substances are made of matter	nongold
77	when two substances together form a compound then those substances cannot be physically separated	nongold
78	conductivity is a measure of how easily electricity travels through a material	nongold
79	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
80	plastic is recyclable	nongold
81	wood is an thermal; thermal energy insulator	nongold
82	trash is synonymous with waste	nongold
83	a liquid is a kind of substance	nongold
84	recycling means using over again	nongold
85	the function of something is what that something  is used to do	nongold
86	an insulator is the opposite of a conductor	nongold
87	device means tool	nongold
88	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
89	a garbage can is made of metal	nongold
90	a surface is a part of a material	nongold
91	static electricity is when electrons are exchanged between objects though friction	nongold
92	wood is a thermal; thermal energy insulator	nongold
93	an insulator is a kind of material	nongold
94	if two objects move apart from each other then those two objects separate from each other	nongold
95	materials are used for making products by manufacturers	nongold
96	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
97	a magnet will not attract nonmagnetic metals; nonmagnetic materials	gold
98	recycling reduces the resources needed to make something	nongold
99	separating is similar to breaking	nongold
