Question	Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of	question
Answer	mimicry.	answer
0	an Arizona mountain king snake is a kind of snake	gold
1	striped is a kind of color pattern	nongold
2	spotted is a kind of color pattern	nongold
3	a western coral snake is poisonous	gold
4	a Western coral snake is a kind of snake	gold
5	coloration means a pattern of colors	gold
6	An example of camouflage is when something is; has the same color as its environment	nongold
7	a snake is a kind of animal	gold
8	toxic means poisonous	nongold
9	An example of camouflage is when an organism looks like its environment	nongold
10	coloration means a thing's color	nongold
11	resemble means look like	nongold
12	a poison is very poisonous	nongold
13	to look like means to have the visual properties of	nongold
14	Camouflage is synonymous with visual disguise	nongold
15	an animal is a kind of living thing	nongold
16	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
17	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
18	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
19	coloration is a kind of adaptation for hiding;camouflage	gold
20	poison causes harm to living things; organisms	nongold
21	a living thing is a kind of object	nongold
22	a kind of something is an example of that something	nongold
23	color is a kind of physical; visual property	nongold
24	camouflage can be used for hunting for prey; food	nongold
25	trait is synonymous with characteristic	nongold
26	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
27	camouflage is a kind of protection against predators; from predators; against consumers	nongold
28	coral is a kind of aquatic animal	nongold
29	the colors of parts of an organism are inherited characteristics	nongold
30	resemble means similar characteristics	nongold
31	an animal is a kind of organism	nongold
32	trait means property	nongold
33	an organism is a living thing	nongold
34	the color of an environment means the color of the things that environment contains	nongold
35	a poisonous animal is dangerous	gold
36	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
37	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	gold
38	a mammal is a kind of animal	nongold
39	a behavior is a kind of characteristic	nongold
40	classifying is when one sorts something by kind; type	nongold
41	characteristic means property	nongold
42	killing means harming something causing death	nongold
43	Arizona is a state located in the United States of America	nongold
44	a mountain; mountain range is a kind of environment	nongold
45	the color of; coloration of fur is an inherited characteristic	nongold
46	color is a property of  an object; a material	nongold
47	animal instinct means instinctive behavior	nongold
48	predators eat prey	nongold
49	how something  appears is how that something  looks	nongold
50	feature is synonymous with characteristic	nongold
51	feeling is when an living thing senses through touch	nongold
52	appearance is a property of objects; materials	nongold
53	an adaptation is a kind of characteristic	nongold
54	to prey on an animal means to eat that animal	nongold
55	a poison is a kind of substance	nongold
56	death means to die	nongold
57	killing means changing a living thing from alive to dead by harming	nongold
58	colorless means no color	nongold
59	not is similar to the opposite of	nongold
60	disguise means  changing appearance to hide	nongold
61	polluting means something poisonous is added to an environment	nongold
62	harming something has a  negative impact on; effect on that something	nongold
63	if two things have the same features then those two things are alike	nongold
64	a type is synonymous with a kind	nongold
65	to see means to look	nongold
66	prey  is a kind of animal	nongold
67	speckled is a kind of color pattern	nongold
68	if an animal's fur is a color then that animal is that color	nongold
69	a mountain is a kind of landform	nongold
70	An example of camouflage is an organism looking like leaves	nongold
71	a predator eats other animals for food	nongold
72	the head is a part of an animal	nongold
73	an animal; living thing requires nutrients for survival	nongold
74	a predator usually kills its prey to eat it	nongold
75	a predator is a kind of animal	nongold
76	reptiles have scales	nongold
77	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
78	phenotype of an organism means the visible traits of  an organism	nongold
79	adaptation is when an organism develops a trait over time for survival	nongold
80	to hurt means to harm	nongold
81	an organism's environment affects that organism's acquired characteristics	nongold
82	an animal is a member of an animal species	nongold
83	coloration is used to find a mate by some animals	nongold
84	adaptations are used for survival	nongold
85	a part of something means a characteristic of something	nongold
86	dark means dark in color	nongold
87	become prey means get eaten	nongold
88	better look means see better	nongold
89	affected means changed	nongold
90	survive means live	nongold
91	survive means live	nongold
92	seeing is used for sensing visual things	nongold
93	what an object is made of is a kind of characteristic	nongold
94	an amphibian is a kind of animal	nongold
95	form means kind	nongold
96	sense is a kind of characteristic of an animal	nongold
97	polluting means something harmful; something poisonous is added in an environment causes harm in the environment	nongold
98	the color of an object can be discovered by looking at that object	nongold
99	if a living thing requires something then that something has a positive impact on that living thing	nongold
