Question	If a class wants to measure the speed of a bicycle during an outdoor lab exercise, which two devices would be most useful?	question
Answer	stopwatch and tape measure	answer
0	a stopwatch is used to measure time	gold
1	a watch;clock;stopwatch is used for measuring time	nongold
2	a  tape measure is used to measure length; distance	gold
3	a stopwatch is a kind of tool for measuring time	gold
4	a tape measure is a kind of tool for measuring distance; measuring length	gold
5	useful means good to use	gold
6	a bicycle is a kind of object	gold
7	bike means bicycle	nongold
8	useful means able to be used	nongold
9	lab equipment is often used for measuring; observing	nongold
10	a bicycle is a kind of vehicle	nongold
11	instrument means device	nongold
12	speed is a measure of how fast an object is moving	nongold
13	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
14	speed is a property of an object and includes values of slow; fast	nongold
15	stop means not move	nongold
16	exercise is a kind of physical activity	nongold
17	device means tool	gold
18	instrument means tool	nongold
19	both means two	nongold
20	an instrument is a piece of equipment	nongold
21	plastic tape is made of plastic	nongold
22	stop; stopped means zero; 0; no speed	nongold
23	a device is a kind of object	nongold
24	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
25	a human is a kind of animal	nongold
26	pedals are part of a  bicycle for pedalling	nongold
27	a human can pedal a bicycle	nongold
28	to slow; to slow down decreases speed	nongold
29	a machine is a kind of  device	nongold
30	calculating speed requires knowing distance travelled	nongold
31	to belong to a class means to be a kind of something	nongold
32	measuring sometimes requires  recording; learning an amount	nongold
33	high speed means fast	nongold
34	distance moved; distance travelled is a measure of how far an object moves	nongold
35	helping something has a  positive impact on that something	nongold
36	a tool is a kind of object	nongold
37	experimentation requires measuring	nongold
38	motion; movement means moving; to move	nongold
39	an animal is a kind of living thing	nongold
40	pedalling a bicycle requires moving the pedals in a circular motion	nongold
41	rate is similar to speed	nongold
42	seconds are used to measure time	nongold
43	fastest means greatest in  speed	nongold
44	faster means an increase; higher in speed	nongold
45	a living thing is a kind of object	nongold
46	exercise means physical fitness	nongold
47	pushing on the pedals of a bike cause that bike to move	nongold
48	a watch requires electrical energy to operate	nongold
49	pair means two	nongold
50	a motorcycle is a kind of automobile	nongold
51	seconds are a kind of unit for measuring time	nongold
52	a meter is a kind of unit for measuring distance; measuring length	nongold
53	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
54	fast is the opposite of slow	nongold
55	person is synonymous with human	nongold
56	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
57	a vehicle is a kind of object	nongold
58	speed up means increase	nongold
59	a wrist is a part of the body	nongold
60	a meter stick is used to measure distance; height; length	nongold
61	a meter stick is a kind of tool for measuring length; measuring distance	nongold
62	a machine is a kind of object	nongold
63	counter means reduce; stop; resist	nongold
64	meters;centimeters;kilometers are used to describe distance; describe length	nongold
65	measuring requires reading a measurement	nongold
66	a pedal is a kind of lever	nongold
67	length is a measure of distance from one end of an object to the other end of that object	nongold
68	slowest means lowest in  speed	nongold
69	beneficial means helpful	nongold
70	a bicycle is a kind of nonliving thing	nongold
71	measuring is a kind of science skill	nongold
72	faster means increased rate	nongold
73	a stick is a kind of object	nongold
74	recording is similar to measuring	nongold
75	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
76	objects are made of materials; substances; matter	nongold
77	a motion is a kind of event; action	nongold
78	a student is a kind of human	nongold
79	an part of an object is smaller than the entire object	nongold
80	force causes the speed of an object to increase; to decrease	nongold
81	riding something is a kind of movement	nongold
82	an electromagnet is a kind of device	nongold
83	wheels; gears usually move against other surfaces	nongold
84	affected means changed	nongold
85	a centimeter is used for measuring short lengths; short distances	nongold
86	if two things perform the same function then those two things are similar	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	an event is a kind of action	nongold
89	fast means quickly	nongold
90	preparing for an experiment in a laboratory requires practicing safety	nongold
91	length is a part of size	nongold
92	moving; mobile is the opposite of stationary; unmoving	nongold
93	as an object is moving down , the speed of the object  will increase	nongold
94	a measure of time is a length of time	nongold
95	determining often requires measuring; observing	nongold
96	exercise has a positive impact on a human's health	nongold
97	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
98	if an object is made of a material then that object has the properties of that material	nongold
99	a velocity is a measure of a speed in a direction	nongold
