Question	When oxygen combines with hydrogen, which substance is formed?	question
Answer	water	answer
0	to add means to combine	nongold
1	water is made of hydrogen and oxygen	gold
2	combining; mixing two substances chemically causes chemical reactions	gold
3	water is a kind of substance	gold
4	oxygen  is a kind of element	nongold
5	water is a kind of liquid at room temperature	nongold
6	water is a kind of compound	nongold
7	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
8	to be made of something means to be formed of that something	nongold
9	hydrogen is a kind of element	nongold
10	forming is similar to converting	nongold
11	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
12	water contains dissolved oxygen	nongold
13	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
14	if something is dissolved , then that something is the solute	nongold
15	to be a combination of means to be made of	nongold
16	a solute can be dissolved in a solvent when they are combined	nongold
17	a liquid is a kind of substance	nongold
18	to convert means to change	nongold
19	if a substance is made of one element , then the substance is called an element	nongold
20	products are formed; are produced; are created	nongold
21	a compound is made of two or more elements that have been chemically combined	nongold
22	all elements are a kind of pure substance	nongold
23	a solid is a kind of substance	nongold
24	a body of water contains water	nongold
25	substances are made of elements	nongold
26	nitrogen is a kind of element	nongold
27	oxygen is a kind of gas at room temperature	gold
28	an element is a kind of  substance	nongold
29	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
30	hydrogen is a kind of gas at room temperature	gold
31	a body of water is a source of water	nongold
32	to convert means to exchange	nongold
33	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
34	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
35	to fuse means to combine	nongold
36	chlorine is a kind of element	nongold
37	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
38	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
39	an mixture is formed by two or more substances combined together physically	nongold
40	to change into means to form	nongold
41	a compound can be chemically separated into the elements that it is made of	nongold
42	material means substance	nongold
43	Earth contains water; ice; (steam, water vapor)	nongold
44	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
45	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
46	chemical reactions cause new substances; different substances to form	gold
47	plus means to combine	nongold
48	a compound is a kind of substance	nongold
49	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
50	liquid; solid means nongaseous	nongold
51	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
52	water is a kind of matter	nongold
53	water exists in three states on Earth	nongold
54	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
55	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
56	converting is similar to producing	nongold
57	sodium chloride dissolves in water when they are combined	nongold
58	hydrogen chloride is made of hydrogen and chlorine	nongold
59	ammonia is made of nitrogen and hydrogen	nongold
60	dissolving is a kind of  mixing	nongold
61	elements in alkaline earth metals family reacts with water actively	nongold
62	an ocean is a kind of body of water	nongold
63	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
64	a nonmetal is a kind of element	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	An example of a chemical property is the elements a compound is made of	nongold
67	made up of means contains; made of	nongold
68	oxygen gas is made of only  oxygen element	nongold
69	nitrogen is a kind of gas	nongold
70	compound is a kind of chemical	nongold
71	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
72	gas is a kind of nonmetal	nongold
73	state means form	nongold
74	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
75	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
76	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
77	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
78	if something is given off of something , then something is the product of something	nongold
79	nonmetal means nonmetals	nongold
80	humidity is a kind of water vapor	nongold
81	a  gas is a kind of  element	nongold
82	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
83	temperature is a measure of heat energy	nongold
84	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
85	the compounds that make up ocean water are made of mostly oxygen	nongold
86	something that contains water is similar to a body of water	nongold
87	water vapor is found in the atmosphere	nongold
88	to be formed by is similar to being produced by	nongold
89	if something is made of something; a material then that something contains that something; that material	nongold
90	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
91	a solution is formed by one substance being dissolved in another substance	nongold
92	a pure substance is made of only one kind of atom; molecule	nongold
93	a body of water is a kind of environment	nongold
94	a chemical compound is a kind of compound	nongold
95	carbon is a kind of element	nongold
96	sodium chloride is always made of chemically combined chlorine and sodium	nongold
97	composed of means made of	nongold
98	an element is a kind of material	nongold
99	can be means able to be	nongold
